frequency;MAG;PHA
;;
1000;-33.18866423;3.621928518
1058.424295;-33.13870073;3.650533283
1120.261988;-33.15480905;4.126398219
1185.712505;-33.16098109;4.029606267
1254.986922;-33.1101449;4.583736035
1328.308648;-33.12986331;4.692962825
1405.914144;-33.0824882;4.946359818
1488.053687;-33.14235934;5.204329261
1574.992174;-33.16015641;5.791341377
1667.009982;-33.08868079;6.191995823
1764.403864;-33.03683113;6.285607025
1867.487916;-33.09449905;6.79648211
1976.594581;-33.00262102;7.025221076
2092.075726;-33.00403465;7.580830863
2214.303775;-33.10539465;8.307156274
2343.672912;-33.04740835;8.983337964
2480.600349;-32.9368378;9.653462765
2625.527675;-32.9941442;9.765930376
2778.922279;-32.98656734;10.64226523
2941.278853;-32.97093444;10.63140463
3113.120997;-32.91208855;11.56587097
3295.002896;-32.95247129;12.41228136
3487.511117;-32.85483228;12.92957968
3691.266495;-32.83685705;13.29161265
3906.926137;-32.74024894;14.09502653
4135.185542;-32.81508222;14.92513009
4376.780842;-32.7695895;15.56766711
4632.491176;-32.67495923;15.86267926
4903.141207;-32.63524593;18.41277087
5189.603775;-32.58518915;18.8346239
5492.802717;-32.37157032;19.84064099
5813.715842;-32.44782833;20.0680423
6153.378091;-32.47112276;20.55847198
6512.884868;-32.24164855;21.74643822
6893.395574;-32.14715468;23.02033906
7296.13735;-32.16728109;24.61926401
7722.40903;-31.94689409;26.02736288
8173.585333;-31.90231281;26.77577226
8651.121293;-31.79097078;28.11224693
9156.556955;-31.48451896;29.60981421
9691.522339;-31.29910732;30.73387361
10257.7427;-31.10368426;31.18956974
10857.04408;-31.01263284;33.40787732
11491.35923;-30.86030966;33.40848016
12162.73379;-30.61093463;35.75220471
12873.33294;-30.43446767;36.47955334
13625.44834;-30.37165008;37.81246533
14421.50555;-29.93978545;38.41689542
15264.07184;-29.62957774;40.43837215
16155.86448;-29.34558821;41.951695
17099.75947;-28.98970073;43.37336253
18098.80086;-28.81155317;43.62210015
19156.21054;-28.51742074;44.77555758
20275.39863;-28.26827938;45.65298709
21459.9745;-27.85077284;46.68270015
22713.75838;-27.5308684;47.82357565
24040.7937;-27.14617245;47.48020674
25445.36012;-26.73550975;48.65440914
26931.98734;-26.38413434;50.38092604
28505.46971;-25.97469974;50.11938327
30170.88168;-25.70839653;50.75385321
31933.59417;-25.10495675;51.20026006
33799.2919;-24.89148909;51.42969506
35773.99169;-24.39955805;50.88912826
37864.06194;-24.04672125;51.32895678
40076.24306;-23.60683276;51.96444687
42417.6693;-23.21361052;51.80841758
44895.89172;-22.89875229;50.71442125
47518.90254;-22.40061493;51.28144512
50295.16092;-21.90460057;50.0995749
53233.62023;-21.5990229;49.77602719
56343.75696;-21.15397117;49.43727271
59635.60123;-20.76579001;48.46360128
63119.76919;-20.3057761;48.10601547
66807.4972;-19.90277857;47.00488109
70710.67812;-19.60839825;45.54074994
74841.89963;-19.13397655;44.96466223
79214.48485;-18.77160398;43.27090849
83842.53527;-18.4346169;42.20151862
88740.97628;-17.92305878;40.92078572
93925.60525;-17.67081444;39.60084285
99413.14251;-17.27615268;37.9847258
105221.2853;-16.91529488;36.77578525
111368.7647;-16.5910753;34.55612469
117875.4062;-16.22745265;33.05785861
124762.1937;-15.87901192;31.29998637
132051.3369;-15.56896985;29.42587694
139766.3432;-15.20398712;27.35110078
147932.0932;-14.87129485;25.27911828
156574.9215;-14.52728155;23.2831682
165722.7009;-14.17162037;21.05787198
175404.9328;-13.82467602;18.70810301
185652.8423;-13.47065398;16.3773226
196499.4788;-13.12904247;13.73111131
207979.8223;-12.73537661;11.128586
220130.8967;-12.32260352;8.411626359
232991.8892;-11.89018578;5.289597608
246604.276;-11.39511995;2.394203013
261011.957;-10.93184414;-1.25222744
276261.3965;-10.37396894;-5.169253209
292401.7738;-9.724964989;-10.1546507
309485.1413;-9.03417642;-16.6700712
327566.5925;-8.299391766;-24.83788727
346704.4397;-7.445808612;-35.59728445
366960.4021;-6.505337612;-48.9372705
388399.8049;-5.704340321;-63.5197003
411091.7896;-5.1474724;-78.31003157
435109.5376;-4.874988803;-93.56830724
460530.5055;-4.983274437;-106.4557432
487436.6756;-5.18206822;-117.9318019
515914.8197;-5.826106607;-127.1931104
546056.7793;-6.363102021;-136.6066252
577959.7616;-6.90382214;-146.0194658
611726.6531;-7.478624247;-155.2511531
647466.3515;-8.060564701;-164.4840527
685294.1166;-8.625999379;-173.9308218
725331.9422;-9.18375781;176.500482
767708.9495;-9.729758114;166.7513875
812561.8036;-10.24234062;156.7228964
860035.154;-10.67580395;146.1160371
910282.1015;-10.97812178;134.9043925
963464.6915;-10.91205149;123.2788115
1019754.437;-11.01318849;108.4077586
1079332.871;-11.36880811;93.88816569
1142392.133;-12.05014781;78.89227184
1209135.588;-12.89877255;66.49043197
1279778.482;-13.84433027;55.50245055
1354548.637;-14.82829429;45.5652945
1433687.186;-15.80736091;36.17269079
1517449.349;-16.84348364;27.70310394
1606105.258;-17.91674837;19.47799701
1699940.825;-18.99582894;11.74108458
1799258.669;-20.14689123;4.363824108
1904379.088;-21.3175074;-2.705282294
2015641.094;-22.55480381;-9.423846712
2133403.503;-23.85697644;-15.86913014
2258046.099;-25.22146516;-21.98673583
2389970.85;-26.67665707;-28.21849997
2529603.212;-28.06027657;-34.21811685
2677393.496;-29.56885354;-40.13323905
2833818.323;-31.16872289;-46.09587937
2999382.16;-32.81737293;-52.08660743
3174618.948;-34.43095708;-58.61389409
3360093.822;-36.0606099;-64.93720416
3556404.935;-37.83944935;-72.01190573
3764185.385;-39.67476639;-81.44152197
3984105.262;-41.65872004;-91.10387019
4216873.803;-43.68723189;-104.3890558
4463241.682;-45.14178169;-122.4823067
4724003.43;-46.32231325;-142.8761556
5000000;-47.39874931;-168.8652303
