frequency;MAG;PHA
243128.378;-11.67458491;-5.895981761
253705.8625;-11.38938637;-7.814636155
264743.5285;-11.03647629;-10.47343053
276261.3965;-10.71773229;-13.37177033
288280.3581;-10.31434967;-16.08416134
300822.2137;-9.889720568;-17.79580248
313909.7123;-9.480032238;-18.01851951
327566.5925;-9.137187391;-23.1535253
341817.6255;-8.679091829;-25.52654508
356688.6606;-8.2137178;-27.79851344
372206.6713;-7.721703517;-29.88121126
388399.8049;-7.137937674;-32.2742565
405297.433;-6.668685429;-33.07909793
422930.2052;-5.886996554;-35.64324318
441330.1046;-4.719777014;-40.54546614
460530.5055;-2.528936499;-49.09947104
480566.2345;0.71125607;-109.5462655
501473.633;0.844819681;-133.5535265
523290.6238;0.954479081;-156.0360063
546056.7793;1.922163695;173.0801015
569813.3936;1.046053928;140.4044076
594603.5575;0.292197184;124.6881907
620472.2363;-0.401762124;113.4174538
647466.3515;-1.090106534;104.411573
675634.8663;-1.773576955;96.63625399
705028.8736;-2.496020117;89.94290848
735701.6895;-3.257022135;84.04109759
767708.9495;-4.045234071;78.70795385
801108.7096;-4.840275226;73.83526377
835961.5517;-8.329645535;82.44112686
872330.6931;-11.00203459;84.83901472
910282.1015;-12.99097073;80.76829754
949884.6148;-13.7939015;77.68835233
991210.0654;-14.57101356;71.57567951
1034333.411;-15.48591835;61.90407748
1079332.871;-15.94886277;62.72044137
1126290.066;-16.30007855;50.7199739
1175290.17;-16.95825208;43.82040111
1226422.06;-17.53343974;37.63998511
1279778.482;-18.15965454;31.2705126
1335456.215;-18.88461845;25.28735982
1393556.251;-19.4712586;19.40893706
1454183.973;-20.06541361;16.14971739
1517449.349;-18.84477141;5.789577003
1583467.134;-21.85228032;-4.006239402
1652357.073;-22.7105325;-4.388712219
1724244.121;-23.28695551;-8.471266013
1799258.669;-23.91673839;-12.97069132
1877536.782;-24.4256374;-17.1721208
1959220.444;-25.09649612;-21.42754977
2044457.815;-25.75485983;-25.41485802
2133403.503;-26.61327792;-30.565478
2226218.841;-27.15067733;-34.13147806
2323072.18;-27.84627601;-38.50247364
2424139.197;-28.67081024;-43.63386566
2529603.212;-29.35107903;-48.31043002
2639655.518;-30.27368309;-53.02057424
2754495.734;-31.47019874;-59.33207176
2874332.16;-31.8510704;-61.57523738
2999382.16;-32.90098925;-65.88751621
3129872.556;-33.66147186;-70.19034561
3266040.036;-34.5500657;-75.0226775
3408131.585;-35.72999487;-78.59415366
3556404.935;-36.38064369;-85.18065107
3711129.029;-37.14836948;-92.26461695
3872584.512;-37.81918134;-99.82595286
4041064.238;-38.97534378;-101.3923843
4216873.803;-40.65520536;-111.2385257
4400332.097;-40.98555975;-116.404995
4591771.882;-42.75844323;-122.4374023
4791540.401;-43.41113535;-137.1652157
5000000;-44.61851849;-143.760168
