frequency;MAG;PHA
108251.3952;3.365028706;-50.03466666
112960.9542;3.255923935;-52.8068467
117875.4062;3.221549397;-54.76347877
123003.6652;4.576571518;-53.25204629
128355.0329;4.152504006;-48.13106521
133939.216;3.105977151;-62.01508519
139766.3432;2.807316382;-64.7010228
145846.984;2.807162598;-66.45554729
152192.1676;2.508522455;-71.21771429
158813.4033;2.374932655;-71.3025822
165722.7009;2.189374672;-73.60115905
172932.5927;2.096513513;-76.76724466
180456.1563;2.04730455;-99.21059435
188307.0382;5.99639373;-38.22841122
196499.4788;3.322536623;-82.51523254
205048.3376;2.536624246;-85.98934783
213969.1211;2.209951298;-89.40067639
223278.01;1.909244171;-91.21033662
232991.8892;1.967276881;-96.43937543
243128.378;1.661154474;-100.5253207
253705.8625;1.593991921;-105.0805743
264743.5285;1.655271211;-108.9956912
276261.3965;1.328772823;-122.0249463
288280.3581;1.802231999;-120.5338651
300822.2137;2.0242972;-126.2600096
313909.7123;2.505255389;-131.8571733
327566.5925;3.66693403;-139.6019479
341817.6255;8.056296853;-171.8374
356688.6606;6.008501812;145.738161
372206.6713;2.552481585;122.9633934
388399.8049;-4.001834661;98.81705824
405297.433;-5.920599175;69.85180707
422930.2052;-3.436554518;37.93510694
441330.1046;-4.030646594;-12.66317812
460530.5055;-10.42634594;-27.17492556
480566.2345;-14.93929903;-39.41763775
501473.633;-16.68712074;-34.58495564
523290.6238;-18.05783753;-29.46783307
546056.7793;-16.57948987;-20.51913214
569813.3936;-18.29778866;75.73069197
594603.5575;-12.26042952;-23.20173247
620472.2363;-11.20498686;-34.45944555
647466.3515;-9.609794541;-42.91464947
675634.8663;-7.812945598;-54.27157248
705028.8736;-3.883775125;-70.98668268
735701.6895;-1.961752965;-137.4444278
767708.9495;-5.087654271;-150.3091987
801108.7096;-6.767997574;173.6194051
835961.5517;-20.07280873;154.7500759
872330.6931;-25.13620565;173.7814991
910282.1015;-24.65810923;-17.86046826
949884.6148;-17.98190983;-45.14270384
991210.0654;-13.0805056;-58.90537653
1034333.411;-4.251432804;-84.48542839
1079332.871;-4.583496024;-136.4790385
1126290.066;-7.19279485;-167.3429352
1175290.17;-9.875960147;161.4577414
1226422.06;-14.36653816;148.6761766
1279778.482;-17.71689722;160.3353451
1335456.215;-16.40987851;-111.1222095
1393556.251;-10.92466186;-163.6939247
1454183.973;-7.866249469;121.2314338
1517449.349;-10.15327262;109.0717542
1583467.134;-15.09828635;96.07118467
1652357.073;-30.50178278;174.9358392
1724244.121;-24.41754678;-114.3065849
1799258.669;-14.82481515;149.4424683
1877536.782;-12.26985985;119.2817286
1959220.444;-14.30018715;91.30600674
2044457.815;-28.87012002;117.1538879
2133403.503;-18.12149029;95.03104626
2226218.841;-17.25363504;60.25162087
2323072.18;-17.62210107;60.00079439
2424139.197;-32.50267399;8.116208706
2529603.212;-28.9325073;52.50615817
2639655.518;-26.66447299;45.68239848
2754495.734;-39.53515373;175.3335736
2874332.16;-28.42094831;-5.515341243
2999382.16;-26.68902461;-0.028304527
3129872.556;-30.80453169;-66.2591167
3266040.036;-28.46767374;-79.79314989
3408131.585;-30.97826097;-26.3662015
3556404.935;-32.20996555;-58.52775981
3711129.029;-29.35268839;-135.3899556
3872584.512;-37.44609347;139.8524171
4041064.238;-32.31970896;167.0436862
4216873.803;-41.23277249;-9.739702036
4400332.097;-29.64681897;-140.0271609
4591771.882;-46.29892021;89.81915924
4791540.401;-38.08513455;151.9575693
5000000;-40.05129141;102.5860375
