frequency;MAG;PHA
;;
1000;-6.385708362;-0.420357427
1043.505758;-6.388090336;-0.423145106
1088.904268;-6.388640597;-0.436773745
1136.277874;-6.392730798;-0.491651176
1185.712505;-6.392909944;-0.461899718
1237.297827;-6.396182676;-0.490777057
1291.127407;-6.395507386;-0.523396278
1347.298884;-6.3963583;-0.50720738
1405.914144;-6.39414022;-0.540805083
1467.079505;-6.397189187;-0.543411137
1530.905912;-6.400704515;-0.573271335
1597.509135;-6.402015214;-0.583422729
1667.009982;-6.402660782;-0.608115672
1739.534515;-6.407676041;-0.641881464
1815.214284;-6.409617719;-0.618511992
1894.186558;-6.407936315;-0.649270379
1976.594581;-6.408633537;-0.68746538
2062.587827;-6.414788378;-0.684058106
2152.322275;-6.414843016;-0.702146797
2245.960688;-6.414595215;-0.726425263
2343.672912;-6.418520773;-0.748630621
2445.636179;-6.415076286;-0.793391027
2552.035436;-6.4177178;-0.775141118
2663.063674;-6.420477105;-0.794218847
2778.922279;-6.423353147;-0.83398758
2899.8214;-6.422687695;-0.861606143
3025.98033;-6.426250022;-0.878511727
3157.627899;-6.426766219;-0.906971754
3295.002896;-6.427026003;-0.963172417
3438.354496;-6.43036644;-0.949343261
3587.942716;-6.428481884;-0.987577107
3744.038886;-6.434339159;-1.039257524
3906.926137;-6.432720295;-1.050311353
4076.899922;-6.43398879;-1.085992659
4254.268545;-6.440149851;-1.145463467
4439.353725;-6.436094135;-1.163774602
4632.491176;-6.436858487;-1.244831665
4834.031219;-6.436845627;-1.234377346
5044.339413;-6.436549533;-1.294927548
5263.797226;-6.439999667;-1.338572588
5492.802717;-6.440050949;-1.380385371
5731.771265;-6.43705126;-1.459274479
5981.136321;-6.446318581;-1.529796094
6241.350194;-6.439610119;-1.56426542
6512.884868;-6.438532918;-1.633217712
6796.232864;-6.443689471;-1.679382215
7091.90813;-6.441630841;-1.766567683
7400.446972;-6.436754436;-1.819267575
7722.40903;-6.448096882;-1.902858623
8058.378293;-6.443474322;-1.946867973
8408.964153;-6.450412031;-2.064519343
8774.802516;-6.446991385;-2.107202895
9156.556955;-6.443059389;-2.223930994
9554.919911;-6.452233545;-2.31743419
9970.613949;-6.452939496;-2.402605668
10404.39307;-6.455113219;-2.492866208
10857.04408;-6.45658515;-2.584919101
11329.38802;-6.453793575;-2.72398168
