Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
7.89080397568614e+003	(8.81160650674552e-001dB,1.76300033953377e+002°)
8.07460441178074e+003	(8.89404248941189e-001dB,1.76180054692570e+002°)
8.26268611001449e+003	(8.98212845677407e-001dB,1.76054043071647e+002°)
8.45514879379335e+003	(9.07636155244898e-001dB,1.75921494548738e+002°)
8.65209450937981e+003	(9.17729656244781e-001dB,1.75781843133262e+002°)
8.85362767999915e+003	(9.28555449282627e-001dB,1.75634451636377e+002°)
9.05985516120604e+003	(9.40183272209095e-001dB,1.75478600004483e+002°)
9.27088629754076e+003	(9.52691707440269e-001dB,1.75313471281509e+002°)
9.48683298050513e+003	(9.66169624872380e-001dB,1.75138134618465e+002°)
9.70780970788884e+003	(9.80717915455363e-001dB,1.74951524580028e+002°)
9.93393364447772e+003	(9.96451585574478e-001dB,1.74752415772190e+002°)
1.01653246841761e+004	(1.01350230223141e+000dB,1.74539391509877e+002°)
1.04021055135759e+004	(1.03202150532149e+000dB,1.74310804826991e+002°)
1.06444016770073e+004	(1.05218423845270e+000dB,1.74064729556272e+002°)
1.08923416431030e+004	(1.07419389711515e+000dB,1.73798898403087e+002°)
1.11460568729152e+004	(1.09828815736996e+000dB,1.73510623800571e+002°)
1.14056818896168e+004	(1.12474643645154e+000dB,1.73196695702696e+002°)
1.16713543498284e+004	(1.15389935867729e+000dB,1.72853248097013e+002°)
1.19432151166049e+004	(1.18614087020657e+000dB,1.72475582503717e+002°)
1.22214083341234e+004	(1.22194388538056e+000dB,1.72057931432348e+002°)
1.25060815041100e+004	(1.26188068583912e+000dB,1.71593136634133e+002°)
1.27973855640478e+004	(1.30664977444125e+000dB,1.71072204227954e+002°)
1.30954749672050e+004	(1.35711156836647e+000dB,1.70483678286281e+002°)
1.34005077645289e+004	(1.41433627384045e+000dB,1.69812740701232e+002°)
1.37126456884462e+004	(1.47966858989997e+000dB,1.69039887902767e+002°)
1.40320542386159e+004	(1.55481553349815e+000dB,1.68138934816638e+002°)
1.43589027696791e+004	(1.64196532065209e+000dB,1.67073914807443e+002°)
1.46933645810534e+004	(1.74394536367593e+000dB,1.65794101685586e+002°)
1.50356170088181e+004	(1.86442063973113e+000dB,1.64225704037617e+002°)
