Freq.	V(v01)
Step Information: Run=1  (Run: 1/100)
6.87260295830331e+003	(-2.78391521448562e-001dB,1.62157171294901e+002°)
7.03268644595976e+003	(-3.05392098575404e-001dB,1.61525858606856e+002°)
7.19649875705846e+003	(-3.35114748962889e-001dB,1.60859604937444e+002°)
7.36412674705508e+003	(-3.67916402732670e-001dB,1.60155438752519e+002°)
7.53565929452873e+003	(-4.04212398732569e-001dB,1.59410056015459e+002°)
7.71118734830658e+003	(-4.44487948803272e-001dB,1.58619776795160e+002°)
7.89080397568614e+003	(-4.89312222975142e-001dB,1.57780495988714e+002°)
8.07460441178074e+003	(-5.39355737899626e-001dB,1.56887627544308e+002°)
8.26268611001449e+003	(-5.95411929312531e-001dB,1.55936041640297e+002°)
8.45514879379335e+003	(-6.58424051341848e-001dB,1.54919994447665e+002°)
8.65209450937981e+003	(-7.29518893118190e-001dB,1.53833050437245e+002°)
8.85362767999915e+003	(-8.10049266887434e-001dB,1.52667997785540e+002°)
9.05985516120604e+003	(-9.01647843985300e-001dB,1.51416758428827e+002°)
9.27088629754076e+003	(-1.00629575505654e+000dB,1.50070295933324e+002°)
9.48683298050513e+003	(-1.12641051348749e+000dB,1.48618526918074e+002°)
9.70780970788884e+003	(-1.26495938936145e+000dB,1.47050245774946e+002°)
9.93393364447772e+003	(-1.42560653958433e+000dB,1.45353078596747e+002°)
1.01653246841761e+004	(-1.61290527440750e+000dB,1.43513491601809e+002°)
1.04021055135759e+004	(-1.83255127805427e+000dB,1.41516893459791e+002°)
1.06444016770073e+004	(-2.09171920709989e+000dB,1.39347892003982e+002°)
1.08923416431030e+004	(-2.39951534335669e+000dB,1.36990797176764e+002°)
1.11460568729152e+004	(-2.76759576180739e+000dB,1.34430508974691e+002°)
1.14056818896168e+004	(-3.21102873170213e+000dB,1.31654001149512e+002°)
1.16713543498284e+004	(-3.74953467556104e+000dB,1.28652728760477e+002°)
1.19432151166049e+004	(-4.40934622444365e+000dB,1.25426501026678e+002°)
1.22214083341234e+004	(-5.22616479224791e+000dB,1.21989812330164e+002°)
1.25060815041100e+004	(-6.25022790327855e+000dB,1.18382747217219e+002°)
1.27973855640478e+004	(-7.55584521255615e+000dB,1.14691817189733e+002°)
1.30954749672050e+004	(-9.26150361647917e+000dB,1.11096939968391e+002°)
1.34005077645289e+004	(-1.15787806881595e+001dB,1.08004643783309e+002°)
1.37126456884462e+004	(-1.49573373254071e+001dB,1.06565116264899e+002°)
1.40320542386159e+004	(-2.06568303371521e+001dB,1.12047550877897e+002°)
1.43589027696791e+004	(-2.92609713436312e+001dB,-1.77809506202395e+002°)
1.46933645810534e+004	(-2.00438041239790e+001dB,-1.19920415766717e+002°)
1.50356170088181e+004	(-1.47565908568074e+001dB,-1.15562989704282e+002°)
1.53858415197409e+004	(-1.15890014801218e+001dB,-1.17015233124368e+002°)
1.57442238074931e+004	(-9.41132746676470e+000dB,-1.19877169590240e+002°)
1.61109538911075e+004	(-7.80739668039635e+000dB,-1.23142632085029e+002°)
1.64862262157287e+004	(-6.57793268794639e+000dB,-1.26458435709111e+002°)
1.68702397557104e+004	(-5.61069357098899e+000dB,-1.29674563944522e+002°)
1.72631981201147e+004	(-4.83546956653900e+000dB,-1.32723784162907e+002°)
1.76653096606676e+004	(-4.20515070309919e+000dB,-1.35578461616267e+002°)
1.80767875822307e+004	(-3.68656017069699e+000dB,-1.38231667079580e+002°)
1.84978500558444e+004	(-3.25554988567325e+000dB,-1.40687803987296e+002°)
1.89287203344058e+004	(-2.89414122188716e+000dB,-1.42956973533144e+002°)
1.93696268710396e+004	(-2.58864987631122e+000dB,-1.45051936025628e+002°)
1.98208034402278e+004	(-2.32851181355410e+000dB,-1.46986597872070e+002°)
2.02824892617594e+004	(-2.10548290479844e+000dB,-1.48774910677761e+002°)
2.07549291275680e+004	(-1.91306184202498e+000dB,-1.50430254563437e+002°)
2.12383735315241e+004	(-1.74607359852996e+000dB,-1.51965130396714e+002°)
2.17330788022496e+004	(-1.60036411608871e+000dB,-1.53391026657441e+002°)
2.22393072390275e+004	(-1.47257308765952e+000dB,-1.54718388535604e+002°)
2.27573272508755e+004	(-1.35996274287530e+000dB,-1.55956646015393e+002°)
2.32874134988607e+004	(-1.26028747512789e+000dB,-1.57114274100803e+002°)
2.38298470417284e+004	(-1.17169365418064e+000dB,-1.58198868537246e+002°)
2.43849154849229e+004	(-1.09264199767770e+000dB,-1.59217226882611e+002°)
2.49529131330801e+004	(-1.02184696447494e+000dB,-1.60175428928996e+002°)
2.55341411460712e+004	(-9.58229102074056e-001dB,-1.61078913106487e+002°)
2.61289076986823e+004	(-9.00877329582886e-001dB,-1.61932547148839e+002°)
2.67375281440123e+004	(-8.49018896172004e-001dB,-1.62740692315709e+002°)
2.73603251806772e+004	(-8.01995309299219e-001dB,-1.63507261074036e+002°)
2.79976290239096e+004	(-7.59242935799367e-001dB,-1.64235768489751e+002°)
2.86497775806430e+004	(-7.20277282974657e-001dB,-1.64929377766156e+002°)
2.93171166286742e+004	(-6.84680194647108e-001dB,-1.65590940449129e+002°)
2.99999999999999e+004	(-6.52089369047244e-001dB,-1.66223031841735e+002°)
3.06987897684225e+004	(-6.22189735994660e-001dB,-1.66827982157487e+002°)
3.14138564415269e+004	(-5.94706330624843e-001dB,-1.67407903908597e+002°)
3.21455791571281e+004	(-5.69398377647345e-001dB,-1.67964715983174e+002°)
3.28943458842954e+004	(-5.46054359443386e-001dB,-1.68500164819710e+002°)
3.36605536290588e+004	(-5.24487887432714e-001dB,-1.69015843041915e+002°)
3.44446086449064e+004	(-5.04534232178666e-001dB,-1.69513205874140e+002°)
3.52469266481858e+004	(-4.86047396009613e-001dB,-1.69993585618266e+002°)
3.60679330385222e+004	(-4.68897634275707e-001dB,-1.70458204437421e+002°)
3.69080631243713e+004	(-4.52969349078060e-001dB,-1.70908185660334e+002°)
3.77677623538249e+004	(-4.38159293420937e-001dB,-1.71344563792310e+002°)
3.86474865507939e+004	(-4.24375035029604e-001dB,-1.71768293394413e+002°)
3.95477021566921e+004	(-4.11533638152407e-001dB,-1.72180256971261e+002°)
4.04688864777495e+004	(-3.99560528985484e-001dB,-1.72581271989362e+002°)
4.14115279380864e+004	(-3.88388516292432e-001dB,-1.72972097131962e+002°)
4.23761263386825e+004	(-3.77956943613631e-001dB,-1.73353437882526e+002°)
4.33631931223777e+004	(-3.68210953399326e-001dB,-1.73725951517052e+002°)
4.43732516450461e+004	(-3.59100846625522e-001dB,-1.74090251575035e+002°)
4.54068374530861e+004	(-3.50581524106336e-001dB,-1.74446911870016e+002°)
4.64644985673743e+004	(-3.42611997904281e-001dB,-1.74796470092868e+002°)
4.75467957738332e+004	(-3.35154963051725e-001dB,-1.75139431054342e+002°)
4.86543029207677e+004	(-3.28176421302065e-001dB,-1.75476269607558e+002°)
4.97876072231266e+004	(-3.21645349882158e-001dB,-1.75807433286135e+002°)
5.09473095738521e+004	(-3.15533409264904e-001dB,-1.76133344689297e+002°)
5.21340248624810e+004	(-3.09814684859547e-001dB,-1.76454403641493e+002°)
5.33483823011675e+004	(-3.04465458253986e-001dB,-1.76770989150790e+002°)
5.45910257582993e+004	(-2.99464004265831e-001dB,-1.77083461187440e+002°)
5.58626140998858e+004	(-2.94790410584638e-001dB,-1.77392162301497e+002°)
5.71638215388972e+004	(-2.90426417232722e-001dB,-1.77697419096204e+002°)
5.84953379927411e+004	(-2.86355273450032e-001dB,-1.77999543571934e+002°)
5.98578694490661e+004	(-2.82561609931922e-001dB,-1.78298834353836e+002°)
6.12521383400856e+004	(-2.79031324621787e-001dB,-1.78595577814813e+002°)
6.26788839256209e+004	(-2.75751480498104e-001dB,-1.78890049104231e+002°)
6.41388626850667e+004	(-2.72710213995179e-001dB,-1.79182513091582e+002°)
6.56328487184863e+004	(-2.69896652872341e-001dB,-1.79473225233347e+002°)
6.71616341570499e+004	(-2.67300842494318e-001dB,-1.79762432370412e+002°)
6.87260295830329e+004	(-2.64913679615468e-001dB,1.79949626537368e+002°)
7.03268644595973e+004	(-2.62726852872102e-001dB,1.79662719733585e+002°)
7.19649875705844e+004	(-2.60732789283707e-001dB,1.79376622039365e+002°)
7.36412674705506e+004	(-2.58924606148015e-001dB,1.79091114274413e+002°)
7.53565929452870e+004	(-2.57296067788535e-001dB,1.78805982720718e+002°)
7.71118734830655e+004	(-2.55841546676118e-001dB,1.78521018625128e+002°)
7.89080397568611e+004	(-2.54555988502738e-001dB,1.78236017737297e+002°)
8.07460441178071e+004	(-2.53434880834256e-001dB,1.77950779879931e+002°)
8.26268611001446e+004	(-2.52474225010942e-001dB,1.77665108548496e+002°)
8.45514879379332e+004	(-2.51670511003779e-001dB,1.77378810537865e+002°)
8.65209450937978e+004	(-2.51020694965708e-001dB,1.77091695593616e+002°)
8.85362767999911e+004	(-2.50522179247661e-001dB,1.76803576085890e+002°)
9.05985516120600e+004	(-2.50172794674312e-001dB,1.76514266703950e+002°)
9.27088629754072e+004	(-2.49970784896912e-001dB,1.76223584169735e+002°)
9.48683298050509e+004	(-2.49914792661663e-001dB,1.75931346968860e+002°)
9.70780970788880e+004	(-2.50003847848943e-001dB,1.75637375097686e+002°)
9.93393364447768e+004	(-2.50237357155429e-001dB,1.75341489825177e+002°)
1.00000000000000e+005	(-2.50331315468201e-001dB,1.75255932156915e+002°)
Step Information: Run=2  (Run: 2/100)
3.00000000000000e+003	(-2.03460616625355e-003dB,1.74423705728100e+002°)
3.06987897684226e+003	(-4.51152987186026e-003dB,1.74284976217288e+002°)
3.14138564415270e+003	(-7.12179413134186e-003dB,1.74142354922841e+002°)
3.21455791571282e+003	(-9.87342003508405e-003dB,1.73995700419670e+002°)
3.28943458842955e+003	(-1.27749955765031e-002dB,1.73844863902765e+002°)
3.36605536290589e+003	(-1.58357240350703e-002dB,1.73689688663706e+002°)
3.44446086449065e+003	(-1.90654773022532e-002dB,1.73530009521864e+002°)
3.52469266481859e+003	(-2.24748547389578e-002dB,1.73365652205786e+002°)
3.60679330385224e+003	(-2.60752482323238e-002dB,1.73196432679699e+002°)
3.69080631243714e+003	(-2.98789142122148e-002dB,1.73022156409536e+002°)
3.77677623538250e+003	(-3.38990534938657e-002dB,1.72842617562193e+002°)
3.86474865507940e+003	(-3.81498999347107e-002dB,1.72657598131029e+002°)
3.95477021566922e+003	(-4.26468190378393e-002dB,1.72466866979754e+002°)
4.04688864777496e+003	(-4.74064177969866e-002dB,1.72270178795913e+002°)
4.14115279380865e+003	(-5.24466672725393e-002dB,1.72067272944122e+002°)
4.23761263386826e+003	(-5.77870396112142e-002dB,1.71857872207958e+002°)
4.33631931223778e+003	(-6.34486614840379e-002dB,1.71641681408043e+002°)
4.43732516450462e+003	(-6.94544862258476e-002dB,1.71418385882275e+002°)
4.54068374530862e+003	(-7.58294873189510e-002dB,1.71187649812358e+002°)
4.64644985673744e+003	(-8.26008762902490e-002dB,1.70949114378710e+002°)
4.75467957738334e+003	(-8.97983485922638e-002dB,1.70702395723501e+002°)
4.86543029207679e+003	(-9.74543616330675e-002dB,1.70447082698842e+002°)
4.97876072231268e+003	(-1.05604449825949e-001dB,1.70182734374074e+002°)
5.09473095738523e+003	(-1.14287582368705e-001dB,1.69908877272557e+002°)
5.21340248624812e+003	(-1.23546570465406e-001dB,1.69625002304258e+002°)
5.33483823011676e+003	(-1.33428531903182e-001dB,1.69330561355768e+002°)
5.45910257582995e+003	(-1.43985422338041e-001dB,1.69024963493957e+002°)
5.58626140998860e+003	(-1.55274644378819e-001dB,1.68707570733267e+002°)
5.71638215388974e+003	(-1.67359747657703e-001dB,1.68377693309450e+002°)
5.84953379927413e+003	(-1.80311235618148e-001dB,1.68034584394323e+002°)
5.98578694490663e+003	(-1.94207497845782e-001dB,1.67677434176544e+002°)
6.12521383400858e+003	(-2.09135890547243e-001dB,1.67305363222483e+002°)
6.26788839256211e+003	(-2.25193992410909e-001dB,1.66917415018586e+002°)
6.41388626850669e+003	(-2.42491068778044e-001dB,1.66512547582178e+002°)
6.56328487184865e+003	(-2.61149784083755e-001dB,1.66089624010995e+002°)
6.71616341570501e+003	(-2.81308211243099e-001dB,1.65647401822790e+002°)
6.87260295830331e+003	(-3.03122197504861e-001dB,1.65184520914845e+002°)
7.03268644595976e+003	(-3.26768159854914e-001dB,1.64699489948963e+002°)
7.19649875705846e+003	(-3.52446400073722e-001dB,1.64190670940491e+002°)
7.36412674705508e+003	(-3.80385051017508e-001dB,1.63656261800266e+002°)
7.53565929452873e+003	(-4.10844792886383e-001dB,1.63094276546515e+002°)
7.71118734830658e+003	(-4.44124512858853e-001dB,1.62502522870737e+002°)
7.89080397568614e+003	(-4.80568125753190e-001dB,1.61878576709173e+002°)
8.07460441178074e+003	(-5.20572830306528e-001dB,1.61219753443004e+002°)
8.26268611001449e+003	(-5.64599149246087e-001dB,1.60523075330974e+002°)
8.45514879379335e+003	(-6.13183196944496e-001dB,1.59785234776444e+002°)
8.65209450937981e+003	(-6.66951743407331e-001dB,1.59002553060367e+002°)
8.85362767999915e+003	(-7.26640807587403e-001dB,1.58170934253646e+002°)
9.05985516120604e+003	(-7.93118730241099e-001dB,1.57285814190064e+002°)
9.27088629754076e+003	(-8.67414965666197e-001dB,1.56342104685877e+002°)
9.48683298050513e+003	(-9.50756219132447e-001dB,1.55334133714221e+002°)
9.70780970788884e+003	(-1.04461207992531e+000dB,1.54255583105356e+002°)
9.93393364447772e+003	(-1.15075301189241e+000dB,1.53099426739139e+002°)
1.01653246841761e+004	(-1.27132454125717e+000dB,1.51857874422099e+002°)
1.04021055135759e+004	(-1.40894283878113e+000dB,1.50522330163041e+002°)
1.06444016770073e+004	(-1.56681880115369e+000dB,1.49083379109143e+002°)
1.08923416431030e+004	(-1.74892045965639e+000dB,1.47530826138978e+002°)
1.11460568729152e+004	(-1.96018750709804e+000dB,1.45853822899540e+002°)
1.14056818896168e+004	(-2.20681764489384e+000dB,1.44041142005524e+002°)
1.16713543498284e+004	(-2.49665354867863e+000dB,1.42081692456226e+002°)
1.19432151166049e+004	(-2.83971380835573e+000dB,1.39965428507949e+002°)
1.22214083341234e+004	(-3.24893562468570e+000dB,1.37684903332502e+002°)
1.25060815041100e+004	(-3.74124033626290e+000dB,1.35237896257588e+002°)
1.27973855640478e+004	(-4.33911434978261e+000dB,1.32631883227293e+002°)
1.30954749672050e+004	(-5.07306159294060e+000dB,1.29891836259520e+002°)
1.34005077645289e+004	(-5.98563441210240e+000dB,1.27074511238356e+002°)
1.37126456884462e+004	(-7.13855732839952e+000dB,1.24296791676047e+002°)
1.40320542386159e+004	(-8.62646452131486e+000dB,1.21798958951692e+002°)
1.43589027696791e+004	(-1.06061562017395e+001dB,1.20111140651769e+002°)
1.46933645810534e+004	(-1.33649525177241e+001dB,1.20601554169971e+002°)
1.50356170088181e+004	(-1.74628333020392e+001dB,1.27942337152250e+002°)
1.53858415197409e+004	(-2.27626564862578e+001dB,1.63449808064384e+002°)
1.57442238074931e+004	(-2.01478324133901e+001dB,-1.37866246711110e+002°)
1.61109538911075e+004	(-1.50914055307560e+001dB,-1.21446557187881e+002°)
1.64862262157287e+004	(-1.17071048285150e+001dB,-1.18733514219771e+002°)
1.68702397557104e+004	(-9.34310884382853e+000dB,-1.19798503940940e+002°)
1.72631981201147e+004	(-7.59794902581043e+000dB,-1.22214039451696e+002°)
1.76653096606676e+004	(-6.26266321428912e+000dB,-1.25138145097412e+002°)
1.80767875822307e+004	(-5.21655322365159e+000dB,-1.28207311834111e+002°)
1.84978500558444e+004	(-4.38313482261067e+000dB,-1.31245577898592e+002°)
1.89287203344058e+004	(-3.71056639020679e+000dB,-1.34164613194856e+002°)
1.93696268710396e+004	(-3.16203032870067e+000dB,-1.36921857840120e+002°)
1.98208034402278e+004	(-2.71052708654913e+000dB,-1.39500173563094e+002°)
2.02824892617594e+004	(-2.33580862474740e+000dB,-1.41896864189031e+002°)
2.07549291275680e+004	(-2.02244117706268e+000dB,-1.44117349300519e+002°)
2.12383735315241e+004	(-1.75851293224166e+000dB,-1.46171388690583e+002°)
2.17330788022496e+004	(-1.53473647144737e+000dB,-1.48070800818391e+002°)
2.22393072390275e+004	(-1.34380702683461e+000dB,-1.49828091276442e+002°)
2.27573272508755e+004	(-1.17993399165582e+000dB,-1.51455646520094e+002°)
2.32874134988607e+004	(-1.03849363764412e+000dB,-1.52965280850606e+002°)
2.38298470417284e+004	(-9.15768644868445e-001dB,-1.54368003307466e+002°)
2.43849154849229e+004	(-8.08750881523131e-001dB,-1.55673919731293e+002°)
2.49529131330801e+004	(-7.14990861147050e-001dB,-1.56892216016701e+002°)
2.55341411460712e+004	(-6.32481995983389e-001dB,-1.58031188278218e+002°)
2.61289076986823e+004	(-5.59571007190091e-001dB,-1.59098298338916e+002°)
2.67375281440123e+004	(-4.94888141493225e-001dB,-1.60100241124661e+002°)
2.73603251806772e+004	(-4.37292485353440e-001dB,-1.61043015799046e+002°)
2.79976290239096e+004	(-3.85828858860773e-001dB,-1.61931995831202e+002°)
2.86497775806430e+004	(-3.39693643963655e-001dB,-1.62771995316655e+002°)
2.93171166286742e+004	(-2.98207545495262e-001dB,-1.63567330203510e+002°)
2.99999999999999e+004	(-2.60793761819982e-001dB,-1.64321873894903e+002°)
3.06987897684225e+004	(-2.26960399488133e-001dB,-1.65039107187795e+002°)
3.14138564415269e+004	(-1.96286235074307e-001dB,-1.65722162787327e+002°)
3.21455791571281e+004	(-1.68409130527013e-001dB,-1.66373864783006e+002°)
3.28943458842954e+004	(-1.43016562709721e-001dB,-1.66996763537985e+002°)
3.36605536290588e+004	(-1.19837845694646e-001dB,-1.67593166458273e+002°)
3.44446086449064e+004	(-9.86377148474197e-002dB,-1.68165165095371e+002°)
3.52469266481858e+004	(-7.92110115348740e-002dB,-1.68714659006828e+002°)
3.60679330385222e+004	(-6.13782613830096e-002dB,-1.69243376762740e+002°)
3.69080631243713e+004	(-4.49819811461584e-002dB,-1.69752894447209e+002°)
3.77677623538249e+004	(-2.98835822109145e-002dB,-1.70244651965237e+002°)
3.86474865507939e+004	(-1.59607646763721e-002dB,-1.70719967429182e+002°)
3.95477021566921e+004	(-3.10531640824454e-003dB,-1.71180049865409e+002°)
4.04688864777495e+004	(8.77875230496358e-003dB,-1.71626010451650e+002°)
4.14115279380864e+004	(1.97767949459166e-002dB,-1.72058872468718e+002°)
4.23761263386825e+004	(2.99648819259507e-002dB,-1.72479580126555e+002°)
4.33631931223777e+004	(3.94109585226819e-002dB,-1.72889006403823e+002°)
4.43732516450461e+004	(4.81758387199508e-002dB,-1.73287960022138e+002°)
4.54068374530861e+004	(5.63140606595957e-002dB,-1.73677191660312e+002°)
4.64644985673743e+004	(6.38746250130744e-002dB,-1.74057399500269e+002°)
4.75467957738332e+004	(7.09016339953473e-002dB,-1.74429234184480e+002°)
4.86543029207677e+004	(7.74348458079198e-002dB,-1.74793303254489e+002°)
4.97876072231266e+004	(8.35101568880809e-002dB,-1.75150175131226e+002°)
5.09473095738521e+004	(8.91600223567942e-002dB,-1.75500382690117e+002°)
5.21340248624810e+004	(9.44138234158793e-002dB,-1.75844426477326e+002°)
5.33483823011675e+004	(9.92981890857029e-002dB,-1.76182777607725e+002°)
5.45910257582993e+004	(1.03837278542300e-001dB,-1.76515880380139e+002°)
5.58626140998858e+004	(1.08053029369242e-001dB,-1.76844154641122e+002°)
5.71638215388972e+004	(1.11965376250000e-001dB,-1.77167997924687e+002°)
5.84953379927411e+004	(1.15592443963747e-001dB,-1.77487787392179e+002°)
5.98578694490661e+004	(1.18950717990078e-001dB,-1.77803881593589e+002°)
6.12521383400856e+004	(1.22055195557837e-001dB,-1.78116622069121e+002°)
6.26788839256209e+004	(1.24919519576110e-001dB,-1.78426334807646e+002°)
6.41388626850667e+004	(1.27556097546554e-001dB,-1.78733331576774e+002°)
6.56328487184863e+004	(1.29976207271888e-001dB,-1.79037911137588e+002°)
6.71616341570499e+004	(1.32190090928386e-001dB,-1.79340360355661e+002°)
6.87260295830329e+004	(1.34207038863757e-001dB,-1.79640955218637e+002°)
7.03268644595973e+004	(1.36035464301976e-001dB,-1.79939961769579e+002°)
7.19649875705844e+004	(1.37682969983179e-001dB,1.79762363035742e+002°)
7.36412674705506e+004	(1.39156407635743e-001dB,1.79465770540316e+002°)
7.53565929452870e+004	(1.40461931063550e-001dB,1.79170019659570e+002°)
7.71118734830655e+004	(1.41605043533154e-001dB,1.78874876211432e+002°)
7.89080397568611e+004	(1.42590640060846e-001dB,1.78580112297525e+002°)
8.07460441178071e+004	(1.43423045126748e-001dB,1.78285505730796e+002°)
8.26268611001446e+004	(1.44106046277481e-001dB,1.77990839505374e+002°)
8.45514879379332e+004	(1.44642924024859e-001dB,1.77695901304844e+002°)
8.65209450937978e+004	(1.45036478398890e-001dB,1.77400483045535e+002°)
8.85362767999911e+004	(1.45289052470639e-001dB,1.77104380451746e+002°)
9.05985516120600e+004	(1.45402553124066e-001dB,1.76807392660132e+002°)
9.27088629754072e+004	(1.45378469322978e-001dB,1.76509321850754e+002°)
9.48683298050509e+004	(1.45217888090607e-001dB,1.76209972902533e+002°)
9.70780970788880e+004	(1.44921508394684e-001dB,1.75909153071060e+002°)
9.93393364447768e+004	(1.44489653107822e-001dB,1.75606671686935e+002°)
1.00000000000000e+005	(1.44340222412365e-001dB,1.75519260251779e+002°)
Step Information: Run=3  (Run: 3/100)
3.00000000000000e+003	(-7.95451874087392e-001dB,1.73172443315149e+002°)
3.06987897684226e+003	(-7.99377032560904e-001dB,1.73000583906532e+002°)
3.14138564415270e+003	(-8.03515272261817e-001dB,1.72823755955941e+002°)
3.21455791571282e+003	(-8.07879602779391e-001dB,1.72641768554171e+002°)
3.28943458842955e+003	(-8.12483974098580e-001dB,1.72454420174826e+002°)
3.36605536290589e+003	(-8.17343359197821e-001dB,1.72261497880532e+002°)
3.44446086449065e+003	(-8.22473845364671e-001dB,1.72062776457185e+002°)
3.52469266481859e+003	(-8.27892735304208e-001dB,1.71858017468717e+002°)
3.60679330385224e+003	(-8.33618659266987e-001dB,1.71646968223912e+002°)
3.69080631243714e+003	(-8.39671699598403e-001dB,1.71429360645835e+002°)
3.77677623538250e+003	(-8.46073529315398e-001dB,1.71204910033235e+002°)
3.86474865507940e+003	(-8.52847566552230e-001dB,1.70973313701980e+002°)
3.95477021566922e+003	(-8.60019146994676e-001dB,1.70734249493099e+002°)
4.04688864777496e+003	(-8.67615716743540e-001dB,1.70487374132252e+002°)
4.14115279380865e+003	(-8.75667048426891e-001dB,1.70232321423535e+002°)
4.23761263386826e+003	(-8.84205483824526e-001dB,1.69968700258246e+002°)
4.33631931223778e+003	(-8.93266206790948e-001dB,1.69696092416696e+002°)
4.43732516450462e+003	(-9.02887550879236e-001dB,1.69414050138177e+002°)
4.54068374530862e+003	(-9.13111346799490e-001dB,1.69122093430826e+002°)
4.64644985673744e+003	(-9.23983315710510e-001dB,1.68819707089183e+002°)
4.75467957738334e+003	(-9.35553515375615e-001dB,1.68506337382767e+002°)
4.86543029207679e+003	(-9.47876847442499e-001dB,1.68181388373738e+002°)
4.97876072231268e+003	(-9.61013635581185e-001dB,1.67844217815703e+002°)
5.09473095738523e+003	(-9.75030285981320e-001dB,1.67494132578730e+002°)
5.21340248624812e+003	(-9.90000043840891e-001dB,1.67130383537482e+002°)
5.33483823011676e+003	(-1.00600386205288e+000dB,1.66752159849965e+002°)
5.45910257582995e+003	(-1.02313140141674e+000dB,1.66358582543383e+002°)
5.58626140998860e+003	(-1.04148218550227e+000dB,1.65948697310766e+002°)
5.71638215388974e+003	(-1.06116693792976e+000dB,1.65521466407092e+002°)
5.84953379927413e+003	(-1.08230913551911e+000dB,1.65075759516161e+002°)
5.98578694490663e+003	(-1.10504681775618e+000dB,1.64610343439052e+002°)
6.12521383400858e+003	(-1.12953470167072e+000dB,1.64123870431122e+002°)
6.26788839256211e+003	(-1.15594666194474e+000dB,1.63614864986592e+002°)
6.41388626850669e+003	(-1.18447864943130e+000dB,1.63081708837096e+002°)
6.56328487184865e+003	(-1.21535213798482e+000dB,1.62522623892403e+002°)
6.71616341570501e+003	(-1.24881821052461e+000dB,1.61935652807034e+002°)
6.87260295830331e+003	(-1.28516242180513e+000dB,1.61318636804567e+002°)
7.03268644595976e+003	(-1.32471060907333e+000dB,1.60669190331309e+002°)
7.19649875705846e+003	(-1.36783586480305e+000dB,1.59984672041405e+002°)
7.36412674705508e+003	(-1.41496694087209e+000dB,1.59262151535619e+002°)
7.53565929452873e+003	(-1.46659842473335e+000dB,1.58498371185100e+002°)
7.71118734830658e+003	(-1.52330312051594e+000dB,1.57689702269219e+002°)
7.89080397568614e+003	(-1.58574718863750e+000dB,1.56832094543512e+002°)
8.07460441178074e+003	(-1.65470875610911e+000dB,1.55921018231728e+002°)
8.26268611001449e+003	(-1.73110091968788e+000dB,1.54951397308844e+002°)
8.45514879379335e+003	(-1.81600034414166e+000dB,1.53917532816685e+002°)
