Freq.	V(vo)/V(vm)
2.08929613085404e+000	(-3.51347444461735e+001dB,-1.22729656295917e-002°)
2.13796208950223e+000	(-3.51347449279991e+001dB,-1.25588398682296e-002°)
2.18776162394955e+000	(-3.51347454325323e+001dB,-1.28513729836313e-002°)
2.23872113856834e+000	(-3.51347459608436e+001dB,-1.31507200817858e-002°)
2.29086765276777e+000	(-3.51347465140535e+001dB,-1.34570398814856e-002°)
2.34422881531992e+000	(-3.51347470933353e+001dB,-1.37704947986347e-002°)
2.39883291901949e+000	(-3.51347476999179e+001dB,-1.40912510324487e-002°)
2.45470891568503e+000	(-3.51347483350879e+001dB,-1.44194786533829e-002°)
2.51188643150958e+000	(-3.51347490001926e+001dB,-1.47553516934240e-002°)
2.57039578276886e+000	(-3.51347496966428e+001dB,-1.50990482384275e-002°)
2.63026799189538e+000	(-3.51347504259157e+001dB,-1.54507505224225e-002°)
2.69153480392691e+000	(-3.51347511895583e+001dB,-1.58106450242741e-002°)
2.75422870333816e+000	(-3.51347519891903e+001dB,-1.61789225667279e-002°)
2.81838293126445e+000	(-3.51347528265079e+001dB,-1.65557784172516e-002°)
2.88403150312660e+000	(-3.51347537032871e+001dB,-1.69414123919445e-002°)
2.95120922666638e+000	(-3.51347546213877e+001dB,-1.73360289612850e-002°)
3.01995172040201e+000	(-3.51347555827573e+001dB,-1.77398373586066e-002°)
3.09029543251359e+000	(-3.51347565894348e+001dB,-1.81530516910245e-002°)
3.16227766016837e+000	(-3.51347576435558e+001dB,-1.85758910530286e-002°)
3.23593656929628e+000	(-3.51347587473561e+001dB,-1.90085796425291e-002°)
3.31131121482591e+000	(-3.51347599031770e+001dB,-1.94513468799826e-002°)
3.38844156139202e+000	(-3.51347611134703e+001dB,-1.99044275297953e-002°)
3.46736850452531e+000	(-3.51347623808031e+001dB,-2.03680618249556e-002°)
3.54813389233575e+000	(-3.51347637078637e+001dB,-2.08424955943873e-002°)
3.63078054770101e+000	(-3.51347650974669e+001dB,-2.13279803933401e-002°)
3.71535229097172e+000	(-3.51347665525604e+001dB,-2.18247736367623e-002°)
3.80189396320560e+000	(-3.51347680762305e+001dB,-2.23331387357917e-002°)
3.89045144994280e+000	(-3.51347696717094e+001dB,-2.28533452374003e-002°)
3.98107170553496e+000	(-3.51347713423811e+001dB,-2.33856689675325e-002°)
4.07380277804112e+000	(-3.51347730917895e+001dB,-2.39303921771595e-002°)
4.16869383470335e+000	(-3.51347749236454e+001dB,-2.44878036919889e-002°)
4.26579518801592e+000	(-3.51347768418344e+001dB,-2.50581990658065e-002°)
4.36515832240165e+000	(-3.51347788504253e+001dB,-2.56418807369853e-002°)
4.46683592150962e+000	(-3.51347809536787e+001dB,-2.62391581890844e-002°)
4.57088189614874e+000	(-3.51347831560560e+001dB,-2.68503481147979e-002°)
4.67735141287197e+000	(-3.51347854622287e+001dB,-2.74757745841081e-002°)
4.78630092322637e+000	(-3.51347878770886e+001dB,-2.81157692158261e-002°)
4.89778819368445e+000	(-3.51347904057581e+001dB,-2.87706713539288e-002°)
5.01187233627271e+000	(-3.51347930536009e+001dB,-2.94408282471143e-002°)
5.12861383991364e+000	(-3.51347958262336e+001dB,-3.01265952332147e-002°)
5.24807460249771e+000	(-3.51347987295374e+001dB,-3.08283359274985e-002°)
5.37031796370252e+000	(-3.51348017696707e+001dB,-3.15464224157080e-002°)
5.49540873857623e+000	(-3.51348049530823e+001dB,-3.22812354512751e-002°)
5.62341325190348e+000	(-3.51348082865247e+001dB,-3.30331646572160e-002°)
5.75439937337156e+000	(-3.51348117770688e+001dB,-3.38026087330610e-002°)
5.88843655355588e+000	(-3.51348154321187e+001dB,-3.45899756660241e-002°)
6.02559586074356e+000	(-3.51348192594275e+001dB,-3.53956829474720e-002°)
6.16595001861481e+000	(-3.51348232671136e+001dB,-3.62201577944549e-002°)
6.30957344480192e+000	(-3.51348274636782e+001dB,-3.70638373763368e-002°)
6.45654229034654e+000	(-3.51348318580229e+001dB,-3.79271690468110e-002°)
6.60693448007594e+000	(-3.51348364594691e+001dB,-3.88106105806338e-002°)
6.76082975391980e+000	(-3.51348412777775e+001dB,-3.97146304173726e-002°)
6.91830970918935e+000	(-3.51348463231686e+001dB,-4.06397079089471e-002°)
7.07945784384136e+000	(-3.51348516063449e+001dB,-4.15863335747139e-002°)
7.24435960074988e+000	(-3.51348571385131e+001dB,-4.25550093612821e-002°)
7.41310241300916e+000	(-3.51348629314082e+001dB,-4.35462489087897e-002°)
7.58577575029182e+000	(-3.51348689973183e+001dB,-4.45605778236444e-002°)
7.76247116628690e+000	(-3.51348753491105e+001dB,-4.55985339571665e-002°)
7.94328234724279e+000	(-3.51348820002584e+001dB,-4.66606676911815e-002°)
8.12830516164097e+000	(-3.51348889648708e+001dB,-4.77475422297072e-002°)
8.31763771102669e+000	(-3.51348962577214e+001dB,-4.88597338981903e-002°)
8.51138038202374e+000	(-3.51349038942801e+001dB,-4.99978324491674e-002°)
8.70963589956078e+000	(-3.51349118907460e+001dB,-5.11624413751692e-002°)
8.91250938133743e+000	(-3.51349202640818e+001dB,-5.23541782286745e-002°)
9.12010839355907e+000	(-3.51349290320494e+001dB,-5.35736749506858e-002°)
9.33254300796988e+000	(-3.51349382132483e+001dB,-5.48215782053218e-002°)
9.54992586021433e+000	(-3.51349478271543e+001dB,-5.60985497231180e-002°)
9.77237220955808e+000	(-3.51349578941613e+001dB,-5.74052666525398e-002°)
9.99999999999997e+000	(-3.51349684356244e+001dB,-5.87424219196092e-002°)
1.02329299228075e+001	(-3.51349794739052e+001dB,-6.01107245949236e-002°)
1.04712854805090e+001	(-3.51349910324194e+001dB,-6.15109002706922e-002°)
1.07151930523760e+001	(-3.51350031356864e+001dB,-6.29436914458936e-002°)
1.09647819614318e+001	(-3.51350158093810e+001dB,-6.44098579200643e-002°)
1.12201845430196e+001	(-3.51350290803886e+001dB,-6.59101771972568e-002°)
1.14815362149688e+001	(-3.51350429768615e+001dB,-6.74454448985423e-002°)
1.17489755493953e+001	(-3.51350575282792e+001dB,-6.90164751843479e-002°)
1.20226443461741e+001	(-3.51350727655106e+001dB,-7.06241011872340e-002°)
1.23026877081238e+001	(-3.51350887208796e+001dB,-7.22691754539253e-002°)
1.25892541179416e+001	(-3.51351054282338e+001dB,-7.39525703986827e-002°)
1.28824955169313e+001	(-3.51351229230163e+001dB,-7.56751787656709e-002°)
1.31825673855640e+001	(-3.51351412423408e+001dB,-7.74379141045934e-002°)
1.34896288259165e+001	(-3.51351604250705e+001dB,-7.92417112546887e-002°)
1.38038426460288e+001	(-3.51351805119004e+001dB,-8.10875268424938e-002°)
1.41253754462275e+001	(-3.51352015454438e+001dB,-8.29763397893371e-002°)
1.44543977074592e+001	(-3.51352235703230e+001dB,-8.49091518321102e-002°)
1.47910838816820e+001	(-3.51352466332635e+001dB,-8.68869880551210e-002°)
1.51356124843620e+001	(-3.51352707831934e+001dB,-8.89108974356067e-002°)
1.54881661891248e+001	(-3.51352960713474e+001dB,-9.09819534007135e-002°)
1.58489319246111e+001	(-3.51353225513754e+001dB,-9.31012543988922e-002°)
1.62181009735892e+001	(-3.51353502794564e+001dB,-9.52699244830612e-002°)
1.65958690743755e+001	(-3.51353793144178e+001dB,-9.74891139091791e-002°)
1.69824365246174e+001	(-3.51354097178602e+001dB,-9.97599997476735e-002°)
1.73780082874937e+001	(-3.51354415542884e+001dB,-1.02083786509647e-001°)
