Freq.	V(vo)/V(vi)
3.71535229097172e+000	(-3.82804814133511e+001dB,-2.18294446882567e-002°)
3.80189396320560e+000	(-3.82804829391054e+001dB,-2.23379185879074e-002°)
3.89045144994280e+000	(-3.82804845367666e+001dB,-2.28582364243268e-002°)
3.98107170553496e+000	(-3.82804862097236e+001dB,-2.33906740824000e-002°)
4.07380277804112e+000	(-3.82804879615249e+001dB,-2.39355138734952e-002°)
4.16869383470335e+000	(-3.82804897958865e+001dB,-2.44930446851788e-002°)
4.26579518801592e+000	(-3.82804917166993e+001dB,-2.50635621344054e-002°)
4.36515832240165e+000	(-3.82804937280376e+001dB,-2.56473687243096e-002°)
4.46683592150962e+000	(-3.82804958341679e+001dB,-2.62447740046202e-002°)
4.57088189614874e+000	(-3.82804980395577e+001dB,-2.68560947358151e-002°)
4.67735141287197e+000	(-3.82805003488848e+001dB,-2.74816550571377e-002°)
4.78630092322637e+000	(-3.82805027670479e+001dB,-2.81217866584723e-002°)
4.89778819368445e+000	(-3.82805052991762e+001dB,-2.87768289562773e-002°)
5.01187233627271e+000	(-3.82805079506408e+001dB,-2.94471292735806e-002°)
5.12861383991364e+000	(-3.82805107270660e+001dB,-3.01330430242232e-002°)
5.24807460249771e+000	(-3.82805136343411e+001dB,-3.08349339012928e-002°)
5.37031796370252e+000	(-3.82805166786328e+001dB,-3.15531740700946e-002°)
5.49540873857623e+000	(-3.82805198663988e+001dB,-3.22881443654903e-002°)
5.62341325190348e+000	(-3.82805232044008e+001dB,-3.30402344939046e-002°)
5.75439937337156e+000	(-3.82805266997194e+001dB,-3.38098432400421e-002°)
5.88843655355588e+000	(-3.82805303597687e+001dB,-3.45973786783936e-002°)
6.02559586074356e+000	(-3.82805341923126e+001dB,-3.54032583896645e-002°)
6.16595001861481e+000	(-3.82805382054806e+001dB,-3.62279096823328e-002°)
6.30957344480192e+000	(-3.82805424077853e+001dB,-3.70717698192476e-002°)
6.45654229034654e+000	(-3.82805468081407e+001dB,-3.79352862496118e-002°)
6.60693448007594e+000	(-3.82805514158810e+001dB,-3.88189168463224e-002°)
6.76082975391980e+000	(-3.82805562407800e+001dB,-3.97231301488735e-002°)
6.91830970918935e+000	(-3.82805612930723e+001dB,-4.06484056119077e-002°)
7.07945784384136e+000	(-3.82805665834751e+001dB,-4.15952338595370e-002°)
7.24435960074988e+000	(-3.82805721232104e+001dB,-4.25641169456808e-002°)
7.41310241300916e+000	(-3.82805779240291e+001dB,-4.35555686203654e-002°)
7.58577575029182e+000	(-3.82805839982363e+001dB,-4.45701146023367e-002°)
7.76247116628690e+000	(-3.82805903587166e+001dB,-4.56082928579314e-002°)
7.94328234724279e+000	(-3.82805970189621e+001dB,-4.66706538865600e-002°)
8.12830516164097e+000	(-3.82806039931009e+001dB,-4.77577610127655e-002°)
8.31763771102669e+000	(-3.82806112959268e+001dB,-4.88701906851392e-002°)
8.51138038202374e+000	(-3.82806189429309e+001dB,-5.00085327822038e-002°)
8.70963589956078e+000	(-3.82806269503345e+001dB,-5.11733909254063e-002°)
8.91250938133743e+000	(-3.82806353351234e+001dB,-5.23653827994797e-002°)
9.12010839355907e+000	(-3.82806441150841e+001dB,-5.35851404802016e-002°)
9.33254300796988e+000	(-3.82806533088411e+001dB,-5.48333107698835e-002°)
9.54992586021433e+000	(-3.82806629358971e+001dB,-5.61105555406110e-002°)
9.77237220955808e+000	(-3.82806730166739e+001dB,-5.74175520855694e-002°)
9.99999999999997e+000	(-3.82806835725556e+001dB,-5.87549934785366e-002°)
1.02329299228075e+001	(-3.82806946259347e+001dB,-6.01235889417348e-002°)
1.04712854805090e+001	(-3.82807062002587e+001dB,-6.15240642223761e-002°)
1.07151930523760e+001	(-3.82807183200806e+001dB,-6.29571619779059e-002°)
1.09647819614318e+001	(-3.82807310111103e+001dB,-6.44236421702754e-002°)
1.12201845430196e+001	(-3.82807443002700e+001dB,-6.59242824694483e-002°)
1.14815362149688e+001	(-3.82807582157505e+001dB,-6.74598786662958e-002°)
1.17489755493953e+001	(-3.82807727870715e+001dB,-6.90312450952011e-002°)
1.20226443461741e+001	(-3.82807880451443e+001dB,-7.06392150664692e-002°)
1.23026877081238e+001	(-3.82808040223369e+001dB,-7.22846413088644e-002°)
1.25892541179416e+001	(-3.82808207525432e+001dB,-7.39683964225610e-002°)
1.28824955169313e+001	(-3.82808382712548e+001dB,-7.56913733426287e-002°)
1.31825673855640e+001	(-3.82808566156361e+001dB,-7.74544858133062e-002°)
1.34896288259165e+001	(-3.82808758246035e+001dB,-7.92586688734949e-002°)
1.38038426460288e+001	(-3.82808959389077e+001dB,-8.11048793535359e-002°)
1.41253754462275e+001	(-3.82809170012202e+001dB,-8.29940963836034e-002°)
1.44543977074592e+001	(-3.82809390562244e+001dB,-8.49273219140282e-002°)
1.47910838816820e+001	(-3.82809621507095e+001dB,-8.69055812478192e-002°)
1.51356124843620e+001	(-3.82809863336708e+001dB,-8.89299235856107e-002°)
1.54881661891248e+001	(-3.82810116564129e+001dB,-9.10014225834514e-002°)
1.58489319246111e+001	(-3.82810381726590e+001dB,-9.31211769234873e-002°)
1.62181009735892e+001	(-3.82810659386651e+001dB,-9.52903108983536e-002°)
1.65958690743755e+001	(-3.82810950133388e+001dB,-9.75099750088002e-002°)
1.69824365246174e+001	(-3.82811254583653e+001dB,-9.97813465758985e-002°)
1.73780082874937e+001	(-3.82811573383372e+001dB,-1.02105630367051e-001°)
1.77827941003892e+001	(-3.82811907208928e+001dB,-1.04484059237094e-001°)
1.81970085860998e+001	(-3.82812256768588e+001dB,-1.06917894784237e-001°)
1.86208713666286e+001	(-3.82812622804011e+001dB,-1.09408428021544e-001°)
1.90546071796324e+001	(-3.82813006091824e+001dB,-1.11956980064094e-001°)
1.94984459975804e+001	(-3.82813407445269e+001dB,-1.14564902832321e-001°)
1.99526231496887e+001	(-3.82813827715928e+001dB,-1.17233579771877e-001°)
2.04173794466952e+001	(-3.82814267795537e+001dB,-1.19964426590554e-001°)
2.08929613085403e+001	(-3.82814728617875e+001dB,-1.22758892012275e-001°)
2.13796208950222e+001	(-3.82815211160751e+001dB,-1.25618458549219e-001°)
2.18776162394954e+001	(-3.82815716448077e+001dB,-1.28544643291740e-001°)
2.23872113856833e+001	(-3.82816245552046e+001dB,-1.31538998717215e-001°)
2.29086765276776e+001	(-3.82816799595410e+001dB,-1.34603113517803e-001°)
2.34422881531991e+001	(-3.82817379753864e+001dB,-1.37738613447827e-001°)
2.39883291901948e+001	(-3.82817987258542e+001dB,-1.40947162191061e-001°)
2.45470891568502e+001	(-3.82818623398639e+001dB,-1.44230462248672e-001°)
2.51188643150957e+001	(-3.82819289524144e+001dB,-1.47590255847883e-001°)
