Freq,ch1p2p,ch2p2p,phase
1003.6661694801847,0.07592417973213658,0.0993447260597168,5.308444708815242,158.4378176422617
9975.06234413965,0.08893975340050286,0.1209414056379161,5.308444708815242,87.88673986410735
74906.36704119851,0.08893975340050286,0.14037841725829547,5.3136388817201485,110.84044085042304
99927.13646299574,0.09110901567856391,0.12526074155355596,4.939658432566825,40.20490262878855
152091.25475285173,0.08893975340050286,0.11878173768009616,5.3136388817201485,51.29115746767289
201680.67226890754,0.08677049112244181,0.11662206972227623,4.6383964040822026,53.02806242165723
304761.90476190473,0.08460122884438077,0.1144624017644563,5.308444708815242,101.07533165737283
403135.4983202696,0.08677049112244181,0.10366406197535666,4.633202231177295,123.99670649465908
516129.0322580645,0.08243196656631974,0.10798339789099651,0.9609219874078471,29.218208199183426
729483.2826747721,0.08243196656631974,0.10582372993317658,2.0153390871040253,132.8643957738117
1019541.2064570881,0.08460122884438077,0.10582372993317658,0.9141744312636815,74.87923489238499
1504702.1943573668,0.08026270428825868,0.09934472605971678,0.8726210480244232,148.28952724476778
2021052.6315789474,0.08243196656631974,0.092865722186257,0.44150469691711897,70.20662432791175
3053435.114503873,0.08243196656631974,0.09502539014407693,0.5038347717760063,77.94752041320088
3892493.049119699,0.08026270428825868,0.08854638627061714,0.3064562013895296,137.5098015141405
1599999.9999999998,0.06507786834183137,0.07126904260805769,0.29606785557971504,147.2579649052353
