Time (s),Channel 1 (V),Channel 2 (V)
-0.0025378564453125,-0.3681649239397023,-0.8841674129104242
-0.0025372314453125,-0.3536570236121731,-0.8737805076339076
-0.0025366064453125,-0.3584929903880147,-0.8893608655486862
-0.0025359814453125,-0.3439850900604833,-0.9880364656756624
-0.0025353564453125,-0.3343131565087957,-0.9205215813782576
-0.0025347314453125,-0.3391491232846394,-0.9724561077608767
-0.0025341064453125,-0.3246412229571146,-1.008810276228693
-0.0025334814453125,-0.324641222957108,-0.9309084866547814
-0.0025328564453125,-0.3149692894054181,-0.9828430130373862
-0.0025322314453125,-0.3101333226295765,-0.951682297207829
-0.0025316064453125,-0.3052973558537284,-0.8893608655487074
-0.0025309814453125,-0.295625422302045,-0.9361019392930433
-0.0025303564453125,-0.295625422302045,-0.9205215813782576
-0.0025297314453125,-0.2859534887503574,-0.842619791804329
-0.0025291064453125,-0.2811175219745136,-0.8633936023573766
-0.0025284814453125,-0.2811175219745136,-0.8685870549956363
-0.0025278564453125,-0.2617736548711384,-0.7595245495921386
-0.0025272314453125,-0.2617736548711361,-0.8478132444425958
-0.0025266064453125,-0.2569376880952945,-0.8582001497191147
-0.0025259814453125,-0.2472657545436047,-0.7854918127835236
-0.0025253564453125,-0.2424297877677631,-0.951682297207829
-0.0025247314453125,-0.2327578542160754,-0.8737805076339005
-0.0025241064453125,-0.2327578542160754,-0.9309084866547555
-0.0025234814453125,-0.2230859206643878,-0.9932299183139243
-0.0025228564453125,-0.2182499538885461,-0.9361019392930693
-0.0025222314453125,-0.218249953888544,-1.045164444696543
-0.0025216064453125,-0.2037420535610125,-0.9516822972078456
-0.0025209814453125,-0.2037420535610125,-0.9880364656756624
-0.0025203564453125,-0.1940701200093249,-1.029584086781758
-0.0025197314453125,-0.1843981864576372,-0.9101346761017338
-0.0025191064453125,-0.1843981864576372,-1.00881027622871
-0.0025184814453125,-0.1747262529059539,-0.9880364656756718
-0.0025178564453125,-0.1698902861301057,-0.89974777082521
-0.0025172314453125,-0.1650543193542641,-0.9984233709521413
-0.0025166064453125,-0.1553823858025743,-0.9620692024843528
