Time (s)	Channel 2 (V)
-2.397265625000001e-05	-0.7850155588840295
-2.372265624999998e-05	-0.8452991355739887
-2.347265625000016e-05	-0.8505411857209368
-2.322265625000013e-05	-0.8269519600596624
-2.29726562500001e-05	-0.8505411857209392
-2.272265625000006e-05	-0.9003406621169904
-2.247265625000003e-05	-0.9029616871904668
-2.222265625e-05	-0.8584042609413742
-2.197265624999997e-05	-0.8715093863087836
-2.172265625000015e-05	-0.9448980883660555
-2.147265625000012e-05	-0.9737293641743291
-2.122265625000008e-05	-0.9658662889538999
-2.097265625000005e-05	-0.9684873140273763
-2.072265625000002e-05	-0.9894555146151873
-2.047265624999998e-05	-1.002560639982543
-2.022265625000017e-05	-0.9448980883661151
-1.997265625000013e-05	-0.9239298877782873
-1.97226562500001e-05	-0.9632452638804235
-1.947265625000007e-05	-0.9999396149090929
-1.922265625000003e-05	-0.9815924393947583
-1.897265625e-05	-0.952761163586518
-1.872265624999997e-05	-0.9527611635865358
-1.847265625000015e-05	-0.9920765396886458
-1.822265625000012e-05	-0.9527611635865358
-1.797265625000008e-05	-0.9213088627048014
-1.772265625000005e-05	-0.9213088627048014
-1.747265625000002e-05	-0.9842134644682347
-1.722265624999999e-05	-0.9815924393947416
-1.697265624999995e-05	-0.9448980883660746
-1.672265625000014e-05	-0.9134457874843867
-1.64726562500001e-05	-0.931792962998707
-1.622265625000007e-05	-0.9134457874843723
-1.597265625000004e-05	-0.9003406621169904
-1.572265625e-05	-0.8872355367496275
-1.547265624999997e-05	-0.9291719379252353
-1.522265625000015e-05	-0.9396560382191314
-1.497265625000012e-05	-0.9291719379252353
-1.472265625000009e-05	-0.9291719379252306
-1.447265625000005e-05	-0.918687837631325
-1.422265625000002e-05	-0.9160668125578487
-1.397265624999999e-05	-0.9082037373374077
-1.372265624999995e-05	-0.8819934866026641
-1.347265625000014e-05	-0.900340662116982
-1.32226562500001e-05	-0.9108247624108959
-1.297265625000007e-05	-0.9265509128517542
-1.272265625000004e-05	-0.9029616871904668
-1.247265625000001e-05	-0.8715093863087502
-1.222265624999997e-05	-0.8950986119700268
-1.197265625000016e-05	-0.871509386308761
-1.172265625000012e-05	-0.8505411857209487
-1.147265625000009e-05	-0.8584042609413682
-1.122265625000006e-05	-0.9160668125578487
-1.097265625000002e-05	-0.9396560382191361
-1.072265624999999e-05	-0.9082037373374148
-1.047265624999996e-05	-0.8977196370435319
-1.022265625000014e-05	-0.9370350131456419
-9.972656250000107e-06	-0.931792962998707
-9.722656250000074e-06	-0.9003406621169904
-9.472656250000041e-06	-0.9160668125578487
-9.222656250000008e-06	-0.9658662889538999
-8.972656249999975e-06	-0.9973185898356188
-8.722656250000158e-06	-1.002560639982567
-8.472656250000125e-06	-0.9580032137334911
-8.222656250000092e-06	-0.9580032137334707
-7.972656250000059e-06	-0.9815924393947583
-7.722656250000026e-06	-0.9501401385130417
-7.472656249999992e-06	-0.9291719379252472
-7.222656249999959e-06	-0.965866288953919
-6.972656250000143e-06	-1.007802690129503
-6.72265625000011e-06	-0.9711083391008527
-6.472656250000076e-06	-0.931792962998707
-6.222656250000043e-06	-0.9344139880721833
-5.97265625000001e-06	-0.9501401385130417
-5.722656249999977e-06	-0.9475191134395593
-5.472656250000161e-06	-0.9344139880721893
-5.222656250000127e-06	-0.9239298877782826
-4.972656250000094e-06	-0.9711083391008527
-4.722656250000061e-06	-0.9606242388069471
-4.472656250000028e-06	-0.9344139880721833
-4.222656249999995e-06	-0.884614511676156
-3.972656249999961e-06	-0.937035013145661
-3.722656250000145e-06	-0.9396560382191349
-3.472656250000112e-06	-0.9239298877782778
-3.222656250000079e-06	-0.9501401385130417
-2.972656250000046e-06	-0.9946975647621401
-2.722656250000012e-06	-1.034012940864286
-2.472656249999979e-06	-0.9737293641743077
-2.222656250000163e-06	-0.9265509128517756
-1.97265625000013e-06	-0.9396560382191301
-1.722656250000097e-06	-0.9946975647621401
-1.472656250000063e-06	-0.9396560382191361
-1.22265625000003e-06	-0.9239298877782778
-9.72656249999997e-07	-0.9606242388069519
-7.226562499999638e-07	-0.9711083391008265
-4.726562500001474e-07	-0.9134457874843985
-2.226562500001143e-07	-0.8688883612352738
2.734374999991893e-08	-0.876751436455703
2.773437499999521e-07	-0.9265509128517542
5.273437499999853e-07	-0.9055827122639432
7.773437500000185e-07	-0.8924775868965708
1.027343749999835e-06	-0.9134457874843628
1.277343749999868e-06	-0.950140138513025
1.527343749999901e-06	-0.918687837631325
1.777343749999934e-06	-0.876751436455703
2.027343749999968e-06	-0.8741304113822266
2.277343750000001e-06	-0.9265509128517613
2.527343750000034e-06	-0.9422770632926054
2.77734374999985e-06	-0.9265509128517613
3.027343749999883e-06	-0.9344139880721833
3.277343749999917e-06	-0.9684873140273763
3.52734374999995e-06	-0.9684873140273763
3.777343749999983e-06	-0.9265509128517542
4.027343750000016e-06	-0.908203737337447
4.277343749999832e-06	-0.9684873140273489
4.527343749999866e-06	-0.9999396149090786
4.777343749999899e-06	-0.9711083391008527
5.027343749999932e-06	-0.9553821886599944
5.277343749999965e-06	-0.9868344895417109
5.527343749999998e-06	-0.9946975647621222
5.777343750000032e-06	-0.9553821886599753
6.027343749999848e-06	-0.9134457874843914
6.277343749999881e-06	-0.923929887778273
