Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-18.74829551228348	-132.8241939481128
107.9775162327709	-28.60108861099052	-4.118140984730502
116.5914401179831	-36.99328282592201	-123.0228521399932
125.8925411794166	-45.98437658410256	-150.6252471220373
135.9356390878524	-44.01297235795172	-172.1356901428107
146.7799267622071	-36.86433807377423	24.17081658140891
158.4893192461114	-37.98735881473857	-148.0486073560224
171.1328304161781	-36.12209361392432	-171.802496104578
184.7849797422291	-29.33021157127681	-63.61399177057356
199.5262314968883	-39.3825252555371	-111.2831288466212
215.4434690031882	-34.71372647011766	-104.5789018013133
232.6305067153629	-38.23974629770524	-45.82633939140919
251.1886431509577	-19.53515898376968	-30.85715673606407
271.227257933203	-38.39522105506251	-108.1524804536822
292.8644564625237	-39.5380685608413	-99.50872679410628
316.227766016838	-35.06115783671834	-148.0864342910699
341.4548873833601	-34.89356377986928	-47.9710267515033
368.6945064519574	-33.90859416166948	-23.08890303041562
398.1071705534969	-33.48072745718872	-81.63382586312446
429.8662347082281	-29.20119168303995	-76.78219853633345
464.1588833612772	-29.31381990990857	-57.89297547911599
501.1872336272725	-33.7550472045187	-177.0640758708913
541.1695265464638	-33.10483756893373	-138.155509687938
584.3414133735175	-27.37254431185156	-93.01882514010822
630.9573444801929	-28.50996047727457	-8.980028914769349
681.2920690579608	-16.59585662073285	-47.69425533854811
735.6422544596421	-17.3914265578489	-164.3259208594138
794.3282347242806	-11.0905142905821	-76.19206264577208
857.6958985908946	-8.17653630130547	-100.2676765550695
926.1187281287937	-8.19917665015312	174.5742965754662
1000	-1.79592039511238	-117.3856443086249
1079.775162327709	-3.881052218168532	-100.3026768936421
1165.914401179832	-3.698296247470813	-107.6107493585735
1258.925411794166	-2.655120532022217	-98.70314548997976
1359.356390878525	-1.324655376483258	-93.52956305801303
1467.799267622071	-2.691893739779831	-97.71850114789761
1584.893192461114	-0.6680620527312886	-97.26701004683389
1711.328304161781	-0.5262660145497997	-96.70079066602892
1847.849797422293	0.5911749542473774	-97.88747345904764
1995.262314968879	-0.09210521960754671	-89.16117976827763
2154.434690031882	1.48903084501949	-92.34362677776244
2326.305067153626	2.248358827715295	-90.40395452681777
2511.886431509582	2.307233969519768	-94.49475617727602
2712.272579332027	4.037109792958439	-100.8834629495329
2928.644564625237	5.056772402036106	-88.45187764964703
3162.277660168379	5.162450837068938	-92.91152797223523
3414.548873833601	6.919154189724591	-92.1671189414343
3686.945064519577	4.492769773432982	-92.1152814567705
3981.071705534977	7.384181938671027	-89.52910476939174
4298.662347082277	7.766098287527148	-91.32986458051163
4641.588833612773	7.27019999308625	-87.67240713178801
5011.872336272725	9.609896448756007	-96.08363404046077
5411.695265464637	9.738554426961661	-91.34635828018209
5843.414133735176	9.867121087696264	-97.62998896699742
6309.57344480193	9.817479271731814	-90.08844137321378
6812.920690579615	11.99456313484841	-87.58179483404804
7356.422544596407	12.26931147755578	-97.23880381249245
7943.282347242814	14.53115496097239	-88.19960013628335
8576.958985908946	13.82589379076786	-88.40192022098755
9261.187281287937	14.35658173854949	-91.43796580594937
10000	15.68648236676135	-100.8185516489461
10797.7516232771	16.39563082306281	-98.96475952456021
11659.14401179831	15.77105828238705	-105.7883231777089
12589.25411794166	16.74951864511545	-90.56015121997878
13593.56390878527	18.13041858547444	-93.80684127499484
14677.99267622071	18.22190238024415	-92.44076080009637
15848.93192461113	18.47468116466875	-88.91701556066869
17113.28304161781	18.71906531706826	-99.84783336199425
18478.49797422291	21.85276032628805	-90.33863397615306
19952.62314968879	19.73941581891986	-91.60379955274685
21544.34690031884	22.94470033565475	-81.44336145047782
23263.05067153629	23.26605895518977	-87.18618025193511
25118.86431509579	24.58134973730833	-86.91377165795764
27122.7257933203	25.99549718458059	-104.1584914870899
29286.44564625237	24.10535551544731	-99.42987772044296
31622.77660168379	26.31860201203945	-103.8118426223904
34145.48873833604	26.63163413683417	-89.77479203526846
36869.45064519573	28.00585403877212	-86.72207894789302
39810.71705534973	28.40182484274349	-111.4184615771096
42986.62347082273	29.75983723620269	-94.17592406107497
46415.88833612777	30.17991493149087	-107.0705671089019
50118.72336272724	30.4762598006946	-103.2908590721806
54116.95265464637	33.16676368477231	-115.5022983082512
58434.14133735175	33.73112192215402	-113.7253779779371
63095.73444801936	35.5559498205236	-127.0953861999403
68129.20690579608	36.08610300729501	-121.3857582515656
73564.22544596414	36.78598006431508	-120.1343794675014
79432.82347242814	36.23349760437988	-117.1021513205727
85769.58985908945	38.76296516459969	-119.1861377589823
92611.87281287937	41.37782730864316	-124.2818393551949
100000	42.81721839332103	-124.6363390202412
107977.516232771	46.3194250192453	-137.9614643160895
116591.4401179831	53.65851250646608	8.215284138493587
125892.5411794167	72.66380826487095	62.51403907911494
135935.6390878526	58.32678172013453	-39.64366348267885
146779.9267622069	43.83739225002924	10.77168089726174
158489.3192461114	36.26636037524237	6.101776042739942
171132.8304161779	28.51726701430499	7.386739058763808
184784.9797422291	26.04638604688283	24.82780412162904
199526.2314968881	23.48826162920847	55.6939286261599
215443.4690031882	24.10927342171105	95.13114541709501
232630.5067153626	23.58634959410346	91.13661419300354
251188.6431509582	36.14557960851809	1.434903628639688
271227.2579332027	26.78014826508882	78.38725507587705
292864.4564625237	26.90435095269861	79.29449854898331
316227.7660168378	25.52873114789891	74.80031646236975
341454.8873833601	24.45684156343163	77.18712218962895
368694.5064519577	23.86704865260371	104.483600538483
398107.1705534972	27.46009560517335	77.35731768957992
429866.2347082276	22.73797647755797	80.23459814943922
464158.8833612778	19.80170027208503	96.15447727499634
501187.2336272722	30.6294947215583	124.4805785775309
541169.5265464637	17.39546540529803	76.00936854714195
584341.4133735176	15.9728410012016	83.0613099775025
630957.3444801933	34.73160331171603	114.0189484407375
681292.0690579616	11.60207380483028	110.480412631312
735642.2544596414	15.37251628350459	80.37277676920559
794328.2347242818	15.861104526648	67.41141892706167
857695.8985908937	13.02055751925861	67.75633559747459
926118.7281287938	11.77650788503446	56.00594481044607
1000000	11.98759365100591	43.07377721171015
1079775.162327709	9.727393669726462	58.89532861127309
1165914.401179832	14.1686445062015	36.45076290188263
1258925.411794167	10.05857243914742	20.82218827977621
1359356.390878526	8.740915217586815	42.46245718778804
1467799.26762207	7.202616621710503	56.94408537815792
1584893.192461113	5.656645044377669	69.42121066491319
1711328.304161781	8.637401702477284	40.32945198249089
1847849.797422292	7.891142264568116	27.09913523262529
1995262.314968879	4.622522080812993	76.40018100889893
2154434.690031885	-4.406477494831113	-60.68326985713904
2326305.067153625	1.837185905781249	23.12373397126188
2511886.43150958	0.2512273221744413	137.3902185544308
2712272.579332029	2.539896443098528	47.41000782075209
2928644.564625236	5.439777419463105	21.84396707780149
3162277.66016838	-2.621174854754521	10.64726340784975
3414548.8738336	0.8035639296761882	42.11363351520106
3686945.064519575	-2.409144393242924	-13.923105569055
3981071.705534974	1.410224963340916	3.811811984584033
4298662.347082276	2.015690143660162	-6.408089756633672
4641588.83361278	-0.7745601353430708	-4.842292140121643
5011872.33627272	3.557292225844597	29.11748665176171
5411695.265464636	0.9316410982739096	-101.0972435054586
5843414.133735179	4.44442577561933	141.5015577507115
6309573.44480193	3.627521749354268	-62.64740188295701
6812920.690579614	10.31487914566467	-26.27410522457541
7356422.544596417	-16.1240392552449	90.69049786317782
7943282.347242814	2.91804436788692	-54.44458316272971
8576958.985908944	3.183210454300526	-66.061846326912
9261187.281287931	-5.390367933716542	-77.58611493616473
10000000	-5.663599491267571	-113.9475552637089
