Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-45.21424364209906	-82.96982007811215
113.4068234940062	-66.65096656161559	-87.19180175852063
128.6110761500067	-65.3309092371083	-87.40824028728426
145.8537361231796	-64.52560113635352	-87.81921746551143
165.4080890846278	-63.30529266382615	-89.47694386323803
187.5840596330123	-62.26771019324658	-88.16819149187494
212.7331234109015	-61.00060356270093	-89.27605500258164
241.2538777798873	-60.09290999552752	-89.9175005406251
273.5983593462815	-58.90580015560594	-89.58770182840365
310.2792084663341	-58.00102696539049	-89.69654636051297
351.877794284015	-56.77856545233023	-89.72750097254138
399.0534290782749	-55.66498408343713	-90.09405224016967
452.5538179615783	-54.54705528410634	-89.59254146927002
513.2269095510724	-53.49196198981946	-89.94206096168591
582.0343354383273	-52.31085762139099	-90.45701916860183
660.0666514650541	-51.29121393388903	-90.19803785402067
748.5606223697706	-50.22790206891611	-90.37837800029874
848.9188237565197	-49.08710604817675	-90.273902248723
962.7318720649494	-48.01113042140202	-90.8091860457223
1091.803634873237	-46.92401837440016	-90.46875458168216
1238.179821101834	-45.85382324517938	-90.5237969292257
1404.180404255358	-43.40250246989142	-90.51518328037297
1592.436392591296	-40.1395900808511	-90.49559324424665
1805.93152900033	-36.48221831867045	-90.58106563714227
2048.049581516008	-33.13427223638094	-90.44621137190707
2322.627973979591	-29.71306400733983	-90.48343828414257
2634.018606873443	-25.96980749732588	-90.51046310847576
2987.156832296245	-22.22787075381243	-90.49914121646458
3387.639676291348	-17.89232910697552	-90.64718665275164
3841.814548304643	-13.61759402795439	-90.49723965113839
4356.879843762896	-12.55555839620003	-90.44278361832369
4940.999034262118	-11.43261592459393	-90.47822817186683
5603.430053626189	-10.33200663290341	-90.46057976419195
6354.67203052594	-9.255980385550277	-90.56718190664571
7206.631693281528	-8.19341830019771	-90.75387023706298
8172.81208426289	-7.092471804338372	-90.75544940866942
9268.52657489682	-5.996545664795805	-90.77247505078083
10511.14157328827	-4.880365672730977	-91.00064932076752
11920.35177122413	-3.778841709746781	-90.89930392436031
13518.49229305677	-2.663423391104962	-91.01002403113418
15330.89269383771	-1.564163831299034	-91.02402832762093
17386.278417356	-0.453702012851322	-91.20514206976121
19717.22607694741	0.6632607750008628	-91.16984525913625
22360.6797749979	1.778180513680016	-91.30749293057983
25358.5366444918	2.881728310432757	-91.39228885164745
28758.31089308168	4.025369137383883	-91.46929580715761
32613.88687437462	5.174449427043342	-91.29671135760549
36986.37312215686	6.315867036972802	-91.42099516737073
41945.07088347897	7.509253840002005	-91.37575512901151
47568.57250126275	8.758810139139051	-91.36694944568389
53946.00705512537	10.01532727831084	-91.2017637541299
61178.45300307011	11.3693461097243	-91.41209064238809
69380.54021355514	13.23637758791111	-127.7091597285867
78682.2667791744	13.28718126407187	-150.0626914144954
89231.05940734134	13.28377011208925	-165.300826950824
101194.1100439153	13.25655247073252	-177.9044307792884
114761.0257638334	13.22039020074851	170.9769234430551
130146.8339279012	13.17006773136216	160.5596695240641
147595.3902356523	13.10279190711739	150.5924529862526
167383.2436898357	13.01738590044525	140.7166098366273
189824.0197298741	12.91743326058659	131.0216635729779
215273.3910042857	12.77645094930365	121.095763114161
244134.7145657917	12.58411141905995	110.9343846339983
276865.4248352231	12.34575448710302	100.7821480726698
313984.2836588116	12.01920749537722	93.57777852824481
356079.602367868	11.53516318783776	86.73536534980414
403818.5661554868	10.64277177069871	79.53186230046286
457957.8085559793	9.340227064538883	77.30938981447993
519355.4036260974	8.038693917521179	75.98363519988899
588984.4658968314	6.727542500385279	74.42735052491862
667948.5736467341	5.395454011101939	72.70523010299907
757499.2599462833	4.085827952296278	70.91526331442083
859055.8486956841	2.744365718444224	68.96541991424569
974227.9500452497	1.394354619481027	66.87247186010437
1104840.97173709	0.0492814396390585	64.7263955736571
1252965.050707344	-1.351064593841961	62.29579864814897
1420947.863497262	-2.733955510808334	59.85370004790263
1611451.835498191	-4.119998113997204	57.39485373994985
1827496.338774353	-5.504702072374377	54.75365533598335
2072505.547273255	-6.858654588034891	51.95021410765743
2350362.707899666	-8.209158379335364	48.88382622547138
2665471.687616717	-9.495217467899309	45.45448245681968
3022826.772058197	-10.7240018904978	41.60592551952548
3428091.821917602	-11.88402896932079	36.72013038058197
3887690.041694549	-12.94420067709124	30.78821716718461
4408905.78357859	-13.86922926370515	22.48803164728741
5000000	-14.7088406675451	10.4712421344816
