Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
10.00000000000002	-61.56684029230597	-81.45188870931099
10.96478196143187	-64.07333048023	-83.81711548893244
12.02264434617416	-63.46666689073122	-83.10298374039712
13.1825673855641	-62.86056934719825	-86.63603184597901
14.45439770745928	-61.57777384936115	-84.99978502491189
15.84893192461118	-61.20998226508106	-87.38295119089027
17.3780082874938	-60.37865831946369	-85.09816713628447
19.05460717963248	-59.32154011683778	-86.7035720661906
20.89296130854045	-58.83096468227316	-85.60123253496326
22.90867652767779	-57.84400081481736	-84.82143908371697
25.11886431509582	-57.33245736151036	-85.41170724081775
27.54228703338174	-56.41887773774309	-89.07072393051754
30.19951720402019	-55.62901531457742	-88.99999633900018
33.11311214825915	-54.80660596508486	-87.9484799922048
36.30780547701025	-54.08188381769384	-87.84485257849232
39.81071705534978	-53.26257347808573	-88.02061459245022
43.65158322401665	-52.52726825853667	-88.77399348247488
47.8630092322639	-51.78167365482356	-88.30896675172312
52.48074602497734	-50.99904655385524	-88.82364341537701
57.54399373371579	-50.02499379657606	-89.31754915462182
63.09573444801944	-49.29485491171085	-89.58324152304442
69.18309709189377	-48.48708837850258	-89.16643595317187
75.85775750291852	-47.70586405012808	-89.26953495430604
83.17637711026727	-46.85422174487072	-89.70778411962388
91.20108393559116	-46.06278703064456	-89.54518239469728
100.0000000000002	-45.26347922061828	-89.77516843850009
109.6478196143187	-44.47628157805569	-89.37946125930675
120.2264434617413	-43.63556085304972	-89.92287608300661
131.825673855641	-42.90677446267976	-90.06751160662387
144.5439770745931	-42.10325614837423	-89.96088215972603
158.4893192461114	-41.30272878427446	-90.15376084562371
173.780082874938	-40.48978874818891	-90.27839850214117
190.5460717963252	-39.69126955119599	-90.10783316108274
208.9296130854041	-38.89844730126926	-90.16921349609026
229.0867652767779	-38.10525415197518	-90.54638987978242
251.1886431509587	-37.31749674642161	-90.400299473546
275.4228703338169	-36.50758156833942	-90.63175226142846
301.9951720402025	-35.71405823263014	-90.57566094346407
331.1311214825921	-34.92620359609002	-90.64936645700129
363.0780547701017	-34.14061830482096	-90.639205498979
398.1071705534978	-33.34817365370012	-90.690631400239
436.5158322401666	-32.530886011847	-90.86877170320241
478.630092322639	-31.75084161961401	-90.8245778428024
524.8074602497734	-30.9514006944678	-90.98700284577887
575.4399373371577	-30.16620362628933	-90.97279489250595
630.9573444801943	-29.37097923851032	-91.1081863537174
691.8309709189376	-28.56880445967573	-91.12146483868214
758.577575029185	-27.77380790378832	-91.18753867655232
831.7637711026725	-26.98396530916417	-91.19376411750862
912.0108393559116	-26.1953069258675	-91.3751605609084
1000	-25.40942795572494	-91.45978033913377
1096.478196143187	-24.6191697312928	-91.50177870190123
1202.264434617414	-23.82696729493297	-91.61846701958127
1318.256738556407	-23.04019176715921	-91.69699449921087
1445.439770745929	-22.24602451445825	-91.75446681765257
1584.893192461116	-21.45935059539384	-91.84882420871429
1737.800828749376	-20.66684546755617	-91.97004220063921
1905.46071796325	-19.87228418105247	-92.05439985875674
2089.296130854043	-19.08191532250632	-92.17652744805804
2290.867652767775	-18.28907262142121	-92.31439376261287
2511.886431509585	-17.49204435882558	-92.40111144968652
2754.228703338172	-16.71018360180796	-92.52425964024411
3019.951720402019	-15.90606868184084	-92.6731757512556
3311.311214825911	-15.11877786201307	-92.81432582525839
3630.780547701021	-14.33407446542794	-92.95019822856321
3981.071705534977	-13.53875702188312	-93.1924116423358
4365.158322401661	-12.7449924332486	-93.37215360838064
4786.30092322639	-11.95671629793897	-93.59999062232808
5248.074602497733	-11.15657142813619	-93.87378262387938
5754.399373371572	-10.37213265569781	-94.15444423227224
6309.573444801943	-9.602866319538121	-94.45618815255676
6918.309709189376	-8.738775448106948	-94.82068256399987
7585.775750291844	-7.953253875277541	-95.1868584362654
8317.637711026726	-7.226475357646381	-95.59594370739748
9120.108393559114	-6.419059358874263	-96.0528188781085
10000.00000000001	-5.623719482892779	-96.58355857799495
10964.78196143186	-4.82051241903793	-97.13097396664163
12022.64434617413	-4.012057352432986	-97.71357257546443
13182.56738556409	-3.251358667773503	-98.40479288019988
14454.39770745928	-2.46192279402225	-99.13646112282694
15848.93192461114	-1.672683738802417	-99.95303340490534
17378.00828749378	-0.8984554110033223	-100.8173914488693
19054.60717963248	-0.1035084040930934	-101.7760472760037
20892.96130854041	0.6824619532289924	-102.8284883057307
22908.67652767777	1.461322236098848	-104.064061332202
25118.86431509582	2.249515615569045	-105.2880458358536
27542.28703338169	3.010370690280666	-106.6937251922433
30199.51720402016	3.785291816709513	-108.2173333950049
33113.11214825914	4.591247319817699	-109.8813980603126
36307.80547701017	5.290031681057508	-111.73821677602
39810.71705534973	6.040647808040516	-113.7384643211862
43651.58322401666	6.800708820903529	-115.8925411752028
47863.00923226385	7.500308037085942	-118.2665490940344
52480.74602497728	8.212246431256695	-120.8257676931548
57543.99373371578	8.898641864418758	-123.6677170442188
63095.73444801936	9.711285498575291	-126.6746139280475
69183.09709189369	10.36131482955458	-130.0068976483035
75857.75750291836	10.98290011070184	-133.9093679783784
83176.37711026717	11.49915070846423	-138.5471746646477
91201.08393559106	11.96233203551057	-144.127275244395
100000	12.27666291908461	-150.8532998681427
109647.8196143186	12.43436067403374	-157.5874620891254
120226.4434617414	12.52700602577977	-164.2953909399934
131825.6738556408	12.56442199514355	-170.8575950306719
144543.9770745929	12.57576113011975	-177.3069733566068
158489.3192461114	12.55455863151998	176.3839441700608
173780.0828749376	12.52592845611749	170.1124684090377
190546.0717963249	12.47207684493216	163.9559201490301
