time	V(buff)	V(n009)
4.620436345908300e-006	1.511701e+000	-1.000000e+000
4.626935016253922e-006	1.514596e+000	-1.000000e+000
4.632079089428987e-006	1.516890e+000	-1.000000e+000
4.637636950172010e-006	1.519368e+000	-1.000000e+000
4.644470048972180e-006	1.522416e+000	-1.000000e+000
4.650874543387353e-006	1.525273e+000	-1.000000e+000
4.666504503890397e-006	1.532242e+000	-1.000000e+000
4.678026089857879e-006	1.537379e+000	-1.000000e+000
4.692219817724865e-006	1.543706e+000	-1.000000e+000
4.727004527821000e-006	1.559213e+000	-1.000000e+000
4.832089601420441e-006	1.606066e+000	-1.000000e+000
4.914041675886173e-006	1.642607e+000	-1.000000e+000
5.007574336638776e-006	1.684313e+000	-1.000000e+000
5.125567428997453e-006	1.736926e+000	-1.000000e+000
5.267952151321528e-006	1.800416e+000	-1.000000e+000
5.461456154040911e-006	1.886701e+000	-1.000000e+000
5.695902771418284e-006	1.991245e+000	-1.000000e+000
6.108856252124543e-006	2.175393e+000	-1.000000e+000
6.643540180537187e-006	2.413833e+000	-1.000000e+000
7.204582347750888e-006	2.664037e+000	-1.000000e+000
7.799206681436129e-006	2.929231e+000	-1.000000e+000
8.446203685122037e-006	3.217797e+000	-1.000000e+000
9.265489588763646e-006	3.583227e+000	-1.000000e+000
1.024214386257049e-005	4.018880e+000	-1.000000e+000
1.132483697434703e-005	4.501871e+000	-1.000000e+000
1.238266964849468e-005	4.973810e+000	-1.000000e+000
1.351339465039657e-005	5.478314e+000	-1.000000e+000
1.495142250920480e-005	6.119983e+000	-1.000000e+000
1.673351692420892e-005	6.914673e+000	-1.000000e+000
1.836359075895301e-005	7.640087e+000	-1.000000e+000
1.856814191408388e-005	7.729996e+000	-1.000000e+000
1.897724422434563e-005	7.906727e+000	-1.000000e+000
1.907951980191107e-005	7.949595e+000	-1.000000e+000
1.928407095704194e-005	8.028159e+000	-1.000000e+000
1.957300372849093e-005	8.113384e+000	-1.000000e+000
1.975033053535202e-005	8.113022e+000	-1.000000e+000
1.987888381364930e-005	8.028944e+000	-1.000000e+000
2.000000000000000e-005	7.872397e+000	-1.000000e+000
2.000067730969667e-005	7.871367e+000	-1.000000e+000
2.000203192908999e-005	7.869289e+000	-1.000000e+000
2.000474116787665e-005	7.865084e+000	-1.000000e+000
2.000874066191545e-005	7.858738e+000	-1.000000e+000
2.001332795808169e-005	7.851204e+000	-1.000000e+000
2.001831678435982e-005	7.842661e+000	-1.000000e+000
2.002328876025540e-005	7.833778e+000	-1.000000e+000
2.002832292360615e-005	7.824433e+000	-1.000000e+000
2.003329162171760e-005	7.814905e+000	-1.000000e+000
2.003886421940960e-005	7.803949e+000	-1.000000e+000
2.004325789714086e-005	7.795151e+000	-1.000000e+000
2.004742976771078e-005	7.786681e+000	-1.000000e+000
2.005232822666179e-005	7.776638e+000	-1.000000e+000
2.005681278973363e-005	7.767371e+000	-1.000000e+000
2.006161436826173e-005	7.757383e+000	-1.000000e+000
2.006981972753910e-005	7.740176e+000	-1.000000e+000
2.007365486469494e-005	7.732067e+000	-1.000000e+000
2.007850210929967e-005	7.721746e+000	-1.000000e+000
2.008621425067318e-005	7.705188e+000	-1.000000e+000
2.009285371629368e-005	7.690792e+000	-1.000000e+000
2.009919753002861e-005	7.676879e+000	-1.000000e+000
2.010649797544694e-005	7.660688e+000	-1.000000e+000
2.012207808450804e-005	7.625468e+000	-1.000000e+000
2.013211076154363e-005	7.602323e+000	-1.000000e+000
2.014437535038228e-005	7.573577e+000	-1.000000e+000
2.017191433894314e-005	7.507277e+000	-1.000000e+000
2.018949015554018e-005	7.463620e+000	-1.000000e+000
2.021856782120659e-005	7.389482e+000	-1.000000e+000
2.024998524444806e-005	7.306847e+000	-1.000000e+000
2.029361038807793e-005	7.187222e+000	-1.000000e+000
2.038086067533765e-005	6.935861e+000	-1.000000e+000
2.050373268630359e-005	6.564008e+000	-1.000000e+000
2.063201293999185e-005	6.158960e+000	-1.000000e+000
2.086545769074777e-005	5.406096e+000	-1.000000e+000
2.107998888832066e-005	4.727905e+000	-1.000000e+000
2.143404899485921e-005	3.676764e+000	-1.000000e+000
2.172621322384857e-005	2.902320e+000	-1.000000e+000
2.202141541686897e-005	2.239282e+000	-1.000000e+000
2.233335741299064e-005	1.666890e+000	-1.000000e+000
2.265054522451428e-005	1.215202e+000	-1.000000e+000
2.304700375071572e-005	7.952209e-001	-1.000000e+000
2.338341406761217e-005	5.409472e-001	-1.000000e+000
2.376843746721744e-005	3.376322e-001	-1.000000e+000
2.401788602426408e-005	2.418969e-001	-1.000000e+000
2.420371010220676e-005	1.886566e-001	-1.000000e+000
2.439219353878205e-005	1.457525e-001	-1.000000e+000
2.458981861640087e-005	1.090764e-001	-1.000000e+000
2.479564753487021e-005	7.745264e-002	-1.000000e+000
2.500027589191811e-005	5.098930e-002	-1.000000e+000
2.518700008077087e-005	3.075990e-002	-1.000000e+000
2.537565736308993e-005	1.419998e-002	-1.000000e+000
2.559025074393142e-005	-5.574327e-004	-1.000000e+000
2.577164719103001e-005	-1.006484e-002	-1.000000e+000
2.593192092851498e-005	-1.633618e-002	-1.000000e+000
2.609288266077080e-005	-2.098798e-002	-1.000000e+000
2.628813647918393e-005	-2.499207e-002	-1.000000e+000
2.651292621028409e-005	-2.808079e-002	-1.000000e+000
2.670729750835470e-005	-2.974022e-002	-1.000000e+000
2.687590225496748e-005	-3.055807e-002	-1.000000e+000
2.702595769909661e-005	-3.092057e-002	-1.000000e+000
2.717550081883993e-005	-3.102343e-002	-1.000000e+000
2.733973074542658e-005	-3.091991e-002	-1.000000e+000
2.752980142227268e-005	-3.059338e-002	-1.000000e+000
2.780115171989621e-005	-2.990154e-002	-1.000000e+000
2.805151483425843e-005	-2.912286e-002	-1.000000e+000
2.836818174673399e-005	-2.804185e-002	-1.000000e+000
2.870229365033327e-005	-2.688276e-002	-1.000000e+000
2.899560836282332e-005	-2.589040e-002	-1.000000e+000
2.926046391007878e-005	-2.503625e-002	-1.000000e+000
2.951070603268712e-005	-2.427305e-002	-1.000000e+000
2.974788385744971e-005	-2.359099e-002	-1.000000e+000
3.000455923406407e-005	-2.289605e-002	-1.000000e+000
3.027341533693305e-005	-2.221213e-002	-1.000000e+000
