time	V(buff)	V(n009)
1.093805388241011e-003	6.327528e-001	-9.999655e-001
1.093899066695112e-003	6.328525e-001	-9.993660e-001
1.093992745149214e-003	6.327500e-001	-9.987665e-001
1.094086423603316e-003	6.324453e-001	-9.981669e-001
1.094180102057417e-003	6.319385e-001	-9.975674e-001
1.094273780511519e-003	6.312295e-001	-9.969678e-001
1.094367458965621e-003	6.303184e-001	-9.963683e-001
1.094461137419723e-003	6.292050e-001	-9.957687e-001
1.094678791058590e-003	6.248322e-001	-9.943758e-001
1.094957459370632e-003	6.160868e-001	-9.925923e-001
1.095298162995072e-003	6.005552e-001	-9.904118e-001
1.095749808397820e-003	5.726118e-001	-9.875212e-001
1.096378784270433e-003	5.238557e-001	-9.834958e-001
1.097221052823700e-003	4.491660e-001	-9.781052e-001
1.098041040108554e-003	3.728103e-001	-9.728574e-001
1.099004036223544e-003	2.847622e-001	-9.666942e-001
1.099963252883503e-003	2.030647e-001	-9.605552e-001
1.101230249510960e-003	1.038167e-001	-9.524464e-001
1.102062136916504e-003	4.210072e-002	-9.471223e-001
1.102600038497516e-003	3.535846e-003	-9.436797e-001
1.102921778437667e-003	-1.830235e-002	-9.416206e-001
1.103091028671693e-003	-2.894350e-002	-9.405374e-001
1.103220001286851e-003	-3.658666e-002	-9.397120e-001
1.103343595948201e-003	-4.362597e-002	-9.389210e-001
1.103605133264775e-003	-5.786002e-002	-9.372472e-001
1.103928501414720e-003	-7.460433e-002	-9.351776e-001
1.104251869564666e-003	-9.118302e-002	-9.331080e-001
1.104575237714611e-003	-1.075961e-001	-9.310385e-001
1.104898605864556e-003	-1.238436e-001	-9.289689e-001
1.105221974014502e-003	-1.399254e-001	-9.268994e-001
1.105545342164448e-003	-1.558416e-001	-9.248298e-001
1.105868710314393e-003	-1.715923e-001	-9.227602e-001
1.106644685182726e-003	-2.069855e-001	-9.177940e-001
1.107572814345873e-003	-2.453878e-001	-9.118540e-001
1.108684732248835e-003	-2.860398e-001	-9.047377e-001
1.110217432566721e-003	-3.346560e-001	-8.949285e-001
1.112066802464010e-003	-3.847720e-001	-8.830925e-001
1.113985057625483e-003	-4.279204e-001	-8.708156e-001
1.116426463875483e-003	-4.723796e-001	-8.551906e-001
1.118867870125483e-003	-5.077820e-001	-8.395656e-001
1.121309276375483e-003	-5.355026e-001	-8.239406e-001
1.123750682625483e-003	-5.572033e-001	-8.083156e-001
1.126192088875483e-003	-5.741904e-001	-7.926906e-001
1.131074901375483e-003	-5.978938e-001	-7.614406e-001
1.135957713875483e-003	-6.124145e-001	-7.301906e-001
1.143281932625482e-003	-6.243660e-001	-6.833156e-001
1.149908606732625e-003	-6.282355e-001	-6.409049e-001
1.156535280839768e-003	-6.313341e-001	-5.984942e-001
1.163161954946911e-003	-6.336619e-001	-5.560835e-001
1.169788629054053e-003	-6.352189e-001	-5.136728e-001
1.176415303161196e-003	-6.360051e-001	-4.712621e-001
1.183041977268339e-003	-6.360205e-001	-4.288513e-001
1.189668651375481e-003	-6.352650e-001	-3.864406e-001
1.220616756509075e-003	-6.353184e-001	-1.883615e-001
1.251564861642669e-003	-6.353599e-001	9.710597e-003
1.282512966776262e-003	-6.353893e-001	2.077757e-001
1.313461071909856e-003	-6.354068e-001	4.058337e-001
1.344409177043450e-003	-6.354124e-001	6.038847e-001
1.375357282177043e-003	-6.354059e-001	8.019286e-001
1.406305387310637e-003	-6.353875e-001	9.999655e-001
1.406423792579785e-003	-6.355749e-001	9.992078e-001
1.406542197848934e-003	-6.353742e-001	9.984500e-001
1.406660603118083e-003	-6.347854e-001	9.976922e-001
1.406779008387232e-003	-6.338086e-001	9.969344e-001
1.406897413656380e-003	-6.324438e-001	9.961766e-001
1.407015818925529e-003	-6.306910e-001	9.954188e-001
1.407134224194678e-003	-6.285501e-001	9.946610e-001
1.407370913996427e-003	-6.218401e-001	9.931461e-001
1.407718381360640e-003	-6.073073e-001	9.909223e-001
1.408109771318595e-003	-5.847564e-001	9.884174e-001
1.408710708933775e-003	-5.400063e-001	9.845715e-001
1.409657265906801e-003	-4.576604e-001	9.785135e-001
1.410486064764469e-003	-3.808772e-001	9.732092e-001
1.411481383308524e-003	-2.895770e-001	9.668391e-001
1.412397644398574e-003	-2.111447e-001	9.609751e-001
1.413656095801260e-003	-1.122969e-001	9.529210e-001
1.414603900064352e-003	-4.288027e-002	9.468551e-001
1.415617868860049e-003	2.648795e-002	9.403656e-001
1.416040937521768e-003	5.213993e-002	9.376580e-001
1.416347488996568e-003	6.851515e-002	9.356961e-001
1.416657928074718e-003	8.429669e-002	9.337093e-001
1.416968367152867e-003	9.996420e-002	9.317224e-001
1.417278806231017e-003	1.155177e-001	9.297356e-001
1.417589245309167e-003	1.309571e-001	9.277488e-001
1.417899684387316e-003	1.462825e-001	9.257620e-001
1.418210123465466e-003	1.614939e-001	9.237752e-001
1.418520562543615e-003	1.765913e-001	9.217884e-001
1.419342319331925e-003	2.136732e-001	9.165292e-001
1.420253191822646e-003	2.506992e-001	9.106995e-001
1.421291321459179e-003	2.883251e-001	9.040555e-001
1.422526135725825e-003	3.279685e-001	8.961527e-001
1.424078445581772e-003	3.713225e-001	8.862180e-001
1.425031077393816e-003	3.948167e-001	8.801211e-001
1.426149999987547e-003	4.197103e-001	8.729600e-001
1.427487290032630e-003	4.460493e-001	8.644013e-001
1.429079783465743e-003	4.731266e-001	8.542094e-001
1.431071817456274e-003	5.014902e-001	8.414603e-001
1.433444976290225e-003	5.289991e-001	8.262721e-001
1.435886382540225e-003	5.515067e-001	8.106471e-001
1.438327788790225e-003	5.691637e-001	7.950221e-001
1.440769195040225e-003	5.829846e-001	7.793971e-001
1.445652007540225e-003	6.022694e-001	7.481471e-001
1.452831211636933e-003	6.179692e-001	7.022002e-001
1.457571848440383e-003	6.224378e-001	6.718602e-001
1.462312485243832e-003	6.260956e-001	6.415201e-001
1.467053122047281e-003	6.289428e-001	6.111800e-001
1.471793758850730e-003	6.309793e-001	5.808399e-001
1.476534395654180e-003	6.322051e-001	5.504999e-001
1.481275032457629e-003	6.326201e-001	5.201598e-001
1.486015669261078e-003	6.322244e-001	4.898197e-001
1.556816450511077e-003	6.327532e-001	3.669472e-002
1.579957799325805e-003	6.327555e-001	-1.114224e-001
1.603099148140534e-003	6.327571e-001	-2.595318e-001
1.626240496955262e-003	6.327578e-001	-4.076334e-001
1.649381845769990e-003	6.327578e-001	-5.557272e-001
1.672523194584719e-003	6.327569e-001	-7.038133e-001
1.695664543399447e-003	6.327552e-001	-8.518917e-001
1.718805892214176e-003	6.327528e-001	-9.999623e-001
1.718905212554707e-003	6.328685e-001	-9.993266e-001
1.719004532895238e-003	6.327458e-001	-9.986910e-001
1.719103853235769e-003	6.323845e-001	-9.980554e-001
1.719203173576300e-003	6.317848e-001	-9.974197e-001
1.719302493916831e-003	6.309466e-001	-9.967840e-001
1.719401814257362e-003	6.298699e-001	-9.961484e-001
1.719501134597893e-003	6.285546e-001	-9.955127e-001
1.719723755439738e-003	6.236641e-001	-9.940880e-001
1.720018350805949e-003	6.136947e-001	-9.922026e-001
1.720370681508847e-003	5.965996e-001	-9.899476e-001
1.720853177162284e-003	5.652139e-001	-9.868597e-001
1.721533111938682e-003	5.108796e-001	-9.825081e-001
1.722303599141317e-003	4.416135e-001	-9.775770e-001
1.723113871381164e-003	3.659315e-001	-9.723912e-001
1.724061650881823e-003	2.796571e-001	-9.663255e-001
1.725058634165007e-003	1.953380e-001	-9.599447e-001
1.726333017122527e-003	9.611880e-002	-9.517887e-001
1.727132294623382e-003	3.692125e-002	-9.466733e-001
1.727569659524678e-003	5.899335e-003	-9.438742e-001
1.728081123701677e-003	-2.787933e-002	-9.406008e-001
1.728341400542202e-003	-4.338460e-002	-9.389350e-001
1.728643448986400e-003	-5.983715e-002	-9.370019e-001
1.729229999021507e-003	-9.003028e-002	-9.332480e-001
1.730024585314256e-003	-1.302101e-001	-9.281626e-001
1.730475214231726e-003	-1.525138e-001	-9.252786e-001
1.731376472066665e-003	-1.949388e-001	-9.195106e-001
1.732219624140625e-003	-2.313345e-001	-9.141144e-001
1.733237184127133e-003	-2.702584e-001	-9.076020e-001
1.734666804299946e-003	-3.180501e-001	-8.984525e-001
1.736357060300587e-003	-3.666985e-001	-8.876348e-001
1.738208072935404e-003	-4.112663e-001	-8.757883e-001
1.740649479185404e-003	-4.591942e-001	-8.601633e-001
1.743090885435404e-003	-4.974555e-001	-8.445383e-001
1.745532291685404e-003	-5.274176e-001	-8.289133e-001
1.747973697935404e-003	-5.508740e-001	-8.132883e-001
1.750415104185404e-003	-5.692362e-001	-7.976633e-001
1.752856510435404e-003	-5.836091e-001	-7.820383e-001
1.757739322935404e-003	-6.036637e-001	-7.507883e-001
1.765063541685404e-003	-6.201706e-001	-7.039133e-001
1.770643898828261e-003	-6.251568e-001	-6.681990e-001
1.776224255971118e-003	-6.291904e-001	-6.324848e-001
1.781804613113975e-003	-6.322715e-001	-5.967705e-001
1.787384970256832e-003	-6.343999e-001	-5.610562e-001
1.792965327399689e-003	-6.355757e-001	-5.253419e-001
1.798545684542546e-003	-6.357989e-001	-4.896276e-001
1.804126041685403e-003	-6.350695e-001	-4.539133e-001
1.836579949886948e-003	-6.352088e-001	-2.462012e-001
1.869033858088494e-003	-6.353168e-001	-3.849345e-002
1.901487766290039e-003	-6.353936e-001	1.692098e-001
1.933941674491585e-003	-6.354390e-001	3.769086e-001
1.966395582693130e-003	-6.354531e-001	5.846029e-001
1.998849490894676e-003	-6.354360e-001	7.922928e-001
2.031303399096221e-003	-6.353875e-001	9.999782e-001
2.031425253086815e-003	-6.355864e-001	9.991984e-001
2.031547107077410e-003	-6.353687e-001	9.984185e-001
2.031668961068004e-003	-6.347346e-001	9.976386e-001
2.031790815058599e-003	-6.336840e-001	9.968588e-001
2.031912669049193e-003	-6.322169e-001	9.960789e-001
2.032034523039788e-003	-6.303333e-001	9.952990e-001
2.032156377030382e-003	-6.280332e-001	9.945192e-001
2.032421950734019e-003	-6.200544e-001	9.928195e-001
2.032756592497451e-003	-6.053790e-001	9.906778e-001
2.033186924880130e-003	-5.796100e-001	9.879237e-001
2.033790165998659e-003	-5.336908e-001	9.840629e-001
2.034728994549292e-003	-4.510618e-001	9.780545e-001
2.035581279424671e-003	-3.719366e-001	9.725998e-001
2.036550998951330e-003	-2.833921e-001	9.663936e-001
2.037499739573154e-003	-2.026542e-001	9.603217e-001
2.038674927126330e-003	-1.107124e-001	9.528005e-001
2.039555292478271e-003	-4.613972e-002	9.471661e-001
2.040505986380560e-003	1.963745e-002	9.410817e-001
2.040922269149959e-003	4.543450e-002	9.384175e-001
2.041221347688369e-003	6.180532e-002	9.365034e-001
2.041777915940806e-003	9.014754e-002	9.329413e-001
2.042735245424985e-003	1.382550e-001	9.268144e-001
2.043616205464689e-003	1.809687e-001	9.211763e-001
2.044093555100311e-003	2.027099e-001	9.181212e-001
2.044624001945470e-003	2.254292e-001	9.147264e-001
2.045206221539819e-003	2.487513e-001	9.110002e-001
2.045812005046438e-003	2.713590e-001	9.071231e-001
2.046497211673522e-003	2.951441e-001	9.027379e-001
2.047239410625719e-003	3.190603e-001	8.979878e-001
2.048068160026026e-003	3.437208e-001	8.926838e-001
2.049010177476682e-003	3.694112e-001	8.866549e-001
2.050074163019019e-003	3.957016e-001	8.798454e-001
2.051307901605366e-003	4.229049e-001	8.719494e-001
2.052753863414641e-003	4.508357e-001	8.626953e-001
2.054436013961228e-003	4.786185e-001	8.519295e-001
2.056497379967901e-003	5.069200e-001	8.387368e-001
2.058883161939061e-003	5.334607e-001	8.234678e-001
2.061324568189061e-003	5.550078e-001	8.078428e-001
2.063765974439061e-003	5.719042e-001	7.922178e-001
2.066207380689061e-003	5.851296e-001	7.765928e-001
2.071090193189061e-003	6.035859e-001	7.453428e-001
2.077661573197236e-003	6.177635e-001	7.032859e-001
2.081971623919298e-003	6.224005e-001	6.757016e-001
2.086281674641359e-003	6.261711e-001	6.481173e-001
2.090591725363420e-003	6.290751e-001	6.205330e-001
2.094901776085481e-003	6.311127e-001	5.929487e-001
2.099211826807542e-003	6.322837e-001	5.653643e-001
2.103521877529603e-003	6.325883e-001	5.377800e-001
2.107831928251664e-003	6.320263e-001	5.101957e-001
2.215253803251662e-003	6.327618e-001	-1.773043e-001
2.233618315339221e-003	6.327611e-001	-2.948485e-001
2.251982827426780e-003	6.327602e-001	-4.123856e-001
2.270347339514339e-003	6.327591e-001	-5.299157e-001
2.288711851601898e-003	6.327578e-001	-6.474387e-001
2.307076363689457e-003	6.327563e-001	-7.649547e-001
2.325440875777016e-003	6.327546e-001	-8.824636e-001
2.343805387864575e-003	6.327528e-001	-9.999655e-001
2.343927485629899e-003	6.329413e-001	-9.991841e-001
2.344049583395224e-003	6.327117e-001	-9.984027e-001
2.344171681160549e-003	6.320639e-001	-9.976212e-001
2.344293778925873e-003	6.309979e-001	-9.968398e-001
2.344415876691198e-003	6.295138e-001	-9.960584e-001
2.344537974456523e-003	6.276115e-001	-9.952770e-001
2.344660072221847e-003	6.252910e-001	-9.944955e-001
2.344931770386346e-003	6.170443e-001	-9.927567e-001
2.345268072099570e-003	6.021322e-001	-9.906043e-001
2.345706980442741e-003	5.755775e-001	-9.877954e-001
2.346317408535265e-003	5.288552e-001	-9.838886e-001
2.347212602970222e-003	4.498909e-001	-9.781594e-001
2.348047477802140e-003	3.722819e-001	-9.728162e-001
2.349017200694508e-003	2.836097e-001	-9.666099e-001
2.349966341603690e-003	2.027992e-001	-9.605354e-001
2.351237050889615e-003	1.033037e-001	-9.524029e-001
2.352064920353966e-003	4.188552e-002	-9.471045e-001
2.352598536860814e-003	3.634364e-003	-9.436893e-001
2.352923871892761e-003	-1.843680e-002	-9.416072e-001
2.353095342671205e-003	-2.920638e-002	-9.405098e-001
2.353227519563855e-003	-3.702549e-002	-9.396639e-001
2.353353514426413e-003	-4.418536e-002	-9.388575e-001
2.353626510697251e-003	-5.899335e-002	-9.371103e-001
2.353976960517342e-003	-7.711838e-002	-9.348674e-001
2.354327410337434e-003	-9.503738e-002	-9.326246e-001
2.354677860157525e-003	-1.127504e-001	-9.303817e-001
2.355028309977616e-003	-1.302573e-001	-9.281388e-001
2.355378759797707e-003	-1.475583e-001	-9.258959e-001
2.355729209617798e-003	-1.646532e-001	-9.236531e-001
2.356079659437889e-003	-1.815421e-001	-9.214102e-001
2.356851408265147e-003	-2.160151e-001	-9.164710e-001
2.357762885790485e-003	-2.526539e-001	-9.106376e-001
2.359078011611536e-003	-2.992413e-001	-9.022207e-001
2.360581357350429e-003	-3.453590e-001	-8.925993e-001
2.362464185538845e-003	-3.943523e-001	-8.805492e-001
2.364495655724875e-003	-4.381115e-001	-8.675478e-001
2.366937061974874e-003	-4.805104e-001	-8.519228e-001
2.369378468224874e-003	-5.141495e-001	-8.362978e-001
2.371819874474874e-003	-5.404873e-001	-8.206728e-001
2.374261280724874e-003	-5.611054e-001	-8.050478e-001
2.376702686974874e-003	-5.772448e-001	-7.894228e-001
2.381585499474874e-003	-5.997649e-001	-7.581728e-001
2.386468311974874e-003	-6.135607e-001	-7.269228e-001
2.393792530724874e-003	-6.249155e-001	-6.800478e-001
2.400767977153445e-003	-6.286598e-001	-6.354050e-001
2.407743423582016e-003	-6.316501e-001	-5.907621e-001
2.414718870010588e-003	-6.338864e-001	-5.461192e-001
2.421694316439159e-003	-6.353686e-001	-5.014764e-001
2.428669762867730e-003	-6.360969e-001	-4.568335e-001
2.435645209296301e-003	-6.360711e-001	-4.121907e-001
2.442620655724873e-003	-6.352913e-001	-3.675478e-001
2.498772999474872e-003	-6.354538e-001	-8.172804e-003
2.500000000000000e-003	-6.354862e-001	-3.200000e-004
