Freq.	V(att)
1.07151930523760e+002	(-4.43450107656671e+001dB,-9.00663872399126e+001°)
1.09647819614318e+002	(-4.41450108463792e+001dB,-9.00679335973686e+001°)
1.12201845430196e+002	(-4.39450109308951e+001dB,-9.00695159741162e+001°)
1.14815362149688e+002	(-4.37450110193941e+001dB,-9.00711352091522e+001°)
1.17489755493953e+002	(-4.35450111120640e+001dB,-9.00727921610166e+001°)
1.20226443461741e+002	(-4.33450112091012e+001dB,-9.00744877082470e+001°)
1.23026877081238e+002	(-4.31450113107117e+001dB,-9.00762227498450e+001°)
1.25892541179416e+002	(-4.29450114171110e+001dB,-9.00779982057524e+001°)
1.28824955169313e+002	(-4.27450115285247e+001dB,-9.00798150173394e+001°)
1.31825673855640e+002	(-4.25450116451891e+001dB,-9.00816741479034e+001°)
1.34896288259165e+002	(-4.23450117673518e+001dB,-9.00835765831799e+001°)
1.38038426460288e+002	(-4.21450118952718e+001dB,-9.00855233318652e+001°)
1.41253754462275e+002	(-4.19450120292205e+001dB,-9.00875154261511e+001°)
1.44543977074592e+002	(-4.17450121694821e+001dB,-9.00895539222721e+001°)
1.47910838816820e+002	(-4.15450123163539e+001dB,-9.00916399010658e+001°)
1.51356124843620e+002	(-4.13450124701477e+001dB,-9.00937744685455e+001°)
1.54881661891248e+002	(-4.11450126311895e+001dB,-9.00959587564871e+001°)
1.58489319246111e+002	(-4.09450127998209e+001dB,-9.00981939230285e+001°)
1.62181009735892e+002	(-4.07450129763998e+001dB,-9.01004811532847e+001°)
1.65958690743755e+002	(-4.05450131613005e+001dB,-9.01028216599750e+001°)
1.69824365246174e+002	(-4.03450133549154e+001dB,-9.01052166840670e+001°)
1.73780082874937e+002	(-4.01450135576550e+001dB,-9.01076674954338e+001°)
1.77827941003892e+002	(-3.99450137699495e+001dB,-9.01101753935277e+001°)
1.81970085860998e+002	(-3.97450139922492e+001dB,-9.01127417080693e+001°)
1.86208713666286e+002	(-3.95450142250254e+001dB,-9.01153677997522e+001°)
1.90546071796324e+002	(-3.93450144687722e+001dB,-9.01180550609645e+001°)
1.94984459975804e+002	(-3.91450147240063e+001dB,-9.01208049165275e+001°)
