Freq.	V(n002)
3.46736850452531e+001	(-3.33170523124196e+001dB,-9.00001585269792e+001°)
3.54813389233575e+001	(-3.31170522883988e+001dB,-9.00001622195470e+001°)
3.63078054770101e+001	(-3.29170522632459e+001dB,-9.00001659981256e+001°)
3.71535229097172e+001	(-3.27170522369075e+001dB,-9.00001698647187e+001°)
3.80189396320561e+001	(-3.25170522093279e+001dB,-9.00001738213763e+001°)
3.89045144994280e+001	(-3.23170521804485e+001dB,-9.00001778701963e+001°)
3.98107170553497e+001	(-3.21170521502081e+001dB,-9.00001820133254e+001°)
4.07380277804112e+001	(-3.19170521185425e+001dB,-9.00001862529604e+001°)
4.16869383470335e+001	(-3.17170520853845e+001dB,-9.00001905913492e+001°)
4.26579518801592e+001	(-3.15170520506638e+001dB,-9.00001950307921e+001°)
4.36515832240165e+001	(-3.13170520143068e+001dB,-9.00001995736428e+001°)
4.46683592150962e+001	(-3.11170519762364e+001dB,-9.00002042223101e+001°)
4.57088189614874e+001	(-3.09170519363717e+001dB,-9.00002089792589e+001°)
4.67735141287197e+001	(-3.07170518946283e+001dB,-9.00002138470111e+001°)
4.78630092322638e+001	(-3.05170518509176e+001dB,-9.00002188281480e+001°)
4.89778819368445e+001	(-3.03170518051468e+001dB,-9.00002239253103e+001°)
5.01187233627271e+001	(-3.01170517572189e+001dB,-9.00002291412009e+001°)
5.12861383991364e+001	(-2.99170517070323e+001dB,-9.00002344785851e+001°)
5.24807460249772e+001	(-2.97170516544804e+001dB,-9.00002399402931e+001°)
5.37031796370252e+001	(-2.95170515994519e+001dB,-9.00002455292205e+001°)
5.49540873857624e+001	(-2.93170515418299e+001dB,-9.00002512483308e+001°)
5.62341325190348e+001	(-2.91170514814923e+001dB,-9.00002571006562e+001°)
5.75439937337156e+001	(-2.89170514183111e+001dB,-9.00002630892999e+001°)
5.88843655355588e+001	(-2.87170513521522e+001dB,-9.00002692174370e+001°)
6.02559586074357e+001	(-2.85170512828754e+001dB,-9.00002754883167e+001°)
6.16595001861481e+001	(-2.83170512103336e+001dB,-9.00002819052640e+001°)
6.30957344480192e+001	(-2.81170511343730e+001dB,-9.00002884716812e+001°)
6.45654229034654e+001	(-2.79170510548326e+001dB,-9.00002951910499e+001°)
6.60693448007595e+001	(-2.77170509715435e+001dB,-9.00003020669328e+001°)
6.76082975391980e+001	(-2.75170508843291e+001dB,-9.00003091029756e+001°)
6.91830970918935e+001	(-2.73170507930044e+001dB,-9.00003163029089e+001°)
7.07945784384136e+001	(-2.71170506973758e+001dB,-9.00003236705502e+001°)
7.24435960074988e+001	(-2.69170505972402e+001dB,-9.00003312098059e+001°)
7.41310241300916e+001	(-2.67170504923855e+001dB,-9.00003389246735e+001°)
7.58577575029182e+001	(-2.65170503825891e+001dB,-9.00003468192434e+001°)
7.76247116628690e+001	(-2.63170502676181e+001dB,-9.00003548977014e+001°)
7.94328234724279e+001	(-2.61170501472287e+001dB,-9.00003631643310e+001°)
8.12830516164097e+001	(-2.59170500211656e+001dB,-9.00003716235151e+001°)
8.31763771102669e+001	(-2.57170498891613e+001dB,-9.00003802797389e+001°)
8.51138038202374e+001	(-2.55170497509357e+001dB,-9.00003891375920e+001°)
8.70963589956078e+001	(-2.53170496061959e+001dB,-9.00003982017711e+001°)
8.91250938133743e+001	(-2.51170494546346e+001dB,-9.00004074770821e+001°)
9.12010839355907e+001	(-2.49170492959305e+001dB,-9.00004169684428e+001°)
9.33254300796988e+001	(-2.47170491297469e+001dB,-9.00004266808857e+001°)
9.54992586021433e+001	(-2.45170489557313e+001dB,-9.00004366195605e+001°)
9.77237220955808e+001	(-2.43170487735145e+001dB,-9.00004467897367e+001°)
9.99999999999997e+001	(-2.41170485827102e+001dB,-9.00004571968069e+001°)
1.02329299228075e+002	(-2.39170483829135e+001dB,-9.00004678462888e+001°)
1.04712854805090e+002	(-2.37170481737007e+001dB,-9.00004787438291e+001°)
1.07151930523760e+002	(-2.35170479546280e+001dB,-9.00004898952057e+001°)
1.09647819614318e+002	(-2.33170477252307e+001dB,-9.00005013063312e+001°)
1.12201845430196e+002	(-2.31170474850223e+001dB,-9.00005129832561e+001°)
1.14815362149688e+002	(-2.29170472334931e+001dB,-9.00005249321714e+001°)
1.17489755493953e+002	(-2.27170469701098e+001dB,-9.00005371594128e+001°)
1.20226443461741e+002	(-2.25170466943135e+001dB,-9.00005496714633e+001°)
1.23026877081238e+002	(-2.23170464055194e+001dB,-9.00005624749569e+001°)
1.25892541179416e+002	(-2.21170461031148e+001dB,-9.00005755766822e+001°)
1.28824955169313e+002	(-2.19170457864584e+001dB,-9.00005889835859e+001°)
1.31825673855640e+002	(-2.17170454548783e+001dB,-9.00006027027766e+001°)
1.34896288259165e+002	(-2.15170451076714e+001dB,-9.00006167415283e+001°)
1.38038426460288e+002	(-2.13170447441010e+001dB,-9.00006311072846e+001°)
1.41253754462275e+002	(-2.11170443633962e+001dB,-9.00006458076623e+001°)
1.44543977074592e+002	(-2.09170439647492e+001dB,-9.00006608504559e+001°)
1.47910838816820e+002	(-2.07170435473146e+001dB,-9.00006762436413e+001°)
