Freq.	V(clean)
2.88403150312659e+002	(-1.49171260341885e+001dB,-9.00012369409551e+001°)
2.95120922666637e+002	(-1.47171246525786e+001dB,-9.00012657513927e+001°)
3.01995172040200e+002	(-1.45171232058553e+001dB,-9.00012952327957e+001°)
3.09029543251358e+002	(-1.43171216909497e+001dB,-9.00013254007849e+001°)
3.16227766016837e+002	(-1.41171201046485e+001dB,-9.00013562713438e+001°)
3.23593656929627e+002	(-1.39171184435869e+001dB,-9.00013878608280e+001°)
3.31131121482590e+002	(-1.37171167042416e+001dB,-9.00014201859732e+001°)
3.38844156139201e+002	(-1.35171148829230e+001dB,-9.00014532639043e+001°)
3.46736850452530e+002	(-1.33171129757679e+001dB,-9.00014871121441e+001°)
3.54813389233574e+002	(-1.31171109787309e+001dB,-9.00015217486230e+001°)
3.63078054770100e+002	(-1.29171088875760e+001dB,-9.00015571916880e+001°)
3.71535229097171e+002	(-1.27171066978674e+001dB,-9.00015934601124e+001°)
3.80189396320559e+002	(-1.25171044049604e+001dB,-9.00016305731060e+001°)
3.89045144994279e+002	(-1.23171020039913e+001dB,-9.00016685503248e+001°)
3.98107170553495e+002	(-1.21170994898674e+001dB,-9.00017074118814e+001°)
4.07380277804111e+002	(-1.19170968572556e+001dB,-9.00017471783558e+001°)
4.16869383470333e+002	(-1.17170941005717e+001dB,-9.00017878708059e+001°)
4.26579518801591e+002	(-1.15170912139684e+001dB,-9.00018295107786e+001°)
4.36515832240164e+002	(-1.13170881913226e+001dB,-9.00018721203214e+001°)
4.46683592150961e+002	(-1.11170850262228e+001dB,-9.00019157219933e+001°)
4.57088189614873e+002	(-1.09170817119551e+001dB,-9.00019603388772e+001°)
4.67735141287196e+002	(-1.07170782414894e+001dB,-9.00020059945917e+001°)
4.78630092322636e+002	(-1.05170746074641e+001dB,-9.00020527133036e+001°)
4.89778819368444e+002	(-1.03170708021709e+001dB,-9.00021005197402e+001°)
5.01187233627270e+002	(-1.01170668175378e+001dB,-9.00021494392027e+001°)
5.12861383991362e+002	(-9.91706264511275e+000dB,-9.00021994975788e+001°)
5.24807460249770e+002	(-9.71705827604516e+000dB,-9.00022507213567e+001°)
5.37031796370250e+002	(-9.51705370106733e+000dB,-9.00023031376388e+001°)
5.49540873857622e+002	(-9.31704891047478e+000dB,-9.00023567741553e+001°)
5.62341325190346e+002	(-9.11704389410563e+000dB,-9.00024116592794e+001°)
5.75439937337154e+002	(-8.91703864131909e+000dB,-9.00024678220413e+001°)
5.88843655355586e+002	(-8.71703314097284e+000dB,-9.00025252921439e+001°)
6.02559586074355e+002	(-8.51702738139941e+000dB,-9.00025840999775e+001°)
6.16595001861479e+002	(-8.31702135038143e+000dB,-9.00026442766362e+001°)
6.30957344480190e+002	(-8.11701503512571e+000dB,-9.00027058539336e+001°)
6.45654229034652e+002	(-7.91700842223609e+000dB,-9.00027688644192e+001°)
6.60693448007592e+002	(-7.71700149768502e+000dB,-9.00028333413953e+001°)
6.76082975391978e+002	(-7.51699424678380e+000dB,-9.00028993189342e+001°)
6.91830970918933e+002	(-7.31698665415147e+000dB,-9.00029668318956e+001°)
7.07945784384134e+002	(-7.11697870368206e+000dB,-9.00030359159445e+001°)
7.24435960074986e+002	(-6.91697037851054e+000dB,-9.00031066075695e+001°)
7.41310241300914e+002	(-6.71696166097696e+000dB,-9.00031789441017e+001°)
7.58577575029180e+002	(-6.51695253258901e+000dB,-9.00032529637334e+001°)
7.76247116628688e+002	(-6.31694297398281e+000dB,-9.00033287055378e+001°)
7.94328234724277e+002	(-6.11693296488175e+000dB,-9.00034062094888e+001°)
8.12830516164095e+002	(-5.91692248405356e+000dB,-9.00034855164814e+001°)
8.31763771102666e+002	(-5.71691150926519e+000dB,-9.00035666683523e+001°)
8.51138038202372e+002	(-5.51690001723565e+000dB,-9.00036497079014e+001°)
8.70963589956076e+002	(-5.31688798358667e+000dB,-9.00037346789129e+001°)
8.91250938133741e+002	(-5.11687538279086e+000dB,-9.00038216261778e+001°)
9.12010839355905e+002	(-4.91686218811766e+000dB,-9.00039105955159e+001°)
9.33254300796986e+002	(-4.71684837157653e+000dB,-9.00040016337995e+001°)
9.54992586021431e+002	(-4.51683390385762e+000dB,-9.00040947889761e+001°)
9.77237220955805e+002	(-4.31681875426950e+000dB,-9.00041901100925e+001°)
9.99999999999994e+002	(-4.11680289067411e+000dB,-9.00042876473194e+001°)
1.02329299228075e+003	(-3.91678627941850e+000dB,-9.00043874519761e+001°)
1.04712854805089e+003	(-3.71676888526346e+000dB,-9.00044895765554e+001°)
1.07151930523760e+003	(-3.51675067130867e+000dB,-9.00045940747503e+001°)
1.09647819614318e+003	(-3.31673159891446e+000dB,-9.00047010014793e+001°)
1.12201845430196e+003	(-3.11671162761976e+000dB,-9.00048104129140e+001°)
1.14815362149688e+003	(-2.91669071505622e+000dB,-9.00049223665058e+001°)
1.17489755493952e+003	(-2.71666881685833e+000dB,-9.00050369210142e+001°)
1.20226443461741e+003	(-2.51664588656919e+000dB,-9.00051541365345e+001°)
1.23026877081237e+003	(-2.31662187554197e+000dB,-9.00052740745272e+001°)
1.25892541179416e+003	(-2.11659673283660e+000dB,-9.00053967978470e+001°)
1.28824955169313e+003	(-1.91657040511165e+000dB,-9.00055223707723e+001°)
1.31825673855640e+003	(-1.71654283651113e+000dB,-9.00056508590362e+001°)
1.34896288259165e+003	(-1.51651396854586e+000dB,-9.00057823298567e+001°)
1.38038426460288e+003	(-1.31648373996935e+000dB,-9.00059168519684e+001°)
1.41253754462275e+003	(-1.11645208664774e+000dB,-9.00060544956540e+001°)
1.44543977074592e+003	(-9.16418941423643e-001dB,-9.00061953327767e+001°)
1.47910838816820e+003	(-7.16384233973590e-001dB,-9.00063394368131e+001°)
1.51356124843620e+003	(-5.16347890658650e-001dB,-9.00064868828862e+001°)
1.54881661891247e+003	(-3.16309834368114e-001dB,-9.00066377477991e+001°)
1.58489319246110e+003	(-1.16269984355718e-001dB,-9.00067921100696e+001°)
1.62181009735892e+003	(8.37717439318009e-002dB,-9.00069500499642e+001°)
1.65958690743755e+003	(2.83815439034315e-001dB,-9.00071116495336e+001°)
1.69824365246173e+003	(4.83861193666316e-001dB,-9.00072769926476e+001°)
1.73780082874936e+003	(6.83909104913855e-001dB,-9.00074461650314e+001°)
1.77827941003891e+003	(8.83959274440787e-001dB,-9.00076192543017e+001°)
1.81970085860997e+003	(1.08401180870469e+000dB,-9.00077963500030e+001°)
1.86208713666286e+003	(1.28406681918307e+000dB,-9.00079775436444e+001°)
1.90546071796323e+003	(1.48412442261017e+000dB,-9.00081629287369e+001°)
1.94984459975803e+003	(1.68418474122504e+000dB,-9.00083526008309e+001°)
1.99526231496887e+003	(1.88424790303122e+000dB,-9.00085466575531e+001°)
2.04173794466952e+003	(2.08431404206886e+000dB,-9.00087451986450e+001°)
2.08929613085403e+003	(2.28438329869947e+000dB,-9.00089483260003e+001°)
2.13796208950222e+003	(2.48445581990436e+000dB,-9.00091561437025e+001°)
2.18776162394954e+003	(2.68453175959702e+000dB,-9.00093687580636e+001°)
2.23872113856832e+003	(2.88461127895034e+000dB,-9.00095862776612e+001°)
2.29086765276776e+003	(3.08469454673929e+000dB,-9.00098088133766e+001°)
2.34422881531991e+003	(3.28478173969978e+000dB,-9.00100364784322e+001°)
2.39883291901947e+003	(3.48487304290451e+000dB,-9.00102693884286e+001°)
2.45470891568501e+003	(3.68496865015660e+000dB,-9.00105076613818e+001°)
2.51188643150956e+003	(3.88506876440184e+000dB,-9.00107514177590e+001°)
2.57039578276885e+003	(4.08517359816042e+000dB,-9.00110007805152e+001°)
2.63026799189536e+003	(4.28528337397914e+000dB,-9.00112558751275e+001°)
2.69153480392690e+003	(4.48539832490497e+000dB,-9.00115168296300e+001°)
2.75422870333815e+003	(4.68551869498105e+000dB,-9.00117837746468e+001°)
2.81838293126443e+003	(4.88564473976619e+000dB,-9.00120568434242e+001°)
2.88403150312659e+003	(5.08577672687899e+000dB,-9.00123361718620e+001°)
2.95120922666636e+003	(5.28591493656767e+000dB,-9.00126218985429e+001°)
3.01995172040199e+003	(5.48605966230696e+000dB,-9.00129141647599e+001°)
3.09029543251357e+003	(5.68621121142326e+000dB,-9.00132131145432e+001°)
3.16227766016836e+003	(5.88636990574946e+000dB,-9.00135188946835e+001°)
3.23593656929626e+003	(6.08653608231077e+000dB,-9.00138316547544e+001°)
3.31131121482589e+003	(6.28671009404311e+000dB,-9.00141515471306e+001°)
3.38844156139200e+003	(6.48689231054560e+000dB,-9.00144787270054e+001°)
3.46736850452529e+003	(6.68708311886876e+000dB,-9.00148133524028e+001°)
3.54813389233573e+003	(6.88728292434010e+000dB,-9.00151555841882e+001°)
3.63078054770099e+003	(7.08749215142898e+000dB,-9.00155055860735e+001°)
3.71535229097170e+003	(7.28771124465253e+000dB,-9.00158635246194e+001°)
3.80189396320558e+003	(7.48794066952463e+000dB,-9.00162295692324e+001°)
3.89045144994278e+003	(7.68818091355003e+000dB,-9.00166038921565e+001°)
3.98107170553494e+003	(7.88843248726579e+000dB,-9.00169866684604e+001°)
4.07380277804110e+003	(8.08869592533220e+000dB,-9.00173780760177e+001°)
4.16869383470332e+003	(8.28897178767576e+000dB,-9.00177782954805e+001°)
4.26579518801589e+003	(8.48926066068651e+000dB,-9.00181875102470e+001°)
4.36515832240162e+003	(8.68956315847247e+000dB,-9.00186059064195e+001°)
4.46683592150960e+003	(8.88987992417393e+000dB,-9.00190336727554e+001°)
4.57088189614871e+003	(9.09021163134041e+000dB,-9.00194710006081e+001°)
4.67735141287194e+003	(9.29055898537332e+000dB,-9.00199180838581e+001°)
4.78630092322634e+003	(9.49092272503766e+000dB,-9.00203751188330e+001°)
4.89778819368442e+003	(9.69130362404587e+000dB,-9.00208423042160e+001°)
5.01187233627268e+003	(9.89170249271743e+000dB,-9.00213198409409e+001°)
5.12861383991361e+003	(1.00921201797180e+001dB,-9.00218079320738e+001°)
5.24807460249768e+003	(1.02925575738818e+001dB,-9.00223067826793e+001°)
5.37031796370248e+003	(1.04930156061212e+001dB,-9.00228165996704e+001°)
5.49540873857620e+003	(1.06934952514283e+001dB,-9.00233375916408e+001°)
5.62341325190344e+003	(1.08939975309723e+001dB,-9.00238699686777e+001°)
5.75439937337152e+003	(1.10945235142975e+001dB,-9.00244139421545e+001°)
5.88843655355584e+003	(1.12950743216277e+001dB,-9.00249697245004e+001°)
6.02559586074353e+003	(1.14956511262806e+001dB,-9.00255375289463e+001°)
6.16595001861477e+003	(1.16962551571994e+001dB,-9.00261175692444e+001°)
6.30957344480188e+003	(1.18968877016058e+001dB,-9.00267100593593e+001°)
6.45654229034650e+003	(1.20975501077821e+001dB,-9.00273152131292e+001°)
6.60693448007590e+003	(1.22982437879864e+001dB,-9.00279332438938e+001°)
6.76082975391976e+003	(1.24989702215103e+001dB,-9.00285643640864e+001°)
6.91830970918931e+003	(1.26997309578839e+001dB,-9.00292087847884e+001°)
7.07945784384132e+003	(1.29005276202364e+001dB,-9.00298667152422e+001°)
7.24435960074984e+003	(1.31013619088207e+001dB,-9.00305383623191e+001°)
7.41310241300911e+003	(1.33022356047083e+001dB,-9.00312239299399e+001°)
7.58577575029177e+003	(1.35031505736657e+001dB,-9.00319236184432e+001°)
7.76247116628685e+003	(1.37041087702183e+001dB,-9.00326376238976e+001°)
7.94328234724275e+003	(1.39051122419146e+001dB,-9.00333661373547e+001°)
8.12830516164092e+003	(1.41061631337980e+001dB,-9.00341093440360e+001°)
8.31763771102664e+003	(1.43072636930986e+001dB,-9.00348674224507e+001°)
8.51138038202369e+003	(1.45084162741550e+001dB,-9.00356405434377e+001°)
8.70963589956073e+003	(1.47096233435790e+001dB,-9.00364288691268e+001°)
8.91250938133738e+003	(1.49108874856745e+001dB,-9.00372325518118e+001°)
9.12010839355902e+003	(1.51122114081247e+001dB,-9.00380517327298e+001°)
9.33254300796983e+003	(1.53135979479608e+001dB,-9.00388865407386e+001°)
9.54992586021428e+003	(1.55150500778268e+001dB,-9.00397370908848e+001°)
9.77237220955802e+003	(1.57165709125565e+001dB,-9.00406034828535e+001°)
9.99999999999991e+003	(1.59181637160786e+001dB,-9.00414857992917e+001°)
1.02329299228075e+004	(1.61198319086665e+001dB,-9.00423841039935e+001°)
1.04712854805089e+004	(1.63215790745523e+001dB,-9.00432984399387e+001°)
1.07151930523760e+004	(1.65234089699235e+001dB,-9.00442288271717e+001°)
1.09647819614318e+004	(1.67253255313227e+001dB,-9.00451752605091e+001°)
1.12201845430195e+004	(1.69273328844726e+001dB,-9.00461377070619e+001°)
1.14815362149687e+004	(1.71294353535484e+001dB,-9.00471161035596e+001°)
1.17489755493952e+004	(1.73316374709224e+001dB,-9.00481103534578e+001°)
1.20226443461740e+004	(1.75339439874062e+001dB,-9.00491203238152e+001°)
1.23026877081237e+004	(1.77363598830180e+001dB,-9.00501458419205e+001°)
1.25892541179416e+004	(1.79388903783040e+001dB,-9.00511866916496e+001°)
1.28824955169312e+004	(1.81415409462440e+001dB,-9.00522426095317e+001°)
1.31825673855640e+004	(1.83443173247749e+001dB,-9.00533132805027e+001°)
1.34896288259164e+004	(1.85472255299656e+001dB,-9.00543983333185e+001°)
1.38038426460287e+004	(1.87502718698818e+001dB,-9.00554973356045e+001°)
1.41253754462274e+004	(1.89534629591774e+001dB,-9.00566097885091e+001°)
1.44543977074591e+004	(1.91568057344575e+001dB,-9.00577351209320e+001°)
1.47910838816819e+004	(1.93603074704551e+001dB,-9.00588726832916e+001°)
1.51356124843619e+004	(1.95639757970698e+001dB,-9.00600217407957e+001°)
1.54881661891247e+004	(1.97678187173196e+001dB,-9.00611814661743e+001°)
1.58489319246110e+004	(1.99718446262590e+001dB,-9.00623509318312e+001°)
1.62181009735891e+004	(2.01760623309219e+001dB,-9.00635291013679e+001°)
1.65958690743755e+004	(2.03804810713509e+001dB,-9.00647148204269e+001°)
1.69824365246173e+004	(2.05851105427784e+001dB,-9.00659068067997e+001°)
1.73780082874936e+004	(2.07899609190316e+001dB,-9.00671036397385e+001°)
1.77827941003891e+004	(2.09950428772358e+001dB,-9.00683037484050e+001°)
1.81970085860997e+004	(2.12003676238976e+001dB,-9.00695053993851e+001°)
1.86208713666285e+004	(2.14059469224563e+001dB,-9.00707066831904e+001°)
1.90546071796323e+004	(2.16117931223952e+001dB,-9.00719054996608e+001°)
1.94984459975803e+004	(2.18179191900151e+001dB,-9.00730995421768e+001°)
1.99526231496886e+004	(2.20243387409777e+001dB,-9.00742862805760e+001°)
2.04173794466951e+004	(2.22310660747349e+001dB,-9.00754629426670e+001°)
2.08929613085402e+004	(2.24381162109708e+001dB,-9.00766264942150e+001°)
2.13796208950221e+004	(2.26455049281911e+001dB,-9.00777736172687e+001°)
2.18776162394953e+004	(2.28532488046065e+001dB,-9.00789006866810e+001°)
2.23872113856832e+004	(2.30613652614679e+001dB,-9.00800037446648e+001°)
2.29086765276775e+004	(2.32698726090256e+001dB,-9.00810784732069e+001°)
2.34422881531990e+004	(2.34787900952963e+001dB,-9.00821201641498e+001°)
2.39883291901947e+004	(2.36881379578399e+001dB,-9.00831236867269e+001°)
2.45470891568501e+004	(2.38979374787633e+001dB,-9.00840834523199e+001°)
2.51188643150956e+004	(2.41082110431887e+001dB,-9.00849933761807e+001°)
2.57039578276884e+004	(2.43189822014435e+001dB,-9.00858468358361e+001°)
2.63026799189536e+004	(2.45302757352515e+001dB,-9.00866366258606e+001°)
2.69153480392689e+004	(2.47421177282325e+001dB,-9.00873549086745e+001°)
2.75422870333814e+004	(2.49545356410422e+001dB,-9.00879931609833e+001°)
2.81838293126443e+004	(2.51675583915177e+001dB,-9.00885421154367e+001°)
2.88403150312658e+004	(2.53812164402265e+001dB,-9.00889916970358e+001°)
2.95120922666636e+004	(2.55955418818555e+001dB,-9.00893309537700e+001°)
3.01995172040199e+004	(2.58105685429194e+001dB,-9.00895479809007e+001°)
3.09029543251356e+004	(2.60263320863129e+001dB,-9.00896298382483e+001°)
3.16227766016835e+004	(2.62428701232850e+001dB,-9.00895624597621e+001°)
3.23593656929625e+004	(2.64602223334720e+001dB,-9.00893305545674e+001°)
