time	V(buff)	V(n009)
7.831210967227107e-003	3.640850e-002	9.883450e-001
7.835474707214201e-003	4.517701e-002	9.856162e-001
7.839650747879236e-003	5.101328e-002	9.829435e-001
7.844045486455033e-003	5.505414e-002	9.801309e-001
7.847359681533972e-003	5.708715e-002	9.780098e-001
7.851355539349146e-003	5.870671e-002	9.754525e-001
7.856025633626170e-003	5.997515e-002	9.724636e-001
7.860249127489312e-003	6.069802e-002	9.697605e-001
7.872330899359384e-003	6.166889e-002	9.620282e-001
7.902392582282451e-003	6.206606e-002	9.427887e-001
7.929597360267968e-003	6.207691e-002	9.253777e-001
7.956802138253484e-003	6.208532e-002	9.079666e-001
7.984006916239001e-003	6.209128e-002	8.905556e-001
8.011211694224517e-003	6.209479e-002	8.731445e-001
8.038416472210035e-003	6.209585e-002	8.557335e-001
8.065621250195550e-003	6.209447e-002	8.383224e-001
8.092826028181068e-003	6.209064e-002	8.209113e-001
8.155605046038211e-003	6.209063e-002	7.807328e-001
8.218384063895355e-003	6.209063e-002	7.405542e-001
8.281163081752498e-003	6.209063e-002	7.003756e-001
8.343942099609644e-003	6.209063e-002	6.601971e-001
8.406721117466787e-003	6.209062e-002	6.200185e-001
8.469500135323931e-003	6.209062e-002	5.798399e-001
8.532279153181074e-003	6.209061e-002	5.396613e-001
8.605521340681075e-003	6.209062e-002	4.927863e-001
8.678763528181076e-003	6.209061e-002	4.459113e-001
8.752005715681077e-003	6.209059e-002	3.990363e-001
8.825247903181078e-003	6.209056e-002	3.521613e-001
8.898490090681079e-003	6.209053e-002	3.052863e-001
8.971732278181080e-003	6.209048e-002	2.584113e-001
9.044974465681081e-003	6.209043e-002	2.115363e-001
9.086827144252510e-003	6.209040e-002	1.847506e-001
9.128679822823940e-003	6.209042e-002	1.579649e-001
9.170532501395368e-003	6.209050e-002	1.311792e-001
9.212385179966798e-003	6.209063e-002	1.043935e-001
9.254237858538227e-003	6.209082e-002	7.760777e-002
9.296090537109657e-003	6.209107e-002	5.082206e-002
9.337943215681085e-003	6.209137e-002	2.403634e-002
