Freq.,Vvout
1.07894672222983e+000,-5.71671114005962e-004,-1.63713666322325e-002
1.08143395129794e+000,-5.71671091266588e-004,-1.64091065468544e-002
1.08392691402120e+000,-5.71671068437526e-004,-1.64469334610813e-002
1.08642562361706e+000,-5.71671045496594e-004,-1.64848475754690e-002
1.08893009333343e+000,-5.71671022444758e-004,-1.65228490910358e-002
1.09144033644876e+000,-5.71670999300340e-004,-1.65609382092625e-002
1.09395636627209e+000,-5.71670976039230e-004,-1.65991151320952e-002
1.09647819614318e+000,-5.71670952666251e-004,-1.66373800619451e-002
1.09900583943252e+000,-5.71670929201656e-004,-1.66757332016903e-002
1.10153930954141e+000,-5.71670905610724e-004,-1.67141747546763e-002
1.10407861990207e+000,-5.71670881916604e-004,-1.67527049247177e-002
1.10662378397766e+000,-5.71670858115435e-004,-1.67913239160988e-002
1.10917481526240e+000,-5.71670834202398e-004,-1.68300319335746e-002
1.11173172728159e+000,-5.71670810183277e-004,-1.68688291823724e-002
1.11429453359173e+000,-5.71670786042643e-004,-1.69077158681926e-002
1.11686324778056e+000,-5.71670761806534e-004,-1.69466921972097e-002
1.11943788346715e+000,-5.71670737455663e-004,-1.69857583760731e-002
1.12201845430196e+000,-5.71670712989065e-004,-1.70249146119095e-002
1.12460497396692e+000,-5.71670688402883e-004,-1.70641611123224e-002
1.12719745617551e+000,-5.71670663707724e-004,-1.71034980853940e-002
1.12979591467280e+000,-5.71670638900696e-004,-1.71429257396862e-002
1.13240036323556e+000,-5.71670613971190e-004,-1.71824442842419e-002
1.13501081567231e+000,-5.71670588937530e-004,-1.72220539285854e-002
1.13762728582343e+000,-5.71670563777535e-004,-1.72617548827246e-002
1.14024978756117e+000,-5.71670538507599e-004,-1.73015473571510e-002
1.14287833478977e+000,-5.71670513121937e-004,-1.73414315628420e-002
1.14551294144553e+000,-5.71670487626333e-004,-1.73814077112606e-002
1.14815362149688e+000,-5.71670462004395e-004,-1.74214760143579e-002
1.15080038894443e+000,-5.71670436264801e-004,-1.74616366845732e-002
1.15345325782109e+000,-5.71670410405622e-004,-1.75018899348354e-002
1.15611224219210e+000,-5.71670384422037e-004,-1.75422359785651e-002
1.15877735615512e+000,-5.71670358325619e-004,-1.75826750296737e-002
1.16144861384034e+000,-5.71670332104793e-004,-1.76232073025667e-002
1.16412602941049e+000,-5.71670305773063e-004,-1.76638330121438e-002
1.16680961706096e+000,-5.71670279308247e-004,-1.77045523737991e-002
1.16949939101987e+000,-5.71670252722882e-004,-1.77453656034244e-002
1.17219536554813e+000,-5.71670226019862e-004,-1.77862729174088e-002
1.17489755493953e+000,-5.71670199191470e-004,-1.78272745326398e-002
1.17760597352080e+000,-5.71670172235779e-004,-1.78683706665056e-002
1.18032063565173e+000,-5.71670145157610e-004,-1.79095615368951e-002
1.18304155572516e+000,-5.71670117959857e-004,-1.79508473621993e-002
1.18576874816716e+000,-5.71670090625160e-004,-1.79922283613133e-002
