Freq.	V(vout)
1.00000000000000e+003	(5.08797706043117e+001dB,1.79513429957356e+002°)
1.00770481413610e+003	(5.08797676350846e+001dB,1.79509681105393e+002°)
1.01546899243308e+003	(5.08797646199284e+001dB,1.79505903371082e+002°)
1.02329299228075e+003	(5.08797615581328e+001dB,1.79502096531931e+002°)
1.03117727459306e+003	(5.08797584489761e+001dB,1.79498260363738e+002°)
1.03912230383517e+003	(5.08797552917259e+001dB,1.79494394640573e+002°)
1.04712854805090e+003	(5.08797520856383e+001dB,1.79490499134767e+002°)
1.05519647889024e+003	(5.08797488299576e+001dB,1.79486573616898e+002°)
1.06332657163716e+003	(5.08797455239171e+001dB,1.79482617855777e+002°)
1.07151930523761e+003	(5.08797421667378e+001dB,1.79478631618435e+002°)
1.07977516232771e+003	(5.08797387576286e+001dB,1.79474614670110e+002°)
1.08809462926223e+003	(5.08797352957862e+001dB,1.79470566774230e+002°)
1.09647819614319e+003	(5.08797317803950e+001dB,1.79466487692404e+002°)
1.10492635684876e+003	(5.08797282106267e+001dB,1.79462377184405e+002°)
1.11343960906236e+003	(5.08797245856406e+001dB,1.79458235008155e+002°)
1.12201845430197e+003	(5.08797209045822e+001dB,1.79454060919714e+002°)
1.13066339794964e+003	(5.08797171665841e+001dB,1.79449854673262e+002°)
1.13937494928134e+003	(5.08797133707659e+001dB,1.79445616021088e+002°)
1.14815362149688e+003	(5.08797095162332e+001dB,1.79441344713573e+002°)
1.15699993175021e+003	(5.08797056020775e+001dB,1.79437040499176e+002°)
1.16591440117983e+003	(5.08797016273774e+001dB,1.79432703124419e+002°)
1.17489755493953e+003	(5.08796975911953e+001dB,1.79428332333874e+002°)
1.18394992222930e+003	(5.08796934925812e+001dB,1.79423927870145e+002°)
1.19307203632654e+003	(5.08796893305692e+001dB,1.79419489473856e+002°)
1.20226443461742e+003	(5.08796851041782e+001dB,1.79415016883632e+002°)
1.21152765862859e+003	(5.08796808124133e+001dB,1.79410509836087e+002°)
1.22086225405907e+003	(5.08796764542625e+001dB,1.79405968065808e+002°)
1.23026877081238e+003	(5.08796720286995e+001dB,1.79401391305337e+002°)
1.23974776302895e+003	(5.08796675346816e+001dB,1.79396779285159e+002°)
1.24929978911874e+003	(5.08796629711497e+001dB,1.79392131733683e+002°)
1.25892541179417e+003	(5.08796583370289e+001dB,1.79387448377227e+002°)
1.26862519810326e+003	(5.08796536312272e+001dB,1.79382728940003e+002°)
1.27839971946303e+003	(5.08796488526362e+001dB,1.79377973144100e+002°)
1.28824955169314e+003	(5.08796440001295e+001dB,1.79373180709468e+002°)
1.29817527504985e+003	(5.08796390725647e+001dB,1.79368351353900e+002°)
1.30817747426020e+003	(5.08796340687800e+001dB,1.79363484793017e+002°)
1.31825673855641e+003	(5.08796289875971e+001dB,1.79358580740252e+002°)
1.32841366171065e+003	(5.08796238278186e+001dB,1.79353638906833e+002°)
1.33864884207000e+003	(5.08796185882287e+001dB,1.79348659001762e+002°)
1.34896288259166e+003	(5.08796132675937e+001dB,1.79343640731804e+002°)
1.35935639087853e+003	(5.08796078646594e+001dB,1.79338583801466e+002°)
1.36982997921497e+003	(5.08796023781529e+001dB,1.79333487912981e+002°)
1.38038426460289e+003	(5.08795968067821e+001dB,1.79328352766290e+002°)
1.39101986879806e+003	(5.08795911492340e+001dB,1.79323178059024e+002°)
1.40173741834677e+003	(5.08795854041759e+001dB,1.79317963486487e+002°)
1.41253754462276e+003	(5.08795795702543e+001dB,1.79312708741640e+002°)
1.42342088386435e+003	(5.08795736460945e+001dB,1.79307413515078e+002°)
1.43438807721197e+003	(5.08795676303012e+001dB,1.79302077495017e+002°)
1.44543977074593e+003	(5.08795615214573e+001dB,1.79296700367271e+002°)
1.45657661552446e+003	(5.08795553181229e+001dB,1.79291281815240e+002°)
1.46779926762207e+003	(5.08795490188373e+001dB,1.79285821519883e+002°)
1.47910838816821e+003	(5.08795426221161e+001dB,1.79280319159708e+002°)
1.49050464338620e+003	(5.08795361264523e+001dB,1.79274774410745e+002°)
1.50198870463249e+003	(5.08795295303158e+001dB,1.79269186946536e+002°)
1.51356124843621e+003	(5.08795228321525e+001dB,1.79263556438106e+002°)
1.52522295653902e+003	(5.08795160303849e+001dB,1.79257882553951e+002°)
1.53697451593528e+003	(5.08795091234097e+001dB,1.79252164960015e+002°)
1.54881661891249e+003	(5.08795021096004e+001dB,1.79246403319674e+002°)
1.56074996309212e+003	(5.08794949873046e+001dB,1.79240597293711e+002°)
1.57277525147067e+003	(5.08794877548445e+001dB,1.79234746540300e+002°)
1.58489319246112e+003	(5.08794804105160e+001dB,1.79228850714986e+002°)
1.59710449993461e+003	(5.08794729525892e+001dB,1.79222909470662e+002°)
1.60940989326254e+003	(5.08794653793073e+001dB,1.79216922457552e+002°)
1.62181009735894e+003	(5.08794576888858e+001dB,1.79210889323188e+002°)
1.63430584272314e+003	(5.08794498795135e+001dB,1.79204809712391e+002°)
1.64689786548288e+003	(5.08794419493505e+001dB,1.79198683267248e+002°)
1.65958690743757e+003	(5.08794338965285e+001dB,1.79192509627095e+002°)
1.67237371610209e+003	(5.08794257191508e+001dB,1.79186288428491e+002°)
1.68525904475076e+003	(5.08794174152908e+001dB,1.79180019305201e+002°)
1.69824365246175e+003	(5.08794089829924e+001dB,1.79173701888172e+002°)
1.71132830416179e+003	(5.08794004202696e+001dB,1.79167335805511e+002°)
1.72451377067121e+003	(5.08793917251048e+001dB,1.79160920682467e+002°)
1.73780082874938e+003	(5.08793828954502e+001dB,1.79154456141404e+002°)
1.75119026114047e+003	(5.08793739292256e+001dB,1.79147941801783e+002°)
1.76468285661951e+003	(5.08793648243188e+001dB,1.79141377280136e+002°)
1.77827941003893e+003	(5.08793555785850e+001dB,1.79134762190048e+002°)
1.79198072237534e+003	(5.08793461898466e+001dB,1.79128096142130e+002°)
