Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(-8.16769699495165e-005dB,1.79969965993794e+002°)
1.02329299228075e+000	(-8.17680440398954e-005dB,1.79969266412165e+002°)
1.04712854805090e+000	(-8.18634103122314e-005dB,1.79968550535205e+002°)
1.07151930523761e+000	(-8.19632710574760e-005dB,1.79967817983347e+002°)
1.09647819614318e+000	(-8.20678380961710e-005dB,1.79967068368184e+002°)
1.12201845430196e+000	(-8.21773332259020e-005dB,1.79966301292263e+002°)
1.14815362149688e+000	(-8.22919887034688e-005dB,1.79965516348871e+002°)
1.17489755493953e+000	(-8.24120477096978e-005dB,1.79964713121824e+002°)
1.20226443461741e+000	(-8.25377649270812e-005dB,1.79963891185243e+002°)
1.23026877081238e+000	(-8.26694070219484e-005dB,1.79963050103327e+002°)
1.25892541179417e+000	(-8.28072531941404e-005dB,1.79962189430127e+002°)
1.28824955169313e+000	(-8.29515958713349e-005dB,1.79961308709306e+002°)
1.31825673855641e+000	(-8.31027411863962e-005dB,1.79960407473897e+002°)
1.34896288259165e+000	(-8.32610097671705e-005dB,1.79959485246056e+002°)
1.38038426460288e+000	(-8.34267373102704e-005dB,1.79958541536809e+002°)
1.41253754462275e+000	(-8.36002753419401e-005dB,1.79957575845794e+002°)
1.44543977074593e+000	(-8.37819919712077e-005dB,1.79956587660991e+002°)
1.47910838816821e+000	(-8.39722726362864e-005dB,1.79955576458457e+002°)
1.51356124843621e+000	(-8.41715209387319e-005dB,1.79954541702043e+002°)
1.54881661891248e+000	(-8.43801595181014e-005dB,1.79953482843113e+002°)
1.58489319246111e+000	(-8.45986309169709e-005dB,1.79952399320251e+002°)
1.62181009735893e+000	(-8.48273985510651e-005dB,1.79951290558966e+002°)
1.65958690743756e+000	(-8.50669476668520e-005dB,1.79950155971381e+002°)
1.69824365246174e+000	(-8.53177863714637e-005dB,1.79948994955933e+002°)
1.73780082874937e+000	(-8.55804467098703e-005dB,1.79947806897041e+002°)
1.77827941003892e+000	(-8.58554858471675e-005dB,1.79946591164788e+002°)
1.81970085860998e+000	(-8.61434871650393e-005dB,1.79945347114586e+002°)
1.86208713666287e+000	(-8.64450615491611e-005dB,1.79944074086831e+002°)
1.90546071796325e+000	(-8.67608486833535e-005dB,1.79942771406557e+002°)
1.94984459975804e+000	(-8.70915183813475e-005dB,1.79941438383074e+002°)
1.99526231496888e+000	(-8.74377720429499e-005dB,1.79940074309608e+002°)
2.04173794466953e+000	(-8.78003441073181e-005dB,1.79938678462919e+002°)
2.08929613085404e+000	(-8.81800036383509e-005dB,1.79937250102925e+002°)
2.13796208950223e+000	(-8.85775559486540e-005dB,1.79935788472301e+002°)
2.18776162394955e+000	(-8.89938442919764e-005dB,1.79934292796088e+002°)
2.23872113856834e+000	(-8.94297516482256e-005dB,1.79932762281272e+002°)
2.29086765276777e+000	(-8.98862026685651e-005dB,1.79931196116370e+002°)
2.34422881531992e+000	(-9.03641655028656e-005dB,1.79929593470999e+002°)
2.39883291901949e+000	(-9.08646539887867e-005dB,1.79927953495434e+002°)
2.45470891568503e+000	(-9.13887297376769e-005dB,1.79926275320157e+002°)
2.51188643150958e+000	(-9.19375043496995e-005dB,1.79924558055399e+002°)
2.57039578276886e+000	(-9.25121418449739e-005dB,1.79922800790667e+002°)
2.63026799189538e+000	(-9.31138610966506e-005dB,1.79921002594260e+002°)
2.69153480392691e+000	(-9.37439384491436e-005dB,1.79919162512777e+002°)
