Freq.	V(vo)/V(Vi)
2.13796208950223e+000	(-8.76264891244550e-002dB,1.73635370221809e+002°)
2.18776162394955e+000	(-9.17170076585165e-002dB,1.73489471006094e+002°)
2.23872113856834e+000	(-9.59969328010418e-002dB,1.73340339076116e+002°)
2.29086765276777e+000	(-1.00474872076308e-001dB,1.73187910684141e+002°)
2.34422881531992e+000	(-1.05159808847415e-001dB,1.73032121388057e+002°)
2.39883291901949e+000	(-1.10061117288602e-001dB,1.72872906087540e+002°)
2.45470891568503e+000	(-1.15188577817903e-001dB,1.72710199064324e+002°)
2.51188643150958e+000	(-1.20552392991551e-001dB,1.72543934026833e+002°)
2.57039578276886e+000	(-1.26163203858710e-001dB,1.72374044159486e+002°)
2.63026799189538e+000	(-1.32032106774532e-001dB,1.72200462176957e+002°)
2.69153480392691e+000	(-1.38170670666471e-001dB,1.72023120383708e+002°)
2.75422870333816e+000	(-1.44590954747211e-001dB,1.71841950739130e+002°)
2.81838293126445e+000	(-1.51305526665233e-001dB,1.71656884928621e+002°)
2.88403150312660e+000	(-1.58327481080758e-001dB,1.71467854440962e+002°)
2.95120922666638e+000	(-1.65670458652604e-001dB,1.71274790652357e+002°)
3.01995172040201e+000	(-1.73348665417729e-001dB,1.71077624917523e+002°)
3.09029543251359e+000	(-1.81376892542287e-001dB,1.70876288668203e+002°)
3.16227766016837e+000	(-1.89770536418849e-001dB,1.70670713519533e+002°)
3.23593656929628e+000	(-1.98545619080680e-001dB,1.70460831384660e+002°)
3.31131121482591e+000	(-2.07718808899471e-001dB,1.70246574598037e+002°)
3.38844156139202e+000	(-2.17307441528308e-001dB,1.70027876047834e+002°)
3.46736850452531e+000	(-2.27329541046628e-001dB,1.69804669317911e+002°)
3.54813389233575e+000	(-2.37803841258602e-001dB,1.69576888839784e+002°)
3.63078054770101e+000	(-2.48749807090779e-001dB,1.69344470055046e+002°)
3.71535229097172e+000	(-2.60187656028623e-001dB,1.69107349588699e+002°)
3.80189396320560e+000	(-2.72138379525552e-001dB,1.68865465433831e+002°)
3.89045144994280e+000	(-2.84623764311270e-001dB,1.68618757148111e+002°)
3.98107170553496e+000	(-2.97666413519218e-001dB,1.68367166062511e+002°)
4.07380277804112e+000	(-3.11289767545874e-001dB,1.68110635502721e+002°)
4.16869383470335e+000	(-3.25518124547179e-001dB,1.67849111023640e+002°)
4.26579518801592e+000	(-3.40376660469426e-001dB,1.67582540657363e+002°)
4.36515832240165e+000	(-3.55891448504439e-001dB,1.67310875175035e+002°)
4.46683592150962e+000	(-3.72089477850587e-001dB,1.67034068362904e+002°)
4.57088189614874e+000	(-3.88998671653252e-001dB,1.66752077312909e+002°)
4.67735141287197e+000	(-4.06647903990240e-001dB,1.66464862728063e+002°)
4.78630092322637e+000	(-4.25067015759645e-001dB,1.66172389242853e+002°)
4.89778819368445e+000	(-4.44286829319961e-001dB,1.65874625758861e+002°)
5.01187233627271e+000	(-4.64339161724429e-001dB,1.65571545795688e+002°)
5.12861383991364e+000	(-4.85256836384876e-001dB,1.65263127857274e+002°)
5.24807460249771e+000	(-5.07073692993097e-001dB,1.64949355813554e+002°)
5.37031796370252e+000	(-5.29824595522532e-001dB,1.64630219297387e+002°)
5.49540873857623e+000	(-5.53545438127187e-001dB,1.64305714116550e+002°)
5.62341325190348e+000	(-5.78273148751064e-001dB,1.63975842680523e+002°)
5.75439937337156e+000	(-6.04045690257952e-001dB,1.63640614441687e+002°)
5.88843655355588e+000	(-6.30902058889929e-001dB,1.63300046350441e+002°)
6.02559586074356e+000	(-6.58882279862837e-001dB,1.62954163323639e+002°)
6.16595001861481e+000	(-6.88027399908167e-001dB,1.62602998725624e+002°)
6.30957344480192e+000	(-7.18379476574784e-001dB,1.62246594861015e+002°)
6.45654229034654e+000	(-7.49981564108986e-001dB,1.61885003478275e+002°)
