Freq.	V(Vo,Vi)
1.09647819614318e+001	(6.02056173151537e+000dB,1.79999816071795e+002°)
1.12201845430196e+001	(6.02056173268237e+000dB,1.79999811786389e+002°)
1.14815362149688e+001	(6.02056173390184e+000dB,1.79999807401083e+002°)
1.17489755493953e+001	(6.02056173517603e+000dB,1.79999802913544e+002°)
1.20226443461741e+001	(6.02056173650728e+000dB,1.79999798321384e+002°)
1.23026877081238e+001	(6.02056173789797e+000dB,1.79999793622161e+002°)
1.25892541179416e+001	(6.02056173935062e+000dB,1.79999788813374e+002°)
1.28824955169313e+001	(6.02056174086780e+000dB,1.79999783892464e+002°)
1.31825673855640e+001	(6.02056174245220e+000dB,1.79999778856811e+002°)
1.34896288259165e+001	(6.02056174410660e+000dB,1.79999773703735e+002°)
1.38038426460288e+001	(6.02056174583386e+000dB,1.79999768430493e+002°)
1.41253754462275e+001	(6.02056174763695e+000dB,1.79999763034276e+002°)
1.44543977074592e+001	(6.02056174951893e+000dB,1.79999757512211e+002°)
1.47910838816820e+001	(6.02056175148296e+000dB,1.79999751861356e+002°)
1.51356124843620e+001	(6.02056175353233e+000dB,1.79999746078699e+002°)
1.54881661891248e+001	(6.02056175567037e+000dB,1.79999740161161e+002°)
1.58489319246111e+001	(6.02056175790058e+000dB,1.79999734105586e+002°)
1.62181009735892e+001	(6.02056176022650e+000dB,1.79999727908748e+002°)
1.65958690743755e+001	(6.02056176265181e+000dB,1.79999721567340e+002°)
1.69824365246174e+001	(6.02056176518029e+000dB,1.79999715077983e+002°)
1.73780082874937e+001	(6.02056176781579e+000dB,1.79999708437214e+002°)
1.77827941003892e+001	(6.02056177056229e+000dB,1.79999701641491e+002°)
1.81970085860998e+001	(6.02056177342384e+000dB,1.79999694687186e+002°)
1.86208713666286e+001	(6.02056177640461e+000dB,1.79999687570590e+002°)
1.90546071796324e+001	(6.02056177950883e+000dB,1.79999680287901e+002°)
1.94984459975804e+001	(6.02056178274085e+000dB,1.79999672835231e+002°)
1.99526231496887e+001	(6.02056178610507e+000dB,1.79999665208601e+002°)
2.04173794466952e+001	(6.02056178960598e+000dB,1.79999657403935e+002°)
2.08929613085403e+001	(6.02056179324813e+000dB,1.79999649417063e+002°)
2.13796208950222e+001	(6.02056179703617e+000dB,1.79999641243717e+002°)
2.18776162394954e+001	(6.02056180097476e+000dB,1.79999632879527e+002°)
2.23872113856833e+001	(6.02056180506863e+000dB,1.79999624320021e+002°)
2.29086765276776e+001	(6.02056180932254e+000dB,1.79999615560620e+002°)
2.34422881531991e+001	(6.02056181374129e+000dB,1.79999606596640e+002°)
2.39883291901948e+001	(6.02056181832968e+000dB,1.79999597423284e+002°)
2.45470891568502e+001	(6.02056182309251e+000dB,1.79999588035642e+002°)
2.51188643150957e+001	(6.02056182803460e+000dB,1.79999578428689e+002°)
2.57039578276885e+001	(6.02056183316069e+000dB,1.79999568597281e+002°)
2.63026799189537e+001	(6.02056183847553e+000dB,1.79999558536153e+002°)
2.69153480392690e+001	(6.02056184398376e+000dB,1.79999548239916e+002°)
2.75422870333815e+001	(6.02056184968998e+000dB,1.79999537703054e+002°)
2.81838293126444e+001	(6.02056185559867e+000dB,1.79999526919921e+002°)
2.88403150312659e+001	(6.02056186171420e+000dB,1.79999515884738e+002°)
2.95120922666637e+001	(6.02056186804077e+000dB,1.79999504591589e+002°)
3.01995172040200e+001	(6.02056187458244e+000dB,1.79999493034420e+002°)
3.09029543251358e+001	(6.02056188134308e+000dB,1.79999481207035e+002°)
3.16227766016837e+001	(6.02056188832631e+000dB,1.79999469103091e+002°)
3.23593656929627e+001	(6.02056189553553e+000dB,1.79999456716098e+002°)
3.31131121482590e+001	(6.02056190297387e+000dB,1.79999444039411e+002°)
3.38844156139201e+001	(6.02056191064414e+000dB,1.79999431066231e+002°)
3.46736850452530e+001	(6.02056191854883e+000dB,1.79999417789599e+002°)
3.54813389233574e+001	(6.02056192669006e+000dB,1.79999404202394e+002°)
3.63078054770100e+001	(6.02056193506959e+000dB,1.79999390297327e+002°)
3.71535229097171e+001	(6.02056194368872e+000dB,1.79999376066939e+002°)
3.80189396320559e+001	(6.02056195254833e+000dB,1.79999361503598e+002°)
3.89045144994279e+001	(6.02056196164880e+000dB,1.79999346599493e+002°)
3.98107170553495e+001	(6.02056197099004e+000dB,1.79999331346631e+002°)
4.07380277804111e+001	(6.02056198057137e+000dB,1.79999315736833e+002°)
4.16869383470333e+001	(6.02056199039161e+000dB,1.79999299761730e+002°)
4.26579518801591e+001	(6.02056200044894e+000dB,1.79999283412759e+002°)
4.36515832240164e+001	(6.02056201074097e+000dB,1.79999266681159e+002°)
4.46683592150961e+001	(6.02056202126465e+000dB,1.79999249557963e+002°)
4.57088189614873e+001	(6.02056203201633e+000dB,1.79999232034001e+002°)
4.67735141287196e+001	(6.02056204299164e+000dB,1.79999214099888e+002°)
4.78630092322636e+001	(6.02056205418556e+000dB,1.79999195746024e+002°)
4.89778819368444e+001	(6.02056206559241e+000dB,1.79999176962586e+002°)
5.01187233627270e+001	(6.02056207720577e+000dB,1.79999157739526e+002°)
5.12861383991362e+001	(6.02056208901856e+000dB,1.79999138066565e+002°)
5.24807460249770e+001	(6.02056210102302e+000dB,1.79999117933187e+002°)
5.37031796370250e+001	(6.02056211321068e+000dB,1.79999097328636e+002°)
5.49540873857622e+001	(6.02056212557243e+000dB,1.79999076241908e+002°)
5.62341325190346e+001	(6.02056213809846e+000dB,1.79999054661747e+002°)
5.75439937337154e+001	(6.02056215077839e+000dB,1.79999032576638e+002°)
5.88843655355586e+001	(6.02056216360118e+000dB,1.79999009974806e+002°)
6.02559586074355e+001	(6.02056217655523e+000dB,1.79998986844202e+002°)
6.16595001861479e+001	(6.02056218962840e+000dB,1.79998963172506e+002°)
6.30957344480190e+001	(6.02056220280802e+000dB,1.79998938947112e+002°)
6.45654229034652e+001	(6.02056221608100e+000dB,1.79998914155129e+002°)
6.60693448007593e+001	(6.02056222943378e+000dB,1.79998888783370e+002°)
6.76082975391978e+001	(6.02056224285246e+000dB,1.79998862818347e+002°)
6.91830970918933e+001	(6.02056225632284e+000dB,1.79998836246262e+002°)
7.07945784384134e+001	(6.02056226983044e+000dB,1.79998809053003e+002°)
7.24435960074986e+001	(6.02056228336056e+000dB,1.79998781224136e+002°)
7.41310241300914e+001	(6.02056229689839e+000dB,1.79998752744894e+002°)
7.58577575029180e+001	(6.02056231042902e+000dB,1.79998723600174e+002°)
7.76247116628688e+001	(6.02056232393752e+000dB,1.79998693774526e+002°)
7.94328234724277e+001	(6.02056233740899e+000dB,1.79998663252144e+002°)
8.12830516164095e+001	(6.02056235082863e+000dB,1.79998632016861e+002°)
8.31763771102667e+001	(6.02056236418182e+000dB,1.79998600052139e+002°)
8.51138038202372e+001	(6.02056237745412e+000dB,1.79998567341059e+002°)
8.70963589956076e+001	(6.02056239063137e+000dB,1.79998533866310e+002°)
8.91250938133741e+001	(6.02056240369976e+000dB,1.79998499610185e+002°)
9.12010839355905e+001	(6.02056241664582e+000dB,1.79998464554568e+002°)
9.33254300796986e+001	(6.02056242945651e+000dB,1.79998428680924e+002°)
9.54992586021431e+001	(6.02056244211923e+000dB,1.79998391970289e+002°)
9.77237220955805e+001	(6.02056245462193e+000dB,1.79998354403261e+002°)
9.99999999999995e+001	(6.02056246695303e+000dB,1.79998315959988e+002°)
1.02329299228075e+002	(6.02056247910157e+000dB,1.79998276620159e+002°)
1.04712854805089e+002	(6.02056249105712e+000dB,1.79998236362989e+002°)
1.07151930523760e+002	(6.02056250280993e+000dB,1.79998195167212e+002°)
1.09647819614318e+002	(6.02056251435080e+000dB,1.79998153011067e+002°)
1.12201845430196e+002	(6.02056252567121e+000dB,1.79998109872287e+002°)
1.14815362149688e+002	(6.02056253676326e+000dB,1.79998065728084e+002°)
1.17489755493952e+002	(6.02056254761971e+000dB,1.79998020555143e+002°)
1.20226443461741e+002	(6.02056255823395e+000dB,1.79997974329602e+002°)
1.23026877081237e+002	(6.02056256859998e+000dB,1.79997927027043e+002°)
1.25892541179416e+002	(6.02056257871249e+000dB,1.79997878622478e+002°)
1.28824955169313e+002	(6.02056258856670e+000dB,1.79997829090336e+002°)
1.31825673855640e+002	(6.02056259815847e+000dB,1.79997778404448e+002°)
1.34896288259165e+002	(6.02056260748423e+000dB,1.79997726538033e+002°)
1.38038426460288e+002	(6.02056261654094e+000dB,1.79997673463683e+002°)
1.41253754462275e+002	(6.02056262532611e+000dB,1.79997619153350e+002°)
1.44543977074592e+002	(6.02056263383772e+000dB,1.79997563578330e+002°)
1.47910838816820e+002	(6.02056264207425e+000dB,1.79997506709248e+002°)
1.51356124843620e+002	(6.02056265003458e+000dB,1.79997448516039e+002°)
1.54881661891247e+002	(6.02056265771805e+000dB,1.79997388967937e+002°)
1.58489319246110e+002	(6.02056266512432e+000dB,1.79997328033455e+002°)
1.62181009735892e+002	(6.02056267225344e+000dB,1.79997265680370e+002°)
1.65958690743755e+002	(6.02056267910573e+000dB,1.79997201875702e+002°)
1.69824365246173e+002	(6.02056268568181e+000dB,1.79997136585704e+002°)
1.73780082874936e+002	(6.02056269198254e+000dB,1.79997069775836e+002°)
1.77827941003891e+002	(6.02056269800898e+000dB,1.79997001410750e+002°)
1.81970085860997e+002	(6.02056270376237e+000dB,1.79996931454273e+002°)
1.86208713666286e+002	(6.02056270924409e+000dB,1.79996859869384e+002°)
1.90546071796323e+002	(6.02056271445565e+000dB,1.79996786618197e+002°)
1.94984459975803e+002	(6.02056271939863e+000dB,1.79996711661941e+002°)
1.99526231496887e+002	(6.02056272407465e+000dB,1.79996634960936e+002°)
2.04173794466952e+002	(6.02056272848537e+000dB,1.79996556474579e+002°)
2.08929613085403e+002	(6.02056273263243e+000dB,1.79996476161312e+002°)
2.13796208950222e+002	(6.02056273651744e+000dB,1.79996393978612e+002°)
2.18776162394954e+002	(6.02056274014197e+000dB,1.79996309882958e+002°)
2.23872113856832e+002	(6.02056274350747e+000dB,1.79996223829814e+002°)
2.29086765276776e+002	(6.02056274661529e+000dB,1.79996135773605e+002°)
2.34422881531991e+002	(6.02056274946666e+000dB,1.79996045667689e+002°)
2.39883291901947e+002	(6.02056275206264e+000dB,1.79995953464339e+002°)
2.45470891568501e+002	(6.02056275440410e+000dB,1.79995859114709e+002°)
2.51188643150956e+002	(6.02056275649174e+000dB,1.79995762568817e+002°)
2.57039578276885e+002	(6.02056275832600e+000dB,1.79995663775513e+002°)
2.63026799189536e+002	(6.02056275990709e+000dB,1.79995562682452e+002°)
2.69153480392690e+002	(6.02056276123498e+000dB,1.79995459236070e+002°)
2.75422870333815e+002	(6.02056276230934e+000dB,1.79995353381554e+002°)
2.81838293126443e+002	(6.02056276312954e+000dB,1.79995245062808e+002°)
2.88403150312659e+002	(6.02056276369465e+000dB,1.79995134222433e+002°)
2.95120922666637e+002	(6.02056276400336e+000dB,1.79995020801689e+002°)
3.01995172040200e+002	(6.02056276405408e+000dB,1.79994904740466e+002°)
3.09029543251357e+002	(6.02056276384479e+000dB,1.79994785977253e+002°)
3.16227766016836e+002	(6.02056276337312e+000dB,1.79994664449105e+002°)
3.23593656929626e+002	(6.02056276263626e+000dB,1.79994540091609e+002°)
3.31131121482589e+002	(6.02056276163102e+000dB,1.79994412838853e+002°)
3.38844156139200e+002	(6.02056276035374e+000dB,1.79994282623384e+002°)
3.46736850452529e+002	(6.02056275880032e+000dB,1.79994149376182e+002°)
3.54813389233573e+002	(6.02056275696619e+000dB,1.79994013026616e+002°)
3.63078054770099e+002	(6.02056275484627e+000dB,1.79993873502408e+002°)
3.71535229097170e+002	(6.02056275243498e+000dB,1.79993730729598e+002°)
3.80189396320558e+002	(6.02056274972622e+000dB,1.79993584632501e+002°)
3.89045144994278e+002	(6.02056274671331e+000dB,1.79993435133669e+002°)
3.98107170553494e+002	(6.02056274338904e+000dB,1.79993282153850e+002°)
4.07380277804110e+002	(6.02056273974558e+000dB,1.79993125611945e+002°)
4.16869383470332e+002	(6.02056273577449e+000dB,1.79992965424966e+002°)
4.26579518801589e+002	(6.02056273146671e+000dB,1.79992801507990e+002°)
4.36515832240163e+002	(6.02056272681249e+000dB,1.79992633774118e+002°)
4.46683592150960e+002	(6.02056272180143e+000dB,1.79992462134425e+002°)
4.57088189614872e+002	(6.02056271642238e+000dB,1.79992286497915e+002°)
4.67735141287195e+002	(6.02056271066349e+000dB,1.79992106771472e+002°)
4.78630092322635e+002	(6.02056270451211e+000dB,1.79991922859811e+002°)
4.89778819368443e+002	(6.02056269795482e+000dB,1.79991734665429e+002°)
5.01187233627268e+002	(6.02056269097736e+000dB,1.79991542088548e+002°)
5.12861383991361e+002	(6.02056268356459e+000dB,1.79991345027070e+002°)
5.24807460249769e+002	(6.02056267570050e+000dB,1.79991143376515e+002°)
5.37031796370249e+002	(6.02056266736814e+000dB,1.79990937029974e+002°)
5.49540873857620e+002	(6.02056265854959e+000dB,1.79990725878043e+002°)
5.62341325190345e+002	(6.02056264922591e+000dB,1.79990509808772e+002°)
5.75439937337152e+002	(6.02056263937713e+000dB,1.79990288707605e+002°)
5.88843655355584e+002	(6.02056262898214e+000dB,1.79990062457314e+002°)
6.02559586074353e+002	(6.02056261801875e+000dB,1.79989830937944e+002°)
6.16595001861477e+002	(6.02056260646353e+000dB,1.79989594026743e+002°)
6.30957344480188e+002	(6.02056259429183e+000dB,1.79989351598103e+002°)
6.45654229034650e+002	(6.02056258147770e+000dB,1.79989103523488e+002°)
6.60693448007591e+002	(6.02056256799383e+000dB,1.79988849671370e+002°)
6.76082975391976e+002	(6.02056255381151e+000dB,1.79988589907156e+002°)
6.91830970918931e+002	(6.02056253890057e+000dB,1.79988324093118e+002°)
7.07945784384132e+002	(6.02056252322927e+000dB,1.79988052088321e+002°)
7.24435960074984e+002	(6.02056250676429e+000dB,1.79987773748547e+002°)
7.41310241300911e+002	(6.02056248947064e+000dB,1.79987488926220e+002°)
7.58577575029177e+002	(6.02056247131155e+000dB,1.79987197470326e+002°)
7.76247116628685e+002	(6.02056245224845e+000dB,1.79986899226332e+002°)
7.94328234724275e+002	(6.02056243224084e+000dB,1.79986594036108e+002°)
8.12830516164092e+002	(6.02056241124622e+000dB,1.79986281737841e+002°)
8.31763771102664e+002	(6.02056238922002e+000dB,1.79985962165947e+002°)
8.51138038202369e+002	(6.02056236611547e+000dB,1.79985635150987e+002°)
8.70963589956073e+002	(6.02056234188352e+000dB,1.79985300519575e+002°)
8.91250938133738e+002	(6.02056231647273e+000dB,1.79984958094286e+002°)
9.12010839355902e+002	(6.02056228982918e+000dB,1.79984607693564e+002°)
9.33254300796983e+002	(6.02056226189632e+000dB,1.79984249131624e+002°)
9.54992586021428e+002	(6.02056223261485e+000dB,1.79983882218351e+002°)
9.77237220955802e+002	(6.02056220192266e+000dB,1.79983506759206e+002°)
9.99999999999991e+002	(6.02056216975461e+000dB,1.79983122555117e+002°)
1.02329299228075e+003	(6.02056213604246e+000dB,1.79982729402373e+002°)
1.04712854805089e+003	(6.02056210071466e+000dB,1.79982327092522e+002°)
1.07151930523760e+003	(6.02056206369627e+000dB,1.79981915412256e+002°)
1.09647819614318e+003	(6.02056202490876e+000dB,1.79981494143296e+002°)
1.12201845430195e+003	(6.02056198426983e+000dB,1.79981063062281e+002°)
1.14815362149687e+003	(6.02056194169326e+000dB,1.79980621940649e+002°)
1.17489755493952e+003	(6.02056189708874e+000dB,1.79980170544510e+002°)
1.20226443461740e+003	(6.02056185036165e+000dB,1.79979708634531e+002°)
1.23026877081237e+003	(6.02056180141285e+000dB,1.79979235965801e+002°)
1.25892541179416e+003	(6.02056175013851e+000dB,1.79978752287707e+002°)
1.28824955169312e+003	(6.02056169642986e+000dB,1.79978257343796e+002°)
1.31825673855640e+003	(6.02056164017297e+000dB,1.79977750871644e+002°)
1.34896288259164e+003	(6.02056158124851e+000dB,1.79977232602715e+002°)
1.38038426460287e+003	(6.02056151953148e+000dB,1.79976702262216e+002°)
1.41253754462274e+003	(6.02056145489097e+000dB,1.79976159568954e+002°)
1.44543977074591e+003	(6.02056138718985e+000dB,1.79975604235188e+002°)
1.47910838816819e+003	(6.02056131628452e+000dB,1.79975035966474e+002°)
1.51356124843619e+003	(6.02056124202458e+000dB,1.79974454461509e+002°)
1.54881661891247e+003	(6.02056116425251e+000dB,1.79973859411972e+002°)
1.58489319246110e+003	(6.02056108280334e+000dB,1.79973250502364e+002°)
1.62181009735891e+003	(6.02056099750429e+000dB,1.79972627409831e+002°)
1.65958690743754e+003	(6.02056090817445e+000dB,1.79971989804006e+002°)
1.69824365246173e+003	(6.02056081462431e+000dB,1.79971337346821e+002°)
1.73780082874936e+003	(6.02056071665546e+000dB,1.79970669692337e+002°)
1.77827941003891e+003	(6.02056061406008e+000dB,1.79969986486556e+002°)
1.81970085860997e+003	(6.02056050662054e+000dB,1.79969287367237e+002°)
1.86208713666285e+003	(6.02056039410896e+000dB,1.79968571963698e+002°)
1.90546071796323e+003	(6.02056027628669e+000dB,1.79967839896624e+002°)
1.94984459975803e+003	(6.02056015290379e+000dB,1.79967090777868e+002°)
1.99526231496886e+003	(6.02056002369857e+000dB,1.79966324210237e+002°)
2.04173794466951e+003	(6.02055988839695e+000dB,1.79965539787291e+002°)
2.08929613085402e+003	(6.02055974671194e+000dB,1.79964737093120e+002°)
2.13796208950221e+003	(6.02055959834301e+000dB,1.79963915702129e+002°)
2.18776162394953e+003	(6.02055944297546e+000dB,1.79963075178808e+002°)
2.23872113856832e+003	(6.02055928027971e+000dB,1.79962215077504e+002°)
2.29086765276775e+003	(6.02055910991068e+000dB,1.79961334942183e+002°)
2.34422881531990e+003	(6.02055893150698e+000dB,1.79960434306189e+002°)
2.39883291901947e+003	(6.02055874469020e+000dB,1.79959512691997e+002°)
2.45470891568501e+003	(6.02055854906408e+000dB,1.79958569610959e+002°)
2.51188643150955e+003	(6.02055834421366e+000dB,1.79957604563046e+002°)
2.57039578276884e+003	(6.02055812970443e+000dB,1.79956617036582e+002°)
2.63026799189535e+003	(6.02055790508139e+000dB,1.79955606507971e+002°)
2.69153480392689e+003	(6.02055766986808e+000dB,1.79954572441424e+002°)
2.75422870333814e+003	(6.02055742356558e+000dB,1.79953514288671e+002°)
2.81838293126442e+003	(6.02055716565146e+000dB,1.79952431488672e+002°)
2.88403150312658e+003	(6.02055689557864e+000dB,1.79951323467318e+002°)
2.95120922666635e+003	(6.02055661277427e+000dB,1.79950189637129e+002°)
3.01995172040198e+003	(6.02055631663847e+000dB,1.79949029396941e+002°)
3.09029543251356e+003	(6.02055600654311e+000dB,1.79947842131587e+002°)
3.16227766016835e+003	(6.02055568183043e+000dB,1.79946627211573e+002°)
3.23593656929625e+003	(6.02055534181168e+000dB,1.79945383992742e+002°)
3.31131121482588e+003	(6.02055498576563e+000dB,1.79944111815932e+002°)
3.38844156139199e+003	(6.02055461293707e+000dB,1.79942810006629e+002°)
3.46736850452528e+003	(6.02055422253517e+000dB,1.79941477874609e+002°)
3.54813389233572e+003	(6.02055381373183e+000dB,1.79940114713571e+002°)
3.63078054770097e+003	(6.02055338565995e+000dB,1.79938719800760e+002°)
3.71535229097168e+003	(6.02055293741152e+000dB,1.79937292396591e+002°)
3.80189396320557e+003	(6.02055246803575e+000dB,1.79935831744250e+002°)
3.89045144994276e+003	(6.02055197653704e+000dB,1.79934337069297e+002°)
3.98107170553493e+003	(6.02055146187285e+000dB,1.79932807579253e+002°)
4.07380277804108e+003	(6.02055092295151e+000dB,1.79931242463180e+002°)
4.16869383470331e+003	(6.02055035862991e+000dB,1.79929640891254e+002°)
4.26579518801588e+003	(6.02054976771105e+000dB,1.79928002014322e+002°)
4.36515832240161e+003	(6.02054914894152e+000dB,1.79926324963453e+002°)
4.46683592150958e+003	(6.02054850100882e+000dB,1.79924608849477e+002°)
4.57088189614870e+003	(6.02054782253862e+000dB,1.79922852762514e+002°)
