Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(-7.97438701340992e-005dB,1.79999965740160e+002°)
1.02329299228075e+000	(-7.97438400487347e-005dB,1.79999964942146e+002°)
1.04712854805090e+000	(-7.97438085448314e-005dB,1.79999964125543e+002°)
1.07151930523761e+000	(-7.97437755645293e-005dB,1.79999963289919e+002°)
1.09647819614318e+000	(-7.97437410229667e-005dB,1.79999962434831e+002°)
1.12201845430196e+000	(-7.97437048574617e-005dB,1.79999961559826e+002°)
1.14815362149688e+000	(-7.97436669850814e-005dB,1.79999960664439e+002°)
1.17489755493953e+000	(-7.97436273257859e-005dB,1.79999959748196e+002°)
1.20226443461741e+000	(-7.97435857956779e-005dB,1.79999958810610e+002°)
1.23026877081238e+000	(-7.97435423205036e-005dB,1.79999957851186e+002°)
1.25892541179417e+000	(-7.97434967835782e-005dB,1.79999956869414e+002°)
1.28824955169313e+000	(-7.97434491145053e-005dB,1.79999955864773e+002°)
1.31825673855641e+000	(-7.97433991859923e-005dB,1.79999954836731e+002°)
1.34896288259165e+000	(-7.97433469044987e-005dB,1.79999953784743e+002°)
1.38038426460288e+000	(-7.97432921620188e-005dB,1.79999952708250e+002°)
1.41253754462275e+000	(-7.97432348360820e-005dB,1.79999951606683e+002°)
1.44543977074593e+000	(-7.97431748177181e-005dB,1.79999950479458e+002°)
1.47910838816821e+000	(-7.97431119603481e-005dB,1.79999949325975e+002°)
1.51356124843621e+000	(-7.97430461415013e-005dB,1.79999948145625e+002°)
1.54881661891248e+000	(-7.97429772271348e-005dB,1.79999946937781e+002°)
1.58489319246111e+000	(-7.97429050600620e-005dB,1.79999945701802e+002°)
1.62181009735893e+000	(-7.97428294994897e-005dB,1.79999944437034e+002°)
1.65958690743756e+000	(-7.97427503689443e-005dB,1.79999943142805e+002°)
1.69824365246174e+000	(-7.97426675112390e-005dB,1.79999941818430e+002°)
1.73780082874937e+000	(-7.97425807556863e-005dB,1.79999940463206e+002°)
1.77827941003892e+000	(-7.97424899045973e-005dB,1.79999939076415e+002°)
1.81970085860998e+000	(-7.97423947737837e-005dB,1.79999937657321e+002°)
1.86208713666287e+000	(-7.97422951607349e-005dB,1.79999936205172e+002°)
1.90546071796325e+000	(-7.97421908590829e-005dB,1.79999934719198e+002°)
1.94984459975804e+000	(-7.97420816103855e-005dB,1.79999933198612e+002°)
1.99526231496888e+000	(-7.97419672478127e-005dB,1.79999931642606e+002°)
2.04173794466953e+000	(-7.97418474868852e-005dB,1.79999930050356e+002°)
2.08929613085404e+000	(-7.97417220739825e-005dB,1.79999928421018e+002°)
2.13796208950223e+000	(-7.97415907622345e-005dB,1.79999926753727e+002°)
2.18776162394955e+000	(-7.97414532575187e-005dB,1.79999925047600e+002°)
2.23872113856834e+000	(-7.97413092618551e-005dB,1.79999923301732e+002°)
2.29086765276777e+000	(-7.97411584984792e-005dB,1.79999921515198e+002°)
2.34422881531992e+000	(-7.97410006163726e-005dB,1.79999919687049e+002°)
2.39883291901949e+000	(-7.97408353001973e-005dB,1.79999917816318e+002°)
2.45470891568503e+000	(-7.97406621892916e-005dB,1.79999915902011e+002°)
2.51188643150958e+000	(-7.97404809201006e-005dB,1.79999913943114e+002°)
2.57039578276886e+000	(-7.97402911097828e-005dB,1.79999911938588e+002°)
2.63026799189538e+000	(-7.97400923504240e-005dB,1.79999909887371e+002°)
2.69153480392691e+000	(-7.97398842244665e-005dB,1.79999907788374e+002°)
2.75422870333816e+000	(-7.97396662969947e-005dB,1.79999905640485e+002°)
2.81838293126445e+000	(-7.97394380974124e-005dB,1.79999903442565e+002°)
2.88403150312660e+000	(-7.97391991416228e-005dB,1.79999901193449e+002°)
2.95120922666638e+000	(-7.97389489175633e-005dB,1.79999898891943e+002°)
