Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(-2.72874431556264e-004dB,1.79699972142993e+002°)
1.02329299228075e+000	(-2.81976190562270e-004dB,1.79692983842313e+002°)
1.04712854805090e+000	(-2.91506885476362e-004dB,1.79685832780783e+002°)
1.07151930523761e+000	(-3.01486729819860e-004dB,1.79678515168474e+002°)
1.09647819614318e+000	(-3.11936889565794e-004dB,1.79671027127268e+002°)
1.12201845430196e+000	(-3.22879528067913e-004dB,1.79663364688808e+002°)
1.14815362149688e+000	(-3.34337852980856e-004dB,1.79655523792410e+002°)
1.17489755493953e+000	(-3.46336165540986e-004dB,1.79647500282910e+002°)
1.20226443461741e+000	(-3.58899912002665e-004dB,1.79639289908479e+002°)
1.23026877081238e+000	(-3.72055737611087e-004dB,1.79630888318378e+002°)
1.25892541179417e+000	(-3.85831543165896e-004dB,1.79622291060660e+002°)
1.28824955169313e+000	(-4.00256543996445e-004dB,1.79613493579828e+002°)
1.31825673855641e+000	(-4.15361332042349e-004dB,1.79604491214425e+002°)
1.34896288259165e+000	(-4.31177940628785e-004dB,1.79595279194588e+002°)
1.38038426460288e+000	(-4.47739912357327e-004dB,1.79585852639525e+002°)
1.41253754462275e+000	(-4.65082370237053e-004dB,1.79576206554949e+002°)
1.44543977074593e+000	(-4.83242092086203e-004dB,1.79566335830448e+002°)
1.47910838816821e+000	(-5.02257588490263e-004dB,1.79556235236793e+002°)
1.51356124843621e+000	(-5.22169184418163e-004dB,1.79545899423187e+002°)
1.54881661891248e+000	(-5.43019104682277e-004dB,1.79535322914450e+002°)
1.58489319246111e+000	(-5.64851563389330e-004dB,1.79524500108143e+002°)
1.62181009735893e+000	(-5.87712857679849e-004dB,1.79513425271617e+002°)
1.65958690743756e+000	(-6.11651465771280e-004dB,1.79502092539005e+002°)
1.69824365246174e+000	(-6.36718149666162e-004dB,1.79490495908142e+002°)
1.73780082874937e+000	(-6.62966062774959e-004dB,1.79478629237409e+002°)
1.77827941003892e+000	(-6.90450862424525e-004dB,1.79466486242519e+002°)
1.81970085860998e+000	(-7.19230827837546e-004dB,1.79454060493212e+002°)
