Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000002,-0.2415275887021553,20.43090033462617,-178.5952528749287
1530.905912063871,-0.4563934887258899,20.64409121320982,-178.1298505515222
2343.672911592103,-0.6943342403581623,20.88247696816529,-178.6775511923421
3587.942716300288,-0.8674297326004949,21.0558526577272,-179.5694152943659
5492.802716530598,-0.9845049795664886,21.17128805671909,178.6703009075448
8408.964152537163,-1.092160609389614,21.2815432124007,177.2197397869245
12873.33293545226,-1.157613394699802,21.33715213233543,174.7767473536851
19707.86149885035,-1.383148732563364,21.57116169546997,170.4229991603935
30170.88168272587,-1.792375633703158,21.96358402335915,162.8527412404376
46188.78114026439,-1.701011561042609,21.88634157683839,148.7519700307563
70710.67811865483,-1.036196246451063,21.21890746512929,134.588478334089
108251.3951778938,-0.5290728315358827,20.72024726402535,119.7915958801573
165722.7008669995,-0.3052435340041574,20.49123733698199,101.00502621619
253705.8625204812,-0.09125183295003883,20.25236827554897,78.74698563024739
388399.8048578671,-0.09959305461109721,20.16604999648635,55.81586228484917
594603.5575013609,-0.1399747635989806,19.77185286445862,32.04615430132984
910282.101513041,-0.1768242792642444,17.97437391804302,8.640981573403387
1393556.250852234,-0.3219221814360371,12.03511007221816,-15.86732162498087
2133403.503223243,-0.5296881405165758,5.290730152004562,-44.11578281103991
3266040.035902224,-0.9863283579675984,-2.238692928254064,-80.79042922221966
5000000,-2.148745088317313,-9.920359192748943,-128.9070320784801
