Frequency (Hz),Channel 2 (dBV)
0,-25.06813058364044
19.53601953601954,-25.36700749693731
39.07203907203908,-28.86576604277152
58.60805860805861,-39.31297821141457
78.14407814407815,-61.55864046908891
97.68009768009767,-88.91214968932444
117.2161172161172,-84.75891894571436
136.7521367521367,-83.00012692937088
156.2881562881563,-76.950991958521
175.8241758241758,-78.53641782612458
195.3601953601953,-75.51005064970654
214.8962148962149,-71.02059567469153
234.4322344322344,-68.43904162319389
253.968253968254,-67.32779199991927
273.5042735042735,-68.58335867257256
293.040293040293,-72.65755994679694
312.5763125763126,-77.14833247135029
332.1123321123321,-80.30337871894901
351.6483516483516,-79.68644009356834
371.1843711843712,-77.51315818616476
390.7203907203907,-74.91363516586703
410.2564102564103,-75.69014363399883
429.7924297924298,-77.22851246106475
449.3284493284493,-81.20454937932165
468.8644688644688,-80.04313239065978
488.4004884004884,-75.61276211637178
507.936507936508,-72.09924610386777
527.4725274725274,-70.03894000261676
547.008547008547,-70.7015363398519
566.5445665445666,-73.71080860129938
586.080586080586,-81.56828231775137
605.6166056166056,-82.96690446596634
625.1526251526252,-76.23122768193294
644.6886446886447,-73.42836318615537
664.2246642246643,-75.1405170808829
683.7606837606837,-77.57808940700498
703.2967032967033,-78.9448135939549
722.8327228327229,-80.42256303986085
742.3687423687423,-84.04065468688694
761.9047619047619,-81.13288831706207
781.4407814407814,-75.43526885932994
800.976800976801,-72.87616419951634
820.5128205128206,-74.20822118277164
840.04884004884,-80.35263255663284
859.5848595848596,-84.55654151132698
879.1208791208791,-80.92005165117396
898.6568986568986,-77.87766902900222
918.1929181929182,-73.09451887824886
937.7289377289377,-71.14277797528237
957.2649572649573,-70.42905001822777
976.8009768009769,-69.80921901387012
996.3369963369963,-70.11443380550743
1015.873015873016,-71.94084172673168
1035.409035409035,-74.949774440186
1054.945054945055,-75.2415573520215
1074.481074481075,-72.36219923156183
1094.017094017094,-70.05080714850894
1113.553113553113,-70.2211540138599
1133.089133089133,-72.35470997591459
1152.625152625153,-76.18920818902276
1172.161172161172,-91.19715418233
1191.697191697192,-80.56530234105081
1211.233211233211,-77.59734453015039
1230.769230769231,-76.1001534342614
1250.30525030525,-78.42870538995902
1269.84126984127,-82.01094347792346
1289.377289377289,-79.02682335003354
1308.913308913309,-78.42809997602082
1328.449328449329,-84.10587256603509
1347.985347985348,-83.73697865809108
1367.521367521367,-78.3695876808716
1387.057387057387,-78.0949693283178
1406.593406593407,-78.36791220052083
1426.129426129426,-78.93784307115617
1445.665445665446,-74.05605197159413
1465.201465201465,-73.16341475822719
1484.737484737485,-78.76221000721735
1504.273504273504,-85.54158925232099
1523.809523809524,-90.7438274619728
1543.345543345543,-81.97982396654056
1562.881562881563,-82.12496238513185
1582.417582417582,-75.41988867528855
1601.953601953602,-73.13457999977123
1621.489621489621,-72.61078974988929
1641.025641025641,-72.52187674291899
1660.561660561661,-74.37962540326068
1680.09768009768,-77.8500065459466
1699.6336996337,-77.67560449395157
