Freq.	V(vin)/I(V3)
1.30016957803328e+000	(1.42710769750185e+002dB,1.01816996876884e+002°)
1.30316677845229e+000	(1.42691610414365e+002dB,1.01790460701015e+002°)
1.30617088813183e+000	(1.42672447377474e+002dB,1.01763980167155e+002°)
1.30918192299940e+000	(1.42653280655101e+002dB,1.01737555179690e+002°)
1.31219989901920e+000	(1.42634110262764e+002dB,1.01711185643357e+002°)
1.31522483219223e+000	(1.42614936215937e+002dB,1.01684871462383e+002°)
1.31825673855640e+000	(1.42595758530023e+002dB,1.01658612541514e+002°)
1.32129563418657e+000	(1.42576577220362e+002dB,1.01632408785479e+002°)
1.32434153519466e+000	(1.42557392302250e+002dB,1.01606260098707e+002°)
1.32739445772973e+000	(1.42538203790908e+002dB,1.01580166386025e+002°)
1.33045441797808e+000	(1.42519011701520e+002dB,1.01554127551717e+002°)
1.33352143216332e+000	(1.42499816049195e+002dB,1.01528143500547e+002°)
1.33659551654643e+000	(1.42480616848981e+002dB,1.01502214137434e+002°)
1.33967668742593e+000	(1.42461414115888e+002dB,1.01476339366679e+002°)
1.34276496113786e+000	(1.42442207864839e+002dB,1.01450519093507e+002°)
1.34586035405594e+000	(1.42422998110727e+002dB,1.01424753222333e+002°)
1.34896288259164e+000	(1.42403784868384e+002dB,1.01399041657687e+002°)
1.35207256319427e+000	(1.42384568152558e+002dB,1.01373384304983e+002°)
1.35518941235103e+000	(1.42365347977976e+002dB,1.01347781068508e+002°)
1.35831344658715e+000	(1.42346124359286e+002dB,1.01322231853311e+002°)
1.36144468246594e+000	(1.42326897311086e+002dB,1.01296736564241e+002°)
1.36458313658892e+000	(1.42307666847917e+002dB,1.01271295106190e+002°)
1.36772882559584e+000	(1.42288432984263e+002dB,1.01245907384093e+002°)
1.37088176616484e+000	(1.42269195734552e+002dB,1.01220573302928e+002°)
1.37404197501251e+000	(1.42249955113160e+002dB,1.01195292767561e+002°)
1.37720946889394e+000	(1.42230711134388e+002dB,1.01170065683574e+002°)
1.38038426460288e+000	(1.42211463812521e+002dB,1.01144891955216e+002°)
1.38356637897177e+000	(1.42192213161746e+002dB,1.01119771488204e+002°)
1.38675582887188e+000	(1.42172959196224e+002dB,1.01094704187281e+002°)
1.38995263121334e+000	(1.42153701930041e+002dB,1.01069689957944e+002°)
1.39315680294529e+000	(1.42134441377245e+002dB,1.01044728705158e+002°)
1.39636836105593e+000	(1.42115177551814e+002dB,1.01019820334444e+002°)
1.39958732257261e+000	(1.42095910467684e+002dB,1.00994964750833e+002°)
1.40281370456195e+000	(1.42076640138728e+002dB,1.00970161859876e+002°)
1.40604752412990e+000	(1.42057366578771e+002dB,1.00945411566753e+002°)
1.40928879842186e+000	(1.42038089801583e+002dB,1.00920713776893e+002°)
1.41253754462274e+000	(1.42018809820868e+002dB,1.00896068396053e+002°)
1.41579377995707e+000	(1.41999526650297e+002dB,1.00871475329392e+002°)
1.41905752168908e+000	(1.41980240303472e+002dB,1.00846934482628e+002°)
1.42232878712281e+000	(1.41960950793943e+002dB,1.00822445761462e+002°)
1.42560759360218e+000	(1.41941658135212e+002dB,1.00798009071502e+002°)
1.42889395851109e+000	(1.41922362340728e+002dB,1.00773624318342e+002°)
1.43218789927353e+000	(1.41903063423886e+002dB,1.00749291407716e+002°)
1.43548943335364e+000	(1.41883761398023e+002dB,1.00725010245572e+002°)
1.43879857825583e+000	(1.41864456276432e+002dB,1.00700780737580e+002°)
1.44211535152486e+000	(1.41845148072341e+002dB,1.00676602789971e+002°)
1.44543977074592e+000	(1.41825836798940e+002dB,1.00652476308470e+002°)
1.44877185354475e+000	(1.41806522469369e+002dB,1.00628401198836e+002°)
1.45211161758773e+000	(1.41787205096692e+002dB,1.00604377367648e+002°)
1.45545908058195e+000	(1.41767884693947e+002dB,1.00580404720687e+002°)
1.45881426027534e+000	(1.41748561274102e+002dB,1.00556483164443e+002°)
1.46217717445671e+000	(1.41729234850093e+002dB,1.00532612604801e+002°)
1.46554784095590e+000	(1.41709905434785e+002dB,1.00508792948356e+002°)
1.46892627764385e+000	(1.41690573041014e+002dB,1.00485024100988e+002°)
1.47231250243271e+000	(1.41671237681536e+002dB,1.00461305969696e+002°)
1.47570653327588e+000	(1.41651899369080e+002dB,1.00437638460657e+002°)
1.47910838816819e+000	(1.41632558116315e+002dB,1.00414021480459e+002°)
1.48251808514594e+000	(1.41613213935857e+002dB,1.00390454935875e+002°)
1.48593564228699e+000	(1.41593866840285e+002dB,1.00366938733200e+002°)
1.48936107771090e+000	(1.41574516842115e+002dB,1.00343472779362e+002°)
1.49279440957898e+000	(1.41555163953820e+002dB,1.00320056980995e+002°)
1.49623565609442e+000	(1.41535808187813e+002dB,1.00296691245219e+002°)
1.49968483550236e+000	(1.41516449556468e+002dB,1.00273375478826e+002°)
1.50314196609001e+000	(1.41497088072107e+002dB,1.00250109588765e+002°)
1.50660706618673e+000	(1.41477723746998e+002dB,1.00226893482281e+002°)
1.51008015416413e+000	(1.41458356593372e+002dB,1.00203727066123e+002°)
1.51356124843619e+000	(1.41438986623394e+002dB,1.00180610247880e+002°)
1.51705036745932e+000	(1.41419613849202e+002dB,1.00157542934287e+002°)
1.52054752973248e+000	(1.41400238282853e+002dB,1.00134525033388e+002°)
1.52405275379728e+000	(1.41380859936392e+002dB,1.00111556452014e+002°)
1.52756605823806e+000	(1.41361478821787e+002dB,1.00088637098017e+002°)
1.53108746168202e+000	(1.41342094950974e+002dB,1.00065766878760e+002°)
1.53461698279928e+000	(1.41322708335846e+002dB,1.00042945701588e+002°)
1.53815464030302e+000	(1.41303318988231e+002dB,1.00020173474466e+002°)
1.54170045294954e+000	(1.41283926919912e+002dB,9.99974501053076e+001°)
1.54525443953840e+000	(1.41264532142632e+002dB,9.99747755018620e+001°)
1.54881661891247e+000	(1.41245134668088e+002dB,9.99521495720054e+001°)
1.55238700995807e+000	(1.41225734507932e+002dB,9.99295722234223e+001°)
1.55596563160506e+000	(1.41206331673750e+002dB,9.99070433646992e+001°)
1.55955250282694e+000	(1.41186926177113e+002dB,9.98845629033169e+001°)
1.56314764264094e+000	(1.41167518029505e+002dB,9.98621307483236e+001°)
1.56675107010813e+000	(1.41148107242397e+002dB,9.98397468075263e+001°)
1.57036280433354e+000	(1.41128693827202e+002dB,9.98174109893173e+001°)
1.57398286446620e+000	(1.41109277795283e+002dB,9.97951232023569e+001°)
1.57761126969933e+000	(1.41089859157968e+002dB,9.97728833548427e+001°)
1.58124803927037e+000	(1.41070437926522e+002dB,9.97506913557632e+001°)
1.58489319246110e+000	(1.41051014112183e+002dB,9.97285471135431e+001°)
1.58854674859776e+000	(1.41031587726129e+002dB,9.97064505371889e+001°)
1.59220872705115e+000	(1.41012158779498e+002dB,9.96844015354921e+001°)
1.59587914723672e+000	(1.40992727283387e+002dB,9.96624000173089e+001°)
1.59955802861465e+000	(1.40973293248838e+002dB,9.96404458918683e+001°)
1.60324539069002e+000	(1.40953856686865e+002dB,9.96185390678813e+001°)
1.60694125301286e+000	(1.40934417608413e+002dB,9.95966794550147e+001°)
1.61064563517825e+000	(1.40914976024399e+002dB,9.95748669625209e+001°)
1.61435855682647e+000	(1.40895531945700e+002dB,9.95531014993799e+001°)
1.61808003764305e+000	(1.40876085383130e+002dB,9.95313829754892e+001°)
1.62181009735891e+000	(1.40856636347480e+002dB,9.95097113000333e+001°)
1.62554875575047e+000	(1.40837184849477e+002dB,9.94880863829430e+001°)
1.62929603263970e+000	(1.40817730899819e+002dB,9.94665081338122e+001°)
1.63305194789432e+000	(1.40798274509154e+002dB,9.94449764624733e+001°)
1.63681652142779e+000	(1.40778815688088e+002dB,9.94234912787962e+001°)
1.64058977319952e+000	(1.40759354447181e+002dB,9.94020524928889e+001°)
1.64437172321491e+000	(1.40739890796954e+002dB,9.93806600146970e+001°)
1.64816239152549e+000	(1.40720424747881e+002dB,9.93593137545392e+001°)
1.65196179822900e+000	(1.40700956310395e+002dB,9.93380136226063e+001°)
1.65576996346951e+000	(1.40681485494890e+002dB,9.93167595291639e+001°)
1.65958690743754e+000	(1.40662012311711e+002dB,9.92955513847174e+001°)
1.66341265037015e+000	(1.40642536771161e+002dB,9.92743890999130e+001°)
1.66724721255104e+000	(1.40623058883502e+002dB,9.92532725853719e+001°)
1.67109061431069e+000	(1.40603578658964e+002dB,9.92322017514962e+001°)
1.67494287602642e+000	(1.40584096107711e+002dB,9.92111765096852e+001°)
1.67880401812254e+000	(1.40564611239893e+002dB,9.91901967703305e+001°)
1.68267406107045e+000	(1.40545124065598e+002dB,9.91692624446893e+001°)
1.68655302538872e+000	(1.40525634594879e+002dB,9.91483734438670e+001°)
1.69044093164324e+000	(1.40506142837747e+002dB,9.91275296791779e+001°)
1.69433780044731e+000	(1.40486648804179e+002dB,9.91067310616251e+001°)
1.69824365246172e+000	(1.40467152504099e+002dB,9.90859775028118e+001°)
1.70215850839493e+000	(1.40447653947400e+002dB,9.90652689140973e+001°)
1.70608238900310e+000	(1.40428153143923e+002dB,9.90446052073415e+001°)
1.71001531509027e+000	(1.40408650103482e+002dB,9.90239862939368e+001°)
1.71395730750840e+000	(1.40389144835839e+002dB,9.90034120858736e+001°)
1.71790838715757e+000	(1.40369637350723e+002dB,9.89828824949346e+001°)
1.72186857498599e+000	(1.40350127657820e+002dB,9.89623974330506e+001°)
1.72583789199018e+000	(1.40330615766772e+002dB,9.89419568125228e+001°)
1.72981635921508e+000	(1.40311101687189e+002dB,9.89215605453532e+001°)
1.73380399775412e+000	(1.40291585428637e+002dB,9.89012085438518e+001°)
1.73780082874935e+000	(1.40272067000641e+002dB,9.88809007204451e+001°)
1.74180687339159e+000	(1.40252546412686e+002dB,9.88606369877078e+001°)
1.74582215292048e+000	(1.40233023674225e+002dB,9.88404172580163e+001°)
1.74984668862464e+000	(1.40213498794664e+002dB,9.88202414441809e+001°)
1.75388050184174e+000	(1.40193971783366e+002dB,9.88001094591924e+001°)
1.75792361395867e+000	(1.40174442649672e+002dB,9.87800212155630e+001°)
1.76197604641161e+000	(1.40154911402866e+002dB,9.87599766266153e+001°)
1.76603782068614e+000	(1.40135378052208e+002dB,9.87399756051334e+001°)
1.77010895831740e+000	(1.40115842606904e+002dB,9.87200180647088e+001°)
1.77418948089014e+000	(1.40096305076132e+002dB,9.87001039185219e+001°)
1.77827941003890e+000	(1.40076765469036e+002dB,9.86802330797823e+001°)
1.78237876744807e+000	(1.40057223794708e+002dB,9.86604054623164e+001°)
1.78648757485203e+000	(1.40037680062218e+002dB,9.86406209794530e+001°)
1.79060585403527e+000	(1.40018134280582e+002dB,9.86208795451682e+001°)
1.79473362683250e+000	(1.39998586458791e+002dB,9.86011810731896e+001°)
1.79887091512876e+000	(1.39979036605794e+002dB,9.85815254774601e+001°)
1.80301774085955e+000	(1.39959484730502e+002dB,9.85619126719538e+001°)
1.80717412601090e+000	(1.39939930841786e+002dB,9.85423425711042e+001°)
1.81134009261958e+000	(1.39920374948487e+002dB,9.85228150888876e+001°)
1.81551566277311e+000	(1.39900817059402e+002dB,9.85033301398926e+001°)
1.81970085860996e+000	(1.39881257183299e+002dB,9.84838876383755e+001°)
1.82389570231961e+000	(1.39861695328902e+002dB,9.84644874990822e+001°)
1.82810021614272e+000	(1.39842131504897e+002dB,9.84451296367911e+001°)
1.83231442237119e+000	(1.39822565719945e+002dB,9.84258139660445e+001°)
1.83653834334832e+000	(1.39802997982661e+002dB,9.84065404019025e+001°)
1.84077200146893e+000	(1.39783428301626e+002dB,9.83873088593702e+001°)
1.84501541917945e+000	(1.39763856685384e+002dB,9.83681192536088e+001°)
1.84926861897805e+000	(1.39744283142442e+002dB,9.83489714999654e+001°)
1.85353162341479e+000	(1.39724707681281e+002dB,9.83298655135261e+001°)
1.85780445509167e+000	(1.39705130310332e+002dB,9.83108012100412e+001°)
1.86208713666284e+000	(1.39685551038002e+002dB,9.82917785048818e+001°)
1.86637969083464e+000	(1.39665969872659e+002dB,9.82727973136962e+001°)
1.87068214036577e+000	(1.39646386822630e+002dB,9.82538575525272e+001°)
1.87499450806739e+000	(1.39626801896216e+002dB,9.82349591370720e+001°)
1.87931681680324e+000	(1.39607215101680e+002dB,9.82161019833347e+001°)
1.88364908948977e+000	(1.39587626447246e+002dB,9.81972860076243e+001°)
1.88799134909627e+000	(1.39568035941108e+002dB,9.81785111260265e+001°)
1.89234361864495e+000	(1.39548443591425e+002dB,9.81597772549620e+001°)
1.89670592121112e+000	(1.39528849406321e+002dB,9.81410843107766e+001°)
1.90107827992327e+000	(1.39509253393883e+002dB,9.81224322102380e+001°)
1.90546071796322e+000	(1.39489655562170e+002dB,9.81038208698654e+001°)
1.90985325856621e+000	(1.39470055919198e+002dB,9.80852502066860e+001°)
1.91425592502106e+000	(1.39450454472960e+002dB,9.80667201373654e+001°)
1.91866874067026e+000	(1.39430851231406e+002dB,9.80482305790767e+001°)
1.92309172891013e+000	(1.39411246202458e+002dB,9.80297814489218e+001°)
1.92752491319091e+000	(1.39391639394001e+002dB,9.80113726642208e+001°)
1.93196831701690e+000	(1.39372030813890e+002dB,9.79930041422244e+001°)
1.93642196394658e+000	(1.39352420469941e+002dB,9.79746758006309e+001°)
1.94088587759275e+000	(1.39332808369945e+002dB,9.79563875568413e+001°)
1.94536008162263e+000	(1.39313194521656e+002dB,9.79381393285902e+001°)
1.94984459975802e+000	(1.39293578932793e+002dB,9.79199310337730e+001°)
1.95433945577537e+000	(1.39273961611044e+002dB,9.79017625903609e+001°)
1.95884467350596e+000	(1.39254342564065e+002dB,9.78836339163734e+001°)
1.96336027683602e+000	(1.39234721799480e+002dB,9.78655449300204e+001°)
1.96788628970682e+000	(1.39215099324881e+002dB,9.78474955494762e+001°)
1.97242273611482e+000	(1.39195475147824e+002dB,9.78294856933026e+001°)
1.97696964011183e+000	(1.39175849275836e+002dB,9.78115152800262e+001°)
1.98152702580507e+000	(1.39156221716412e+002dB,9.77935842281965e+001°)
1.98609491735734e+000	(1.39136592477015e+002dB,9.77756924566094e+001°)
1.99067333898716e+000	(1.39116961565076e+002dB,9.77578398841120e+001°)
1.99526231496885e+000	(1.39097328987992e+002dB,9.77400264298529e+001°)
1.99986186963271e+000	(1.39077694753137e+002dB,9.77222520125888e+001°)
2.00447202736513e+000	(1.39058058867842e+002dB,9.77045165518223e+001°)
2.00909281260870e+000	(1.39038421339411e+002dB,9.76868199669961e+001°)
2.01372424986236e+000	(1.39018782175123e+002dB,9.76691621773030e+001°)
2.01836636368153e+000	(1.38999141382216e+002dB,9.76515431025404e+001°)
2.02301917867824e+000	(1.38979498967907e+002dB,9.76339626622839e+001°)
2.02768271952125e+000	(1.38959854939376e+002dB,9.76164207762740e+001°)
2.03235701093619e+000	(1.38940209303771e+002dB,9.75989173647151e+001°)
2.03704207770569e+000	(1.38920562068219e+002dB,9.75814523472664e+001°)
2.04173794466950e+000	(1.38900913239803e+002dB,9.75640256443782e+001°)
2.04644463672464e+000	(1.38881262825586e+002dB,9.75466371763105e+001°)
2.05116217882553e+000	(1.38861610832599e+002dB,9.75292868632718e+001°)
2.05589059598411e+000	(1.38841957267835e+002dB,9.75119746262024e+001°)
2.06062991326997e+000	(1.38822302138271e+002dB,9.74947003852893e+001°)
2.06538015581050e+000	(1.38802645450843e+002dB,9.74774640615586e+001°)
2.07014134879101e+000	(1.38782987212461e+002dB,9.74602655758239e+001°)
2.07491351745488e+000	(1.38763327430008e+002dB,9.74431048490374e+001°)
2.07969668710366e+000	(1.38743666110332e+002dB,9.74259818023964e+001°)
2.08449088309726e+000	(1.38724003260259e+002dB,9.74088963569700e+001°)
2.08929613085401e+000	(1.38704338886576e+002dB,9.73918484343121e+001°)
2.09411245585086e+000	(1.38684672996048e+002dB,9.73748379559546e+001°)
2.09893988362349e+000	(1.38665005595411e+002dB,9.73578648432771e+001°)
2.10377843976644e+000	(1.38645336691370e+002dB,9.73409290180901e+001°)
2.10862814993326e+000	(1.38625666290601e+002dB,9.73240304023156e+001°)
2.11348903983661e+000	(1.38605994399754e+002dB,9.73071689176732e+001°)
2.11836113524847e+000	(1.38586321025448e+002dB,9.72903444863905e+001°)
2.12324446200018e+000	(1.38566646174270e+002dB,9.72735570308327e+001°)
2.12813904598268e+000	(1.38546969852787e+002dB,9.72568064730606e+001°)
2.13304491314654e+000	(1.38527292067535e+002dB,9.72400927355105e+001°)
2.13796208950220e+000	(1.38507612825018e+002dB,9.72234157408885e+001°)
2.14289060112002e+000	(1.38487932131717e+002dB,9.72067754116510e+001°)
2.14783047413050e+000	(1.38468249994077e+002dB,9.71901716709387e+001°)
2.15278173472434e+000	(1.38448566418523e+002dB,9.71736044415141e+001°)
2.15774440915263e+000	(1.38428881411458e+002dB,9.71570736461528e+001°)
2.16271852372698e+000	(1.38409194979239e+002dB,9.71405792084145e+001°)
2.16770410481966e+000	(1.38389507128213e+002dB,9.71241210513815e+001°)
2.17270117886371e+000	(1.38369817864691e+002dB,9.71076990984317e+001°)
2.17770977235312e+000	(1.38350127194959e+002dB,9.70913132731860e+001°)
2.18272991184296e+000	(1.38330435125277e+002dB,9.70749634991254e+001°)
2.18776162394952e+000	(1.38310741661872e+002dB,9.70586497003048e+001°)
2.19280493535041e+000	(1.38291046810959e+002dB,9.70423718001580e+001°)
2.19785987278479e+000	(1.38271350578706e+002dB,9.70261297230721e+001°)
2.20292646305342e+000	(1.38251652971267e+002dB,9.70099233931689e+001°)
2.20800473301886e+000	(1.38231953994772e+002dB,9.69937527344101e+001°)
2.21309470960560e+000	(1.38212253655314e+002dB,9.69776176713776e+001°)
2.21819641980018e+000	(1.38192551958966e+002dB,9.69615181285930e+001°)
2.22330989065136e+000	(1.38172848911776e+002dB,9.69454540305193e+001°)
2.22843514927026e+000	(1.38153144519762e+002dB,9.69294253019870e+001°)
2.23357222283049e+000	(1.38133438788917e+002dB,9.69134318678677e+001°)
2.23872113856830e+000	(1.38113731725213e+002dB,9.68974736530014e+001°)
2.24388192378273e+000	(1.38094023334587e+002dB,9.68815505826681e+001°)
2.24905460583574e+000	(1.38074313622960e+002dB,9.68656625818929e+001°)
2.25423921215239e+000	(1.38054602596219e+002dB,9.68498095762149e+001°)
2.25943577022094e+000	(1.38034890260232e+002dB,9.68339914908950e+001°)
2.26464430759302e+000	(1.38015176620834e+002dB,9.68182082517554e+001°)
2.26986485188378e+000	(1.37995461683846e+002dB,9.68024597842448e+001°)
2.27509743077203e+000	(1.37975745455056e+002dB,9.67867460142491e+001°)
2.28034207200038e+000	(1.37956027940223e+002dB,9.67710668679183e+001°)
2.28559880337539e+000	(1.37936309145090e+002dB,9.67554222711785e+001°)
2.29086765276773e+000	(1.37916589075372e+002dB,9.67398121501478e+001°)
2.29614864811232e+000	(1.37896867736758e+002dB,9.67242364311849e+001°)
2.30144181740847e+000	(1.37877145134911e+002dB,9.67086950408871e+001°)
2.30674718872003e+000	(1.37857421275476e+002dB,9.66931879055110e+001°)
2.31206479017555e+000	(1.37837696164064e+002dB,9.66777149519399e+001°)
2.31739464996844e+000	(1.37817969806269e+002dB,9.66622761069100e+001°)
2.32273679635706e+000	(1.37798242207656e+002dB,9.66468712974209e+001°)
